member,generation,scenario,scenario_label,T_factor,S_factor,T_value,S_value,base_T_value,base_S_value,archive_pumping_objective_cfs,pumping_objective_reeval_cfs,full_model_total_pumping_cfs,archive_depletion_cfs,depletion_cfs,streamflow_cfs,baseline_depletion_cfs,baseline_streamflow_cfs,depletion_change_from_baseline_cfs,streamflow_change_from_baseline_cfs,absolute_streamflow_error_cfs,streamflow_shortfall_below_baseline_cfs
gen=39_member=6634_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,37.24659,37.24656995207669,115.8590991520767,4.3792,4.379201393789328,4.220798606210672,4.379201393789328,4.220798606210672,0.0,0.0,0.0,0.0
gen=46_member=7788_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,32.533256,32.533172613400616,111.1457018134006,2.35444,2.354441589637516,6.245558410362484,2.354441589637516,6.245558410362484,0.0,0.0,0.0,0.0
gen=46_member=7881_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,27.1929628,27.192862415219388,105.80539161521938,1.37653,1.376534935137965,7.223465064862035,1.376534935137965,7.223465064862035,0.0,0.0,0.0,0.0
gen=27_member=4566_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,34.2026964,34.20265674649548,112.8151859464955,2.87573,2.87572560211735,5.72427439788265,2.87572560211735,5.72427439788265,0.0,0.0,0.0,0.0
gen=39_member=6698_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,33.52026,33.52015097310551,112.13268017310553,2.6497,2.6497013934446474,5.950298606555352,2.6497013934446474,5.950298606555352,0.0,0.0,0.0,0.0
gen=41_member=6986_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,35.7676436,35.767651554973604,114.3801807549736,3.58673,3.586730385344672,5.013269614655328,3.586730385344672,5.013269614655328,0.0,0.0,0.0,0.0
gen=41_member=6973_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,35.1593996,35.15947657236159,113.77200577236158,3.28388,3.283884959892168,5.316115040107832,3.283884959892168,5.316115040107832,0.0,0.0,0.0,0.0
gen=27_member=4568_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,32.5586552,32.558684654753776,111.17121385475376,2.37042,2.370423148131909,6.2295768518680905,2.370423148131909,6.2295768518680905,0.0,0.0,0.0,0.0
gen=37_member=6357_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,32.625718,32.62572860768373,111.23825780768374,2.3887,2.388702197214058,6.211297802785942,2.388702197214058,6.211297802785942,0.0,0.0,0.0,0.0
gen=47_member=8006_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,36.7613316,36.761407828424296,115.37393702842432,4.09604,4.096041808260816,4.503958191739184,4.096041808260816,4.503958191739184,0.0,0.0,0.0,0.0
