member,S_factor__Thigh_Shigh,S_factor__Thigh_Slow,S_factor__Tlow_Shigh,S_factor__Tlow_Slow,S_factor__baseline_T1_S1,T_factor__Thigh_Shigh,T_factor__Thigh_Slow,T_factor__Tlow_Shigh,T_factor__Tlow_Slow,T_factor__baseline_T1_S1,absolute_streamflow_error_cfs__Thigh_Shigh,absolute_streamflow_error_cfs__Thigh_Slow,absolute_streamflow_error_cfs__Tlow_Shigh,absolute_streamflow_error_cfs__Tlow_Slow,absolute_streamflow_error_cfs__baseline_T1_S1,depletion_cfs__Thigh_Shigh,depletion_cfs__Thigh_Slow,depletion_cfs__Tlow_Shigh,depletion_cfs__Tlow_Slow,depletion_cfs__baseline_T1_S1,depletion_change_from_baseline_cfs__Thigh_Shigh,depletion_change_from_baseline_cfs__Thigh_Slow,depletion_change_from_baseline_cfs__Tlow_Shigh,depletion_change_from_baseline_cfs__Tlow_Slow,depletion_change_from_baseline_cfs__baseline_T1_S1,pumping_objective_reeval_cfs__Thigh_Shigh,pumping_objective_reeval_cfs__Thigh_Slow,pumping_objective_reeval_cfs__Tlow_Shigh,pumping_objective_reeval_cfs__Tlow_Slow,pumping_objective_reeval_cfs__baseline_T1_S1,streamflow_cfs__Thigh_Shigh,streamflow_cfs__Thigh_Slow,streamflow_cfs__Tlow_Shigh,streamflow_cfs__Tlow_Slow,streamflow_cfs__baseline_T1_S1,streamflow_change_from_baseline_cfs__Thigh_Shigh,streamflow_change_from_baseline_cfs__Thigh_Slow,streamflow_change_from_baseline_cfs__Tlow_Shigh,streamflow_change_from_baseline_cfs__Tlow_Slow,streamflow_change_from_baseline_cfs__baseline_T1_S1,streamflow_shortfall_below_baseline_cfs__Thigh_Shigh,streamflow_shortfall_below_baseline_cfs__Thigh_Slow,streamflow_shortfall_below_baseline_cfs__Tlow_Shigh,streamflow_shortfall_below_baseline_cfs__Tlow_Slow,streamflow_shortfall_below_baseline_cfs__baseline_T1_S1,pumping_objective_reeval_cfs
gen=29_member=4871_pso,1.1,0.9,1.1,0.9,1.0,1.1,1.1,0.9,0.9,1.0,8.881784197001252e-16,0.16833285202304538,0.15015137602772377,0.0,0.0,0.8815436349096052,1.0498764869326498,0.7313922588818805,0.8815436349096051,0.8815436349096046,5.551115123125783e-16,0.16833285202304515,-0.1501513760277241,4.440892098500626e-16,0.0,17.843497187733753,17.843497187733753,17.843497187733753,17.843497187733753,17.843497187733753,7.718456365090394,7.55012351306735,7.868607741118119,7.718456365090395,7.718456365090395,-8.881784197001252e-16,-0.16833285202304538,0.15015137602772377,0.0,0.0,8.881784197001252e-16,0.16833285202304538,0.0,0.0,0.0,17.843497187733753
gen=29_member=4898_pso,1.1,0.9,1.1,0.9,1.0,1.1,1.1,0.9,0.9,1.0,0.0,0.43876294356762635,0.4123671629683159,2.6645352591003757e-15,0.0,3.680374002125098,4.119136945692724,3.268006839156782,3.680374002125095,3.680374002125098,0.0,0.43876294356762635,-0.4123671629683159,-3.1086244689504383e-15,0.0,35.92717187396659,35.92717187396659,35.92717187396659,35.92717187396659,35.92717187396659,4.919625997874902,4.480863054307275,5.331993160843218,4.919625997874904,4.919625997874902,0.0,-0.43876294356762635,0.4123671629683159,2.6645352591003757e-15,0.0,0.0,0.43876294356762635,0.0,0.0,0.0,35.92717187396659
gen=29_member=4911_pso,1.1,0.9,1.1,0.9,1.0,1.1,1.1,0.9,0.9,1.0,0.0,0.3650805387617915,0.3354885824514806,0.0,0.0,2.7541462326369754,3.119226771398766,2.418657650185495,2.7541462326369746,2.7541462326369746,8.881784197001252e-16,0.3650805387617915,-0.3354885824514797,0.0,0.0,33.86401239624249,33.86401239624249,33.86401239624249,33.86401239624249,33.86401239624249,5.845853767363025,5.480773228601233,6.181342349814505,5.845853767363025,5.845853767363025,0.0,-0.3650805387617915,0.3354885824514806,0.0,0.0,0.0,0.3650805387617915,0.0,0.0,0.0,33.86401239624249
gen=29_member=4924_pso,1.1,0.9,1.1,0.9,1.0,1.1,1.1,0.9,0.9,1.0,3.552713678800501e-15,0.35205621799889286,0.3217702407552716,3.552713678800501e-15,0.0,2.5878280224066805,2.939884240405577,2.266057781651413,2.5878280224066805,2.587828022406685,-4.440892098500626e-15,0.352056217998892,-0.32177024075527205,-4.440892098500626e-15,0.0,33.32221023991749,33.32221023991749,33.32221023991749,33.32221023991749,33.32221023991749,6.012171977593319,5.660115759594422,6.333942218348587,6.012171977593319,6.012171977593315,3.552713678800501e-15,-0.35205621799889286,0.3217702407552716,3.552713678800501e-15,0.0,0.0,0.35205621799889286,0.0,0.0,0.0,33.32221023991749
gen=29_member=4976_pso,1.1,0.9,1.1,0.9,1.0,1.1,1.1,0.9,0.9,1.0,1.7763568394002505e-15,0.33736110886426474,0.30696372720418275,2.6645352591003757e-15,0.0,2.444884202204969,2.782245311069236,2.1379204750007883,2.4448842022049684,2.4448842022049715,-2.6645352591003757e-15,0.3373611088642643,-0.3069637272041832,-3.1086244689504383e-15,0.0,32.85346614458213,32.85346614458213,32.85346614458213,32.85346614458213,32.85346614458213,6.15511579779503,5.817754688930764,6.462079524999211,6.155115797795031,6.155115797795029,1.7763568394002505e-15,-0.33736110886426474,0.30696372720418275,2.6645352591003757e-15,0.0,0.0,0.33736110886426474,0.0,0.0,0.0,32.85346614458213
gen=30_member=4999_pso,1.1,0.9,1.1,0.9,1.0,1.1,1.1,0.9,0.9,1.0,0.0,0.37401777529843816,0.3425251203926818,0.0,0.0,2.7894244899895115,3.1634422652879497,2.44689936959683,2.7894244899895115,2.7894244899895115,0.0,0.37401777529843816,-0.34252512039268135,0.0,0.0,33.98794532305361,33.98794532305361,33.98794532305361,33.98794532305361,33.98794532305361,5.810575510010488,5.43655773471205,6.15310063040317,5.810575510010488,5.810575510010488,0.0,-0.37401777529843816,0.3425251203926818,0.0,0.0,0.0,0.37401777529843816,0.0,0.0,0.0,33.98794532305361
gen=30_member=5110_pso,1.1,0.9,1.1,0.9,1.0,1.1,1.1,0.9,0.9,1.0,3.552713678800501e-15,0.4449819289929229,0.4180342762919551,1.7763568394002505e-15,0.0,3.9325093782173,4.37749130721022,3.514475101925341,3.932509378217299,3.932509378217297,3.1086244689504383e-15,0.4449819289929229,-0.418034276291956,1.7763568394002505e-15,0.0,36.39534938259375,36.39534938259375,36.39534938259375,36.39534938259375,36.39534938259375,4.667490621782699,4.22250869278978,5.085524898074658,4.667490621782701,4.667490621782703,-3.552713678800501e-15,-0.4449819289929229,0.4180342762919551,-1.7763568394002505e-15,0.0,3.552713678800501e-15,0.4449819289929229,0.0,1.7763568394002505e-15,0.0,36.39534938259375
gen=30_member=5150_pso,1.1,0.9,1.1,0.9,1.0,1.1,1.1,0.9,0.9,1.0,0.0,0.445993404744093,0.41867034199129627,0.0,0.0,3.955174426624362,4.401167831368455,3.5365040846330658,3.955174426624362,3.9551744266243625,-4.440892098500626e-16,0.44599340474409255,-0.4186703419912967,-4.440892098500626e-16,0.0,36.47794126781239,36.47794126781239,36.47794126781239,36.47794126781239,36.47794126781239,4.644825573375638,4.198832168631545,5.063495915366934,4.644825573375638,4.644825573375638,0.0,-0.445993404744093,0.41867034199129627,0.0,0.0,0.0,0.445993404744093,0.0,0.0,0.0,36.47794126781239
gen=30_member=5151_pso,1.1,0.9,1.1,0.9,1.0,1.1,1.1,0.9,0.9,1.0,8.881784197001252e-16,0.4407237281787948,0.4133819621564747,8.881784197001252e-16,0.0,3.8551868740415647,4.29591060222036,3.4418049118850904,3.8551868740415647,3.855186874041565,-4.440892098500626e-16,0.4407237281787948,-0.4133819621564747,-4.440892098500626e-16,0.0,36.2973927021264,36.2973927021264,36.2973927021264,36.2973927021264,36.2973927021264,4.744813125958435,4.30408939777964,5.158195088114909,4.744813125958435,4.7448131259584345,8.881784197001252e-16,-0.4407237281787948,0.4133819621564747,8.881784197001252e-16,0.0,0.0,0.4407237281787948,0.0,0.0,0.0,36.2973927021264
gen=30_member=5155_pso,1.1,0.9,1.1,0.9,1.0,1.1,1.1,0.9,0.9,1.0,1.7763568394002505e-15,0.3704008592885959,0.34117392614835307,1.7763568394002505e-15,0.0,2.848031611013017,3.218432470301615,2.506857684864665,2.8480316110130164,2.848031611013018,-1.3322676295501878e-15,0.3704008592885968,-0.34117392614835307,-1.7763568394002505e-15,0.0,34.12094915647915,34.12094915647915,34.12094915647915,34.12094915647915,34.12094915647915,5.751968388986983,5.381567529698385,6.093142315135334,5.751968388986983,5.751968388986981,1.7763568394002505e-15,-0.3704008592885959,0.34117392614835307,1.7763568394002505e-15,0.0,0.0,0.3704008592885959,0.0,0.0,0.0,34.12094915647915
