member,member_label,pumping_objective_reeval_cfs,expected_shortfall_cfs,probability_below_threshold,risk_aversion,risk_adjusted_score
gen=39_member=6630_pso,gen=39_member=6630_pso,32.28667995166453,0.0069171728718961205,0.11115396324187245,0.0,32.28667995166453
gen=47_member=7987_pso,gen=47_member=7987_pso,32.3379503115816,0.01052529345543203,0.13309219452158708,0.0,32.3379503115816
gen=38_member=6501_pso,gen=38_member=6501_pso,32.396349530682755,0.01234417576516848,0.13309219452158708,0.0,32.396349530682755
gen=39_member=6670_pso,gen=39_member=6670_pso,32.43577512726643,0.013851072423223676,0.13309219452158708,0.0,32.43577512726643
gen=48_member=8203_pso,gen=48_member=8203_pso,32.453841272609736,0.014484066825887928,0.13309219452158708,0.0,32.453841272609736
gen=46_member=7788_pso,gen=46_member=7788_pso,32.533172613400616,0.017453008288243744,0.13309219452158708,0.0,32.533172613400616
gen=27_member=4568_pso,gen=27_member=4568_pso,32.558684654753776,0.01947876239720086,0.13309219452158708,0.0,32.558684654753776
gen=37_member=6357_pso,gen=37_member=6357_pso,32.62572860768373,0.0225380114476754,0.13309219452158708,0.0,32.62572860768373
gen=42_member=7094_pso,gen=42_member=7094_pso,32.72396444274264,0.024494006826252884,0.13309219452158708,0.0,32.72396444274264
gen=42_member=7063_pso,gen=42_member=7063_pso,32.77998072785285,0.02625348934127362,0.1463984044126007,0.0,32.77998072785285
gen=46_member=7888_pso,gen=46_member=7888_pso,32.783404919650515,0.02667754560040721,0.1463984044126007,0.0,32.783404919650515
gen=47_member=7961_pso,gen=47_member=7961_pso,32.81846706326812,0.028039881064450874,0.1463984044126007,0.0,32.81846706326812
gen=26_member=4423_pso,gen=26_member=4423_pso,32.826298754166096,0.032637291727536766,0.34303906711029236,0.0,32.826298754166096
gen=29_member=4976_pso,gen=29_member=4976_pso,32.85346614458213,0.03287295683295419,0.34303906711029236,0.0,32.85346614458213
gen=49_member=8356_pso,gen=49_member=8356_pso,32.88362932713905,0.036711230808139796,0.34303906711029236,0.0,32.88362932713905
gen=33_member=5592_pso,gen=33_member=5592_pso,32.90581117439859,0.03847063104456959,0.35634527700130597,0.0,32.90581117439859
gen=20_member=3413_pso,gen=20_member=3413_pso,32.95461211746549,0.04480467690109433,0.35634527700130597,0.0,32.95461211746549
gen=44_member=7565_pso,gen=44_member=7565_pso,32.97144846847227,0.04584838939801797,0.35634527700130597,0.0,32.97144846847227
gen=49_member=8375_pso,gen=49_member=8375_pso,33.01442462041577,0.048133844715729665,0.35634527700130597,0.0,33.01442462041577
gen=41_member=6995_pso,gen=41_member=6995_pso,33.05810757863159,0.05681009663446765,0.35634527700130597,0.0,33.05810757863159
gen=40_member=6846_pso,gen=40_member=6846_pso,33.07610629167887,0.05889451467601657,0.35634527700130597,0.0,33.07610629167887
gen=31_member=5281_pso,gen=31_member=5281_pso,33.11569694121411,0.06431391784262269,0.35634527700130597,0.0,33.11569694121411
gen=44_member=7522_pso,gen=44_member=7522_pso,33.16311565476033,0.06866786329632886,0.35634527700130597,0.0,33.16311565476033
gen=42_member=7127_pso,gen=42_member=7127_pso,33.183068642146345,0.07693247559112987,0.35634527700130597,0.0,33.183068642146345
gen=31_member=5227_pso,gen=31_member=5227_pso,33.191986899653344,0.08054381137882985,0.35634527700130597,0.0,33.191986899653344
gen=32_member=5391_pso,gen=32_member=5391_pso,33.261505768011496,0.08196823513248735,0.35634527700130597,0.0,33.261505768011496
gen=47_member=7929_pso,gen=47_member=7929_pso,33.27569117913837,0.08500238651066312,0.35634527700130597,0.0,33.27569117913837
gen=29_member=4924_pso,gen=29_member=4924_pso,33.32221023991749,0.08749690728698878,0.35634527700130597,0.0,33.32221023991749
gen=45_member=7577_pso,gen=45_member=7577_pso,33.348578128286576,0.08926508175874777,0.35634527700130597,0.0,33.348578128286576
gen=46_member=7750_pso,gen=46_member=7750_pso,33.35737322320111,0.1030084814935809,0.643654722998694,0.0,33.35737322320111
gen=42_member=7193_pso,gen=42_member=7193_pso,33.44556490244684,0.1079051617450096,0.643654722998694,0.0,33.44556490244684
gen=47_member=8010_pso,gen=47_member=8010_pso,33.48339815320258,0.1150527032363471,0.643654722998694,0.0,33.48339815320258
gen=22_member=3634_pso,gen=22_member=3634_pso,33.48751472965719,0.11519378942235896,0.643654722998694,0.0,33.48751472965719
gen=39_member=6698_pso,gen=39_member=6698_pso,33.52015097310551,0.1250146069326233,0.643654722998694,0.0,33.52015097310551
gen=35_member=5892_pso,gen=35_member=5892_pso,33.6250096550061,0.13812595506411876,0.643654722998694,0.0,33.6250096550061
gen=43_member=7287_pso,gen=43_member=7287_pso,33.64656535247972,0.1459903606085275,0.643654722998694,0.0,33.64656535247972
gen=42_member=7082_pso,gen=42_member=7082_pso,33.697411190937146,0.15761264972047262,0.643654722998694,0.0,33.697411190937146
gen=44_member=7554_pso,gen=44_member=7554_pso,33.71131958774986,0.1576361996105491,0.643654722998694,0.0,33.71131958774986
gen=47_member=7966_pso,gen=47_member=7966_pso,33.72345101193558,0.15943842333335875,0.643654722998694,0.0,33.72345101193558
gen=46_member=7849_pso,gen=46_member=7849_pso,33.7256272553146,0.16839451534816877,0.643654722998694,0.0,33.7256272553146
gen=28_member=4655_pso,gen=28_member=4655_pso,33.73614280489097,0.1695000899480634,0.643654722998694,0.0,33.73614280489097
gen=24_member=4008_pso,gen=24_member=4008_pso,33.76696087691461,0.17206037324938792,0.643654722998694,0.0,33.76696087691461
gen=34_member=5732_pso,gen=34_member=5732_pso,33.7821917262945,0.17219992384709493,0.643654722998694,0.0,33.7821917262945
gen=40_member=6803_pso,gen=40_member=6803_pso,33.822321012801254,0.17438768510558092,0.643654722998694,0.0,33.822321012801254
gen=45_member=7708_pso,gen=45_member=7708_pso,33.85718549462576,0.18768124491220237,0.643654722998694,0.0,33.85718549462576
gen=37_member=6349_pso,gen=37_member=6349_pso,33.862942575484915,0.1879878715188812,0.643654722998694,0.0,33.862942575484915
gen=29_member=4911_pso,gen=29_member=4911_pso,33.86401239624249,0.19453955867054415,0.6569609328897077,0.0,33.86401239624249
gen=48_member=8227_pso,gen=48_member=8227_pso,33.90734269461019,0.19610650000073404,0.6569609328897077,0.0,33.90734269461019
gen=50_member=8489_pso,gen=50_member=8489_pso,33.928075253726064,0.2007558760493537,0.6569609328897077,0.0,33.928075253726064
gen=39_member=6668_pso,gen=39_member=6668_pso,33.933030846740984,0.2069076856672284,0.7552812642385535,0.0,33.933030846740984
gen=30_member=4999_pso,gen=30_member=4999_pso,33.98794532305361,0.22278519340861458,0.8536015955873992,0.0,33.98794532305361
gen=33_member=5577_pso,gen=33_member=5577_pso,34.00137781832889,0.234921396692797,0.8536015955873992,0.0,34.00137781832889
gen=41_member=6969_pso,gen=41_member=6969_pso,34.01408910075473,0.24814917904468475,0.866907805478413,0.0,34.01408910075473
gen=31_member=5250_pso,gen=31_member=5250_pso,34.05351185359164,0.25357428371590063,0.866907805478413,0.0,34.05351185359164
gen=35_member=5956_pso,gen=35_member=5956_pso,34.07740547464268,0.2588359661869232,0.866907805478413,0.0,34.07740547464268
gen=30_member=5155_pso,gen=30_member=5155_pso,34.12094915647915,0.2726894706761881,0.866907805478413,0.0,34.12094915647915
gen=47_member=8007_pso,gen=47_member=8007_pso,34.13470291303967,0.2781185715036379,0.866907805478413,0.0,34.13470291303967
gen=27_member=4566_pso,gen=27_member=4566_pso,34.20265674649548,0.29841161156728685,0.866907805478413,0.0,34.20265674649548
gen=36_member=6039_pso,gen=36_member=6039_pso,34.236759922666806,0.30723311050773827,0.866907805478413,0.0,34.236759922666806
gen=42_member=7162_pso,gen=42_member=7162_pso,34.265693983561704,0.3374589461460208,0.8888460367581275,0.0,34.265693983561704
gen=40_member=6783_pso,gen=40_member=6783_pso,34.28795088667764,0.3466548807291649,0.8888460367581275,0.0,34.28795088667764
gen=44_member=7534_pso,gen=44_member=7534_pso,34.34682017838482,0.3483890574113552,0.8888460367581275,0.0,34.34682017838482
gen=31_member=5213_pso,gen=31_member=5213_pso,34.37459988167344,0.3603750644098122,0.8888460367581275,0.0,34.37459988167344
gen=42_member=7123_pso,gen=42_member=7123_pso,34.396745119239434,0.3719803730393016,0.9484803321943077,0.0,34.396745119239434
gen=44_member=7514_pso,gen=44_member=7514_pso,34.40775328560086,0.38199563759529076,0.9484803321943077,0.0,34.40775328560086
gen=38_member=6418_pso,gen=38_member=6418_pso,34.44301031817496,0.38987628238845684,0.9484803321943077,0.0,34.44301031817496
gen=43_member=7261_pso,gen=43_member=7261_pso,34.48623759426499,0.40046246714451206,0.9704185634740223,0.0,34.48623759426499
