member,pumping_objective_reeval_cfs,streamflow_p05_cfs,streamflow_p95_cfs,worst_case_streamflow_cfs,best_case_streamflow_cfs,expected_depletion_cfs,full_envelope_height_cfs,central_90pct_envelope_height_cfs,prob_below_5_cfs,expected_shortfall_below_5_cfs,max_shortfall_below_5_cfs,streamflow_meets_5_cfs_prob,prob_below_6_cfs,expected_shortfall_below_6_cfs,max_shortfall_below_6_cfs,streamflow_meets_6_cfs_prob,prob_below_7_cfs,expected_shortfall_below_7_cfs,max_shortfall_below_7_cfs,streamflow_meets_7_cfs_prob,baseline_streamflow_cfs,baseline_depletion_cfs,member_label
gen=28_member=4728_pso,25.063855919912235,7.1294958103589305,7.587706672006277,6.912088366192768,7.769545214823172,1.220840780314975,0.8574568486304033,0.4582108616473466,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.002969016743950404,0.0002610111127617072,0.08791163380723166,0.9970309832560496,7.3840688165316175,1.215931183468382,gen=28_member=4728_pso
gen=37_member=6262_pso,25.372800727077287,7.098236065808198,7.565373944735181,6.877348335283784,7.751272643606134,1.2473966375750905,0.8739243083223496,0.4671378789269829,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.016275226634964023,0.0005238268969477216,0.12265166471621569,0.9837247733650359,7.35750189008454,1.2424981099154595,gen=37_member=6262_pso
gen=48_member=8212_pso,25.50891213870453,7.073932878666542,7.5423175772016,6.8508824427217405,7.7294350537314305,1.2712123955397843,0.87855261100969,0.4683846985350577,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.016275226634964023,0.0009391395880343626,0.14911755727825948,0.9837247733650359,7.333601761230064,1.266398238769936,gen=48_member=8212_pso
gen=45_member=7699_pso,25.671464649350018,7.057895403110974,7.521258352276894,6.83389727635006,7.70636685823605,1.28956045111516,0.8724695818859907,0.46336294916592013,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.02958143652597764,0.0014138375165172544,0.1661027236499404,0.9704185634740223,7.315339904098618,1.2846600959013812,gen=45_member=7699_pso
gen=32_member=5495_pso,25.92224315458362,7.0377231809812395,7.513125671537204,6.811252211664457,7.7046596844935475,1.3039474300694849,0.8934074728290904,0.4754024905559646,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.02958143652597764,0.002045049297051904,0.18874778833554284,0.9704185634740223,7.30068883407416,1.2993111659258398,gen=32_member=5495_pso
gen=43_member=7385_pso,26.117703630103588,7.033317489119694,7.506988073318984,6.806433320083927,7.697307190283491,1.3090555173123821,0.890873870199564,0.4736705841992901,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.02958143652597764,0.002181573153162099,0.19356667991607335,0.9704185634740223,7.2956847145088,1.304315285491199,gen=43_member=7385_pso
gen=47_member=8017_pso,26.33332130996634,7.024135667296541,7.50177884013833,6.795959417340028,7.693002234265742,1.3159897047288502,0.8970428169257136,0.47764317284178937,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.02958143652597764,0.002471468488755191,0.20404058265997183,0.9704185634740223,7.28888737779146,1.3111126222085394,gen=47_member=8017_pso
gen=47_member=7933_pso,26.49956968298791,6.995937971114983,7.47845359642768,6.764473783286835,7.672323049139092,1.3415491632613916,0.9078492658522572,0.482515625312697,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.02958143652597764,0.0033518403637359416,0.23552621671316487,0.9704185634740223,7.263301788144414,1.336698211855586,gen=47_member=7933_pso
gen=36_member=6188_pso,26.54503702240775,6.99165223167376,7.471749848616054,6.761050110702028,7.664620127817824,1.3470985469981513,0.9035700171157961,0.48009761694229347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.05151966780569227,0.003526872669635981,0.238949889297972,0.9484803321943077,7.257729931824501,1.342270068175498,gen=36_member=6188_pso
gen=45_member=7623_pso,26.86788661943628,6.969237751300783,7.4612165134665815,6.73558753445301,7.659747369560568,1.3634973741720917,0.9241598351075586,0.4919787621657985,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.05151966780569227,0.004722840143218602,0.2644124655469904,0.9484803321943077,7.241254527133208,1.3587454728667916,gen=45_member=7623_pso
