member,generation,raw_total_pumping_cfs,effective_total_pumping_cfs,baseline_T_streamflow_cfs,baseline_T_depletion_cfs,expected_streamflow_cfs,expected_depletion_cfs,expected_streamflow_bias_from_baseline_cfs,expected_depletion_bias_from_baseline_cfs,streamflow_std_cfs,depletion_std_cfs,streamflow_p05_cfs,streamflow_p50_cfs,streamflow_p95_cfs,depletion_p05_cfs,depletion_p50_cfs,depletion_p95_cfs,probability_weighted_absolute_streamflow_error_cfs,probability_weighted_streamflow_shortfall_cfs,probability_weighted_signed_streamflow_error_cfs,max_absolute_streamflow_error_cfs,max_streamflow_shortfall_below_baseline_cfs,probability_streamflow_lower_than_baseline,probability_streamflow_below_threshold
gen=43_member=5423_pso,50.0,114.14786179689636,114.14786179689636,4.438608458609333,4.161391541390667,4.445188475630275,4.154811524369724,0.006580017020941575,-0.0065800170209424635,0.19613019243540186,0.19613019243540186,4.087077335466671,4.3967575879683976,4.742780396169167,3.7611336431920304,4.118177979159922,4.436433394390227,0.15743387167365838,0.0754269273263579,-0.006580017020942597,0.46007483087877343,0.3975059294390464,0.41801639616164876,
gen=38_member=4827_pso,50.0,113.58228336854604,113.21257762424806,4.905776156419224,3.6942238435807764,4.911604882167682,3.6883951178323198,0.005828725748457941,-0.005828725748456609,0.1820014938131862,0.18200149381318623,4.578578579974007,4.866845057977476,5.187466722399596,3.3238514656718965,3.6541139996935663,3.950087356934721,0.14612516983911655,0.07014822204533008,-0.005828725748456394,0.42557453710592075,0.37002159603696505,0.41801639616164876,
gen=46_member=5827_pso,50.0,114.11920195538859,113.22333719727689,5.045665954945619,3.55433404505438,5.05108231124245,3.548917688757551,0.005416356296830571,-0.005416356296829239,0.17937226996463726,0.17937226996463734,4.722104284177844,5.007221044688957,5.322649872121058,3.1904290391630092,3.514872213666669,3.807139988623694,0.14403278277046072,0.06930821323681552,-0.005416356296829707,0.41790652298613473,0.3661068608157514,0.41801639616164876,
gen=49_member=6197_pso,50.0,103.38252010742895,101.62467203250553,6.767087995463632,1.8329120045363683,6.770163905937744,1.8298360940622564,0.0030759104741120424,-0.0030759104741118204,0.10928189385146596,0.10928189385146593,6.568986413190915,6.743650373919159,6.935339518173878,1.6121267002059851,1.808879359116391,1.9874835792937224,0.08775942623895695,0.042341757882422566,-0.003075910474111824,0.25336560553773424,0.22432108778455628,0.41801639616164876,
gen=34_member=4254_pso,50.0,109.81719802653583,109.37435490938714,6.032010509780402,2.567989490219597,6.035651333998828,2.564348666001172,0.00364082421842582,-0.003640824218425376,0.1400302529417098,0.14003025294170982,5.777347243949747,6.00182874959077,6.246940926082293,2.2876036836186793,2.5370703207518464,2.7668423217217244,0.11261706011564421,0.05448811794860934,-0.003640824218425513,0.32108150032714633,0.28824703266983676,0.41801639616164876,
gen=46_member=5867_pso,50.0,105.21533215860791,103.53371204745807,6.621398329313642,1.9786016706863572,6.624425171861525,1.9755748281384757,0.0030268425478823247,-0.0030268425478814365,0.11256430748959659,0.1125643074895966,6.417032063580573,6.597220498890992,6.794412162613915,1.7515607339305017,1.9538580853093643,2.1381021286591606,0.09040771551502412,0.043690436483571043,-0.0030268425478820176,0.2605587399510716,0.23138207378052478,0.41801639616164876,
gen=31_member=3915_pso,50.0,113.13347995202655,113.0032712800369,4.938415876596945,3.661584123403055,4.944184307680455,3.6558156923195453,0.005768431083509995,-0.005768431083509551,0.18086483276041332,0.18086483276041332,4.6131669415513175,4.899693991726726,5.218331219398928,3.2935841336757705,3.6217381864581646,3.9158838607349713,0.14521337077640414,0.06972246984644732,-0.005768431083509492,0.42281324118396846,0.3678444426774554,0.41801639616164876,
gen=47_member=5976_pso,50.0,107.22293932834354,104.56205629468799,6.509666480452936,2.0903335195470634,6.512970785277823,2.087029214722177,0.003304304824887083,-0.003304304824886195,0.11575272860275494,0.11575272860275496,6.300193561093279,6.484826475080818,6.687982618273937,1.8562519386385614,2.064867753740631,2.2539241607732814,0.09296603523785191,0.0448308652064829,-0.0033043048248861022,0.2687159025684567,0.23707522756351285,0.41801639616164876,
gen=39_member=4925_pso,50.0,111.72583306287677,110.5852186046211,5.864297639424465,2.7357023605755346,5.86791856960661,2.7320814303933902,0.0036209301821452655,-0.0036209301821443773,0.15182392377138132,0.15182392377138126,5.587253722639724,5.8314513979705875,6.096221553307015,2.4327374010460274,2.7020263634580366,2.9520372889815136,0.12218724577052507,0.05928315779419033,-0.0036209301821444042,0.34691525445537597,0.31355918312817543,0.41801639616164876,
gen=36_member=4494_pso,50.0,98.48460680972522,96.85103265995991,7.018007183744514,1.5819928162554864,7.0202764598446645,1.5797235401553362,0.002269276100150819,-0.0022692761001501527,0.09231879391843731,0.0923187939184372,6.849472458994968,6.998178159974379,7.159440598163169,1.3966361941494712,1.561726301176357,1.7133237145374252,0.07414601721990512,0.0359383705598776,-0.0022692761001499315,0.2125561157094653,0.19097650582124004,0.41801639616164876,
gen=44_member=5537_pso,50.0,100.63717773873304,98.65700758717853,6.924414477278655,1.675585522721344,6.926787839481232,1.6732121605187682,0.0023733622025767787,-0.0023733622025758905,0.0973346708442709,0.09733467084427092,6.746741061383882,6.903492852452131,7.073509258891731,1.4801721321099466,1.654224621673087,1.8140726502798075,0.07817797089978527,0.03790230434860448,-0.002373362202576287,0.22409891362091194,0.2013055730823501,0.41801639616164876,
gen=46_member=5774_pso,50.0,113.69864725552864,113.69864725552864,4.799183081404655,3.8008169185953444,4.805025201228596,3.794974798771404,0.0058421198239413386,-0.00584211982394045,0.18643629812346246,0.18643629812346246,4.463592669297386,4.75923528871717,5.087527224849883,3.421784473500232,3.7597757866487815,4.063136952150487,0.14969059329865034,0.07192423673735462,-0.0058421198239410905,0.4354308082727023,0.3795853324127192,0.41801639616164876,
gen=37_member=4723_pso,50.0,106.8511723206405,104.51778202732396,6.565250283271652,2.034749716728347,6.568466027417711,2.0315339725822894,0.003215744146058519,-0.003215744146057631,0.11674946573942474,0.11674946573942478,6.353549174837692,6.540189091068753,6.7448772372330446,1.7989621432700997,2.009091409841128,2.2000045616174386,0.09375936360137281,0.045271809727657306,-0.0032157441460581894,0.2706338466508411,0.2396598458078092,0.41801639616164876,
