member,generation,raw_total_pumping_cfs,effective_total_pumping_cfs,T_factor__T_minus_10pct,T_value__T_minus_10pct,depletion_cfs__T_minus_10pct,streamflow_cfs__T_minus_10pct,ag_receipts_reeval__T_minus_10pct,fish_prob_reeval__T_minus_10pct,T_factor__baseline_T,T_value__baseline_T,depletion_cfs__baseline_T,streamflow_cfs__baseline_T,ag_receipts_reeval__baseline_T,fish_prob_reeval__baseline_T,T_factor__T_plus_10pct,T_value__T_plus_10pct,depletion_cfs__T_plus_10pct,streamflow_cfs__T_plus_10pct,ag_receipts_reeval__T_plus_10pct,fish_prob_reeval__T_plus_10pct
gen=32_member=3991_pso,50,114.11748498664006,113.6728294514638,0.9,1530.0,3.647922944150732,4.9520770558492675,12200978.588406555,0.6351315584848206,1.0,1700.0,3.8587988098107666,4.7412011901892335,12200978.588406555,0.6190309686365849,1.1,1870.0000000000002,4.055654082008841,4.5443459179911585,12200978.588406555,0.6040008655605233
gen=37_member=4713_pso,50,113.62329616992702,113.25725659789096,0.9,1530.0,3.5193924808750667,5.080607519124933,12177156.784652073,0.6435588244559763,1.0,1700.0,3.725031305386037,4.874968694613963,12177156.784652073,0.6292442555721168,1.1,1870.0000000000002,3.9169916657718766,4.6830083342281235,12177156.784652073,0.6145878840617109
gen=41_member=5214_pso,50,112.83850155832631,111.63241981318505,0.9,1530.0,2.7457403014964727,5.854259698503527,11978411.285790766,0.6844188547413316,1.0,1700.0,2.9217675048988117,5.678232495101188,11978411.285790766,0.6764432812586526,1.1,1870.0000000000002,3.0871071533441445,5.5128928466558555,11978411.285790766,0.668951947588129
gen=47_member=5902_pso,50,104.82619723989076,102.73306098283294,0.9,1530.0,1.777121939082779,6.822878060917221,11103175.487190865,0.713483912605674,1.0,1700.0,1.9035170647950834,6.696482935204916,11103175.487190865,0.7108667270486267,1.1,1870.0000000000002,2.0223545895891193,6.577645410410881,11103175.487190865,0.7084060320513045
gen=45_member=5714_pso,50,111.5441493218038,110.83594791720645,0.9,1530.0,2.778567424592553,5.821432575407447,11993278.716311434,0.6829314986542198,1.0,1700.0,2.9583619028947408,5.641638097105259,11993278.716311434,0.6747852346350076,1.1,1870.0000000000002,3.126426889312578,5.473573110687422,11993278.716311434,0.666804518587416
gen=45_member=5725_pso,50,96.33107850210814,94.92444773110908,0.9,1530.0,1.4035359957927998,7.1964640042072,10086052.361235783,0.7194412139163232,1.0,1700.0,1.4995762866896,7.100423713310399,10086052.361235783,0.7183218843249791,1.1,1870.0000000000002,1.5909515254013642,7.009048474598636,10086052.361235783,0.7172569249454193
gen=41_member=5219_pso,50,102.11167767092121,100.48885944280241,0.9,1530.0,1.6485803710842308,6.951419628915769,10877623.213253161,0.7161455432132635,1.0,1700.0,1.765657821452267,6.8343421785477325,10877623.213253161,0.7137212929865848,1.1,1870.0000000000002,1.8759629427584559,6.724037057241544,10877623.213253161,0.7114372731818338
gen=38_member=4779_pso,50,106.95197505014431,106.563046480051,0.9,1530.0,2.0919217490134114,6.508078250986588,11511911.853114262,0.706965547983078,1.0,1700.0,2.2307479046219183,6.369252095378082,11511911.853114262,0.7026728899290035,1.1,1870.0000000000002,2.3609032618442094,6.239096738155791,11511911.853114262,0.6985661993992447
gen=39_member=4891_pso,50,114.04452867622658,114.03231986760247,0.9,1530.0,3.9142064744667353,4.685793525533264,12250726.961103301,0.6148005362906067,1.0,1700.0,4.133922772663108,4.466077227336892,12250726.961103301,0.5974754275877532,1.1,1870.0000000000002,4.338349817873812,4.261650182126187,12250726.961103301,0.5785555310929498
gen=38_member=4772_pso,50,105.96187333443666,104.91317880806483,0.9,1530.0,1.9310292278298407,6.668970772170159,11343536.810518842,0.7102970497344747,1.0,1700.0,2.069298865201697,6.530701134798303,11343536.810518842,0.7074339860216267,1.1,1870.0000000000002,2.1987849660940055,6.401215033905994,11343536.810518842,0.7036813916131229
gen=42_member=5263_pso,50,114.5217720819255,114.2226322908421,0.9,1530.0,3.972068483781182,4.627931516218817,12267261.652988074,0.6103827121984529,1.0,1700.0,4.194017426678351,4.405982573321649,12267261.652988074,0.5919136163670924,1.1,1870.0000000000002,4.400474943035511,4.199525056964489,12267261.652988074,0.5728057980447879
gen=40_member=5076_pso,50,110.12340825700751,109.05327032793033,0.9,1530.0,2.352005261816565,6.247994738183435,11779139.5975923,0.6988469510580866,1.0,1700.0,2.506916806535524,6.093083193464476,11779139.5975923,0.693959147841803,1.1,1870.0000000000002,2.65269954925651,5.947300450743489,11779139.5975923,0.6886344154162203
gen=49_member=6161_pso,50,96.12077302943432,95.02082706734132,0.9,1530.0,1.4109332298124315,7.189066770187568,10118254.813456059,0.7193550006941958,1.0,1700.0,1.507121775700919,7.09287822429908,10118254.813456059,0.7182339432217956,1.1,1870.0000000000002,1.5986588708970948,7.001341129102904,10118254.813456059,0.7171670974386143
gen=43_member=5437_pso,50,110.89639124266456,110.03669614928387,0.9,1530.0,2.5015032537458577,6.098496746254142,11872492.260370716,0.694129957453087,1.0,1700.0,2.664153731853429,5.9358462681465705,11872492.260370716,0.6881154406599326,1.1,1870.0000000000002,2.8170404488368743,5.782959551163126,11872492.260370716,0.681188333813612
gen=44_member=5578_pso,50,100.9755272472946,97.54597327332193,0.9,1530.0,1.5079195579632603,7.092080442036739,10529046.22432401,0.7182246452356551,1.0,1700.0,1.613148945323405,6.9868510546765945,10529046.22432401,0.7168791997941185,1.1,1870.0000000000002,1.712846650465132,6.887153349534867,10529046.22432401,0.7148148211838105
