member,generation,raw_total_pumping_cfs,effective_total_pumping_cfs,baseline_T_streamflow_cfs,baseline_T_depletion_cfs,expected_streamflow_cfs,expected_depletion_cfs,expected_streamflow_bias_from_baseline_cfs,expected_depletion_bias_from_baseline_cfs,streamflow_std_cfs,depletion_std_cfs,streamflow_p05_cfs,streamflow_p50_cfs,streamflow_p95_cfs,depletion_p05_cfs,depletion_p50_cfs,depletion_p95_cfs,probability_weighted_streamflow_error_cfs,probability_weighted_absolute_streamflow_error_cfs,probability_weighted_streamflow_shortfall_cfs,probability_streamflow_lower_than_baseline,probability_streamflow_below_threshold,max_absolute_streamflow_error_cfs,max_streamflow_shortfall_below_baseline_cfs,min_streamflow_cfs,max_streamflow_cfs,min_depletion_cfs,max_depletion_cfs
gen=50_member=6378_pso,50.0,103.01387905851547,101.99905238085735,6.7543955984777,1.8456044015222999,6.757510243486648,1.842489756513352,0.0031146450089476474,-0.0031146450089478694,0.1098134847764134,0.10981348477641335,6.555411590341896,6.730850150208417,6.923516975119149,1.623650758998528,1.821454988469878,2.0008739653282945,-0.0031146450089475086,0.08818350406591507,0.04253442952848378,0.41801639616164893,,0.25472354640842454,0.2253099700039325,6.5290856284737675,7.0091191448861245,1.5908808551138756,2.0709143715262317
gen=50_member=6333_pso,50.0,103.37773224715643,102.20628686234474,6.732477962150708,1.867522037849292,6.735594458623308,1.8644055413766902,0.003116496472600261,-0.003116496472601815,0.10979538826453386,0.10979538826453394,6.533541916498085,6.708949828936756,6.90158240365311,1.6455274855053417,1.8433896328432424,2.02276228399917,-0.003116496472601449,0.0881596578456463,0.04252158068652244,0.41801639616164893,,0.2548133330141473,0.22524643745627237,6.507231524694435,6.987291295164855,1.612708704835144,2.092768475305564
gen=29_member=3643_pso,50.0,104.2103519446892,102.35342522480737,6.707143575449283,1.8928564245507165,6.710265211571533,1.8897347884284672,0.0031216361222501376,-0.0031216361222492495,0.11154343809724722,0.11154343809724723,6.504889138616712,6.683229050231849,6.878842818411624,1.6675407677268517,1.868334343451576,2.050675143489481,-0.003121636122249493,0.08957212046713772,0.04322524217244412,0.41801639616164893,,0.25856735770078565,0.22901605497081157,6.478127520478472,6.965710933150069,1.6342890668499308,2.1218724795215285
gen=44_member=5596_pso,50.0,103.21540709514603,102.5820707638887,6.693556892688298,1.9064431073117016,6.696620402654242,1.9033795973457583,0.003063509965944178,-0.0030635099659432896,0.11091745519546979,0.11091745519546982,6.492380468688791,6.669766607597133,6.8642326313677975,1.6824059066371904,1.8820821184872918,2.063436695140033,-0.0030635099659438543,0.08906455913956547,0.043000524586810814,0.41801639616164893,,0.2571441131192431,0.22777993190522405,6.4657769607830735,6.950701005807541,1.6492989941924592,2.134223039216926
gen=39_member=4906_pso,50.0,106.00551992707378,102.6470658946195,6.674995446226635,1.9250045537733647,6.678127218442453,1.921872781557546,0.0031317722158181738,-0.003131772215818618,0.11165365610038615,0.11165365610038612,6.472664530198811,6.65105455384029,6.846910549622568,1.6992799247923713,1.9004824105174352,2.082927368656163,-0.0031317722158185866,0.08965089542540244,0.04325956160479193,0.41801639616164893,,0.2591199008192753,0.22906918003230103,6.445926266194334,6.9341153470459105,1.6658846529540887,2.1540737338056655
gen=47_member=5902_pso,50.0,104.82619723989076,102.73306098283294,6.696482935204916,1.9035170647950834,6.699656661693321,1.9003433383066786,0.00317372648840486,-0.00317372648840486,0.11274894320444047,0.11274894320444041,6.492109715994295,6.6723086489799215,6.870075464197845,1.6757166111989148,1.878724829213056,2.0629964465352653,-0.0031737264884052997,0.09054189627889436,0.043684084895244536,0.41801639616164893,,0.26141890758112485,0.23141315898013293,6.465069776224783,6.957901842786041,1.642098157213959,2.134930223775217
gen=38_member=4784_pso,50.0,106.1827838891305,103.04783317258301,6.666414597870984,1.9335854021290155,6.669314457942998,1.9306855420570015,0.0028998600720138157,-0.0028998600720140377,0.11010462695687101,0.11010462695687094,6.466289375156569,6.64275670474858,6.835515703653818,1.7117468076372933,1.9093845582563151,2.0897440957360045,-0.002899860072013866,0.08843671955528154,0.042768429741633834,0.41801639616164893,,0.2545435903444808,0.22660258656453003,6.439812011306454,6.920958188215465,1.679041811784535,2.1601879886935453
gen=36_member=4525_pso,50.0,104.19322171008152,103.08180649590791,6.650960231293066,1.9490397687069334,6.653910927223866,1.9460890727761326,0.002950695930800329,-0.002950695930800773,0.11125504862754697,0.11125504862754702,6.448810146730062,6.627062028683057,6.821878153180349,1.7247966368790815,1.924588844148045,2.1067808955163336,-0.002950695930801042,0.0893569448509762,0.043203124460087575,0.41801639616164893,,0.25731369963248696,0.2288919374922953,6.422068293800771,6.908273930925553,1.6917260690744462,2.177931706199229
gen=50_member=6332_pso,50.0,104.88944693775548,103.52297256238982,6.630616777684313,1.9693832223156864,6.6339621512962905,1.966037848703709,0.003345373611977287,-0.003345373611977509,0.11562227260256526,0.11562227260256519,6.421375541070221,6.605846837085515,6.808836572770142,1.7353675034519014,1.9439664809337776,2.1327144205389943,-0.0033453736119777536,0.09283572892837437,0.04474517765819831,0.41801639616164893,,0.2686456726539497,0.23688050919995085,6.393736268484362,6.899262450338263,1.7007375496617372,2.2062637315156373
gen=46_member=5867_pso,50.0,105.21533215860791,103.53371204745807,6.621398329313642,1.9786016706863572,6.624425171861525,1.9755748281384757,0.0030268425478823247,-0.0030268425478814365,0.11256430748959667,0.11256430748959656,6.417032063580573,6.597220498890992,6.794412162613915,1.751560733930502,1.9538580853093643,2.1381021286591606,-0.003026842547881877,0.0904077155150242,0.04369043648357117,0.41801639616164893,,0.2605587399510716,0.23138207378052478,6.3900162555331175,6.881957069264714,1.718042930735286,2.209983744466882
