member,scenario,T_multiplier,total_pumping_cfs,depletion_metric_cfs,depletion_metric_source,streamflow_metric_cfs
gen=30_member=1109_pso,baseline,1.0,114.4047893614414,3.9926738939052164,lpr:total_combined:bdpl,4.607326106094783
gen=41_member=1520_pso,baseline,1.0,110.5203855999999,2.4916533116090496,lpr:total_combined:bdpl,6.1083466883909505
gen=21_member=768_pso,baseline,1.0,111.09128701366775,2.6496873279639,lpr:total_combined:bdpl,5.9503126720361
gen=32_member=1210_pso,baseline,1.0,112.81746595618523,3.21673962629594,lpr:total_combined:bdpl,5.38326037370406
gen=11_member=412_pso,baseline,1.0,115.07142639766025,4.345800522832347,lpr:total_combined:bdpl,4.254199477167653
gen=40_member=1507_pso,baseline,1.0,115.6655755542679,4.677112950158823,lpr:total_combined:bdpl,3.9228870498411768
gen=48_member=1796_pso,baseline,1.0,113.24769434383359,3.409835271829679,lpr:total_combined:bdpl,5.190164728170321
gen=39_member=1465_pso,baseline,1.0,110.84172379958206,2.576932350301738,lpr:total_combined:bdpl,6.023067649698262
gen=12_member=452_pso,baseline,1.0,115.4260364481906,4.555366489230733,lpr:total_combined:bdpl,4.044633510769267
gen=24_member=905_pso,baseline,1.0,112.55967125900774,3.109056950333262,lpr:total_combined:bdpl,5.490943049666738
gen=46_member=1734_pso,baseline,1.0,115.72542110724855,4.710402066861066,lpr:total_combined:bdpl,3.8895979331389334
gen=17_member=633_pso,baseline,1.0,112.03387775879351,2.935300682294825,lpr:total_combined:bdpl,5.664699317705175
gen=45_member=1695_pso,baseline,1.0,114.92182148188249,4.264772899980341,lpr:total_combined:bdpl,4.335227100019659
gen=31_member=1161_pso,baseline,1.0,116.05185421523655,4.894272624582452,lpr:total_combined:bdpl,3.7057273754175473
gen=28_member=1037_pso,baseline,1.0,115.3075526540238,4.4842412179378925,lpr:total_combined:bdpl,4.115758782062107
gen=22_member=817_pso,baseline,1.0,115.44352027991796,4.554627894401462,lpr:total_combined:bdpl,4.045372105598537
gen=38_member=1441_pso,baseline,1.0,114.75127520419302,4.169662037117238,lpr:total_combined:bdpl,4.430337962882762
gen=30_member=1130_pso,baseline,1.0,115.3412998879782,4.500037669209697,lpr:total_combined:bdpl,4.099962330790302
gen=15_member=533_pso,baseline,1.0,110.86641687397656,2.5922667898023306,lpr:total_combined:bdpl,6.007733210197669
gen=23_member=838_pso,baseline,1.0,114.82314604660613,4.210154841891651,lpr:total_combined:bdpl,4.389845158108349
gen=30_member=1106_pso,baseline,1.0,113.1334698381388,3.3475601998900157,lpr:total_combined:bdpl,5.252439800109984
gen=24_member=882_pso,baseline,1.0,114.64914217455917,4.111921197727433,lpr:total_combined:bdpl,4.488078802272566
gen=46_member=1716_pso,baseline,1.0,113.1119600981481,3.3480160388597966,lpr:total_combined:bdpl,5.251983961140203
gen=19_member=712_pso,baseline,1.0,114.76278436204593,4.175889120007255,lpr:total_combined:bdpl,4.424110879992744
gen=18_member=675_pso,baseline,1.0,112.61552369468188,3.150299699983431,lpr:total_combined:bdpl,5.449700300016568
gen=33_member=1244_pso,baseline,1.0,115.65224935612154,4.6745817179665385,lpr:total_combined:bdpl,3.925418282033461
gen=20_member=729_pso,baseline,1.0,114.94718787768068,4.287702589790277,lpr:total_combined:bdpl,4.312297410209722
gen=20_member=738_pso,baseline,1.0,115.08369644443339,4.351952496202667,lpr:total_combined:bdpl,4.248047503797332
gen=42_member=1565_pso,baseline,1.0,115.85681246491316,4.783866366903494,lpr:total_combined:bdpl,3.8161336330965057
gen=34_member=1281_pso,baseline,1.0,113.11171179029257,3.339604763086557,lpr:total_combined:bdpl,5.260395236913443
gen=41_member=1553_pso,baseline,1.0,114.82287080217955,4.2077359696793,lpr:total_combined:bdpl,4.3922640303207
gen=30_member=1110_pso,baseline,1.0,114.81761543608862,4.204017410015414,lpr:total_combined:bdpl,4.395982589984586
gen=36_member=1334_pso,baseline,1.0,113.09993167965851,3.343888246340818,lpr:total_combined:bdpl,5.256111753659182
gen=23_member=858_pso,baseline,1.0,112.994375438658,3.307402979524147,lpr:total_combined:bdpl,5.292597020475853
gen=50_member=1866_pso,baseline,1.0,113.7837948738397,3.6605433989429814,lpr:total_combined:bdpl,4.939456601057018
gen=50_member=1871_pso,baseline,1.0,115.68339721571724,4.690838884257678,lpr:total_combined:bdpl,3.9091611157423216
gen=50_member=1880_pso,baseline,1.0,115.38637046075628,4.521572439343094,lpr:total_combined:bdpl,4.078427560656905
10,Tplus10per,1.1,117.08772119151709,5.606546661902408,lpr:total_combined:bdpl,2.9934533380975914
gen=49_member=1825_pso,Tplus10per,1.1,110.4101658422017,2.6396871366483277,lpr:total_combined:bdpl,5.960312863351672
12,Tplus10per,1.1,116.98788490037938,5.5366792796041535,lpr:total_combined:bdpl,3.063320720395846
36,Tplus10per,1.1,116.81517033881784,5.399701745592194,lpr:total_combined:bdpl,3.200298254407806
gen=43_member=1604_pso,Tplus10per,1.1,113.74553343688041,3.8614750825932163,lpr:total_combined:bdpl,4.738524917406783
gen=44_member=1641_pso,Tplus10per,1.1,116.3350487658274,5.308368550001932,lpr:total_combined:bdpl,3.291631449998068
8,Tplus10per,1.1,117.06460157513362,5.563700017174929,lpr:total_combined:bdpl,3.0362999828250707
gen=49_member=1852_pso,Tplus10per,1.1,112.76268315118593,3.392966548794556,lpr:total_combined:bdpl,5.207033451205444
gen=21_member=789_pso,Tplus10per,1.1,113.5383545676143,3.7926339885697553,lpr:total_combined:bdpl,4.807366011430244
gen=18_member=676_pso,Tplus10per,1.1,115.11458380266312,4.622266946477877,lpr:total_combined:bdpl,3.9777330535221225
gen=7_member=260_pso,Tplus10per,1.1,116.12395668984307,5.191730288392439,lpr:total_combined:bdpl,3.40826971160756
gen=16_member=602_pso,Tplus10per,1.1,112.25346283710967,3.2040705931563878,lpr:total_combined:bdpl,5.395929406843612
gen=12_member=420_pso,Tplus10per,1.1,110.97825057886034,2.8225851613271074,lpr:total_combined:bdpl,5.777414838672892
gen=42_member=1570_pso,Tplus10per,1.1,113.8283605094033,3.9054324775075253,lpr:total_combined:bdpl,4.694567522492474
20,Tplus10per,1.1,116.32459714717612,5.254962448711818,lpr:total_combined:bdpl,3.345037551288182
gen=27_member=993_pso,Tplus10per,1.1,114.25115657477404,4.135169179568381,lpr:total_combined:bdpl,4.464830820431619
gen=31_member=1169_pso,Tplus10per,1.1,113.50002200284267,3.7566452156102352,lpr:total_combined:bdpl,4.843354784389764
gen=27_member=1010_pso,Tplus10per,1.1,114.09266500515412,4.044855992391557,lpr:total_combined:bdpl,4.555144007608443
gen=22_member=819_pso,Tplus10per,1.1,114.18347799153281,4.095834490088678,lpr:total_combined:bdpl,4.504165509911322
gen=38_member=1440_pso,Tplus10per,1.1,113.35804439337272,3.667216501629274,lpr:total_combined:bdpl,4.932783498370726
gen=32_member=1182_pso,Tplus10per,1.1,111.36023254322839,2.9096464153810997,lpr:total_combined:bdpl,5.6903535846189
gen=9_member=318_pso,Tplus10per,1.1,115.99808480510761,5.131673336954058,lpr:total_combined:bdpl,3.468326663045942
gen=35_member=1329_pso,Tplus10per,1.1,113.84791084662494,3.9197490569647497,lpr:total_combined:bdpl,4.68025094303525
gen=16_member=590_pso,Tplus10per,1.1,113.05411225412092,3.5587376417494614,lpr:total_combined:bdpl,5.041262358250538
gen=40_member=1489_pso,Tplus10per,1.1,111.48626245012662,2.9515852311918183,lpr:total_combined:bdpl,5.648414768808181
gen=46_member=1746_pso,Tplus10per,1.1,114.05170364496287,4.02576385052953,lpr:total_combined:bdpl,4.57423614947047
gen=37_member=1384_pso,Tplus10per,1.1,111.83794824170685,3.078634851942037,lpr:total_combined:bdpl,5.521365148057963
gen=28_member=1045_pso,Tplus10per,1.1,112.3848649606129,3.234727688495643,lpr:total_combined:bdpl,5.365272311504357
gen=45_member=1687_pso,Tplus10per,1.1,115.5351311941793,4.848889494358812,lpr:total_combined:bdpl,3.7511105056411873
gen=31_member=1143_pso,Tplus10per,1.1,110.8870646470241,2.771630045715642,lpr:total_combined:bdpl,5.828369954284358
gen=12_member=454_pso,Tplus10per,1.1,115.77410762102116,4.999268201983036,lpr:total_combined:bdpl,3.6007317980169633
