total_pumping_cfs,depletion_metric_cfs,streamflow_metric_cfs,member,scenario
0.0,0.25703518567683403,-0.25703518567683403,gen=28_member=1030_pso,Tplus10per
0.0,0.24048470137169797,-0.24048470137169797,gen=28_member=1037_pso,Tplus10per
0.0,0.2010886058813064,-0.2010886058813064,gen=28_member=1045_pso,Tplus10per
0.0,0.19165725004881384,-0.19165725004881384,gen=28_member=1048_pso,Tplus10per
0.0,0.2324387618429844,-0.2324387618429844,gen=28_member=1060_pso,Tplus10per
0.0,0.18564865466163338,-0.18564865466163294,gen=28_member=1062_pso,Tplus10per
0.0,0.2436959399095011,-0.2436959399095011,gen=29_member=1067_pso,Tplus10per
0.0,0.23138237604337508,-0.23138237604337508,gen=29_member=1069_pso,Tplus10per
0.0,0.2022403358287721,-0.20224033582877254,gen=29_member=1071_pso,Tplus10per
0.0,0.17944574367586785,-0.17944574367586785,gen=29_member=1091_pso,Tplus10per
0.0,0.21567084269701242,-0.21567084269701287,gen=29_member=1095_pso,Tplus10per
0.0,0.21084740295044346,-0.2108474029504439,gen=30_member=1106_pso,Tplus10per
0.0,0.22894554702395187,-0.22894554702395187,gen=30_member=1109_pso,Tplus10per
0.0,0.23380338068513584,-0.23380338068513584,gen=30_member=1110_pso,Tplus10per
0.0,0.20433006704185708,-0.20433006704185708,gen=30_member=1117_pso,Tplus10per
0.0,0.24618607083885813,-0.24618607083885813,gen=30_member=1124_pso,Tplus10per
0.0,0.24109758508262225,-0.24109758508262225,gen=30_member=1130_pso,Tplus10per
0.0,0.18173278873027643,-0.18173278873027687,gen=31_member=1143_pso,Tplus10per
0.0,0.2284334585615988,-0.22843345856159925,gen=31_member=1151_pso,Tplus10per
0.0,0.24773801753662283,-0.24773801753662283,gen=31_member=1153_pso,Tplus10per
0.0,0.22995678329835423,-0.22995678329835378,gen=31_member=1158_pso,Tplus10per
0.0,0.2242913084093474,-0.22429130840934697,gen=31_member=1160_pso,Tplus10per
0.0,0.2521654144511576,-0.2521654144511576,gen=31_member=1161_pso,Tplus10per
0.0,0.2188484478168382,-0.2188484478168382,gen=31_member=1164_pso,Tplus10per
0.0,0.21705234416628816,-0.21705234416628816,gen=31_member=1169_pso,Tplus10per
0.0,0.2031438690959373,-0.2031438690959373,gen=31_member=1170_pso,Tplus10per
0.0,0.2253731322818755,-0.2253731322818755,gen=31_member=1176_pso,Tplus10per
0.0,0.18763870705187946,-0.18763870705187902,gen=32_member=1182_pso,Tplus10per
0.0,0.23255883946628586,-0.23255883946628586,gen=32_member=1192_pso,Tplus10per
0.0,0.22974439707544292,-0.22974439707544292,gen=32_member=1204_pso,Tplus10per
0.0,0.25020388632434276,-0.25020388632434276,gen=32_member=1207_pso,Tplus10per
0.0,0.20679799449779068,-0.20679799449779068,gen=32_member=1210_pso,Tplus10per
0.0,0.22737037733236054,-0.22737037733236054,gen=32_member=1213_pso,Tplus10per
0.0,0.1845617568906528,-0.1845617568906528,gen=33_member=1225_pso,Tplus10per
0.0,0.22353534633357075,-0.22353534633357075,gen=33_member=1226_pso,Tplus10per
0.0,0.23426835561644843,-0.23426835561644843,gen=33_member=1227_pso,Tplus10per
0.0,0.24281032953590742,-0.24281032953590742,gen=33_member=1241_pso,Tplus10per
0.0,0.246015223670625,-0.246015223670625,gen=33_member=1244_pso,Tplus10per
0.0,0.19582418835143933,-0.19582418835143933,gen=34_member=1258_pso,Tplus10per
0.0,0.20490230936376674,-0.2049023093637663,gen=34_member=1266_pso,Tplus10per
0.0,0.21297692358600928,-0.21297692358600973,gen=34_member=1267_pso,Tplus10per
0.0,0.21059410517823896,-0.21059410517823896,gen=34_member=1281_pso,Tplus10per
0.0,0.23162343852296363,-0.23162343852296363,gen=34_member=1286_pso,Tplus10per
0.0,0.22301882638260517,-0.22301882638260473,gen=35_member=1300_pso,Tplus10per
0.0,0.191512765646209,-0.191512765646209,gen=35_member=1311_pso,Tplus10per
0.0,0.24485722006410615,-0.24485722006410615,gen=35_member=1312_pso,Tplus10per
0.0,0.1955295910822179,-0.19552959108221835,gen=35_member=1321_pso,Tplus10per
0.0,0.22150597838447794,-0.22150597838447794,gen=35_member=1329_pso,Tplus10per
0.0,0.21052495005805705,-0.2105249500580575,gen=36_member=1334_pso,Tplus10per
0.0,0.2538210760572115,-0.2538210760572115,gen=36_member=1342_pso,Tplus10per
0.0,0.2285886884243462,-0.2285886884243462,gen=36_member=1364_pso,Tplus10per
0.0,0.17993128735316777,-0.17993128735316777,gen=37_member=1368_pso,Tplus10per
0.0,0.2514858894828844,-0.2514858894828844,gen=37_member=1378_pso,Tplus10per
0.0,0.19436539659203955,-0.19436539659203955,gen=37_member=1384_pso,Tplus10per
0.0,0.209316114188554,-0.209316114188554,gen=37_member=1392_pso,Tplus10per
0.0,0.23756929723821152,-0.23756929723821152,gen=37_member=1396_pso,Tplus10per
0.0,0.23367182643671391,-0.23367182643671391,gen=37_member=1398_pso,Tplus10per
0.0,0.1782639293093342,-0.17826392930933466,gen=38_member=1427_pso,Tplus10per
0.0,0.253987748425212,-0.253987748425212,gen=38_member=1428_pso,Tplus10per
0.0,0.2014528444505177,-0.20145284445051814,gen=38_member=1432_pso,Tplus10per
0.0,0.21431304425459263,-0.21431304425459263,gen=38_member=1440_pso,Tplus10per
0.0,0.23281708292267034,-0.23281708292267034,gen=38_member=1441_pso,Tplus10per
0.0,0.23256507969542906,-0.23256507969542906,gen=39_member=1460_pso,Tplus10per
0.0,0.18122495809378236,-0.18122495809378236,gen=39_member=1465_pso,Tplus10per
0.0,0.2366125668776613,-0.2366125668776613,gen=39_member=1474_pso,Tplus10per
0.0,0.18921738288396206,-0.18921738288396206,gen=40_member=1489_pso,Tplus10per
0.0,0.24170324365679008,-0.24170324365679008,gen=40_member=1496_pso,Tplus10per
0.0,0.24611491665527385,-0.24611491665527385,gen=40_member=1507_pso,Tplus10per
0.0,0.17751679370172413,-0.17751679370172457,gen=41_member=1520_pso,Tplus10per
0.0,0.1965504549019772,-0.19655045490197676,gen=41_member=1526_pso,Tplus10per
0.0,0.18701012540732664,-0.1870101254073262,gen=41_member=1534_pso,Tplus10per
0.0,0.23491941399733385,-0.23491941399733385,gen=41_member=1550_pso,Tplus10per
0.0,0.2340475948851255,-0.2340475948851255,gen=41_member=1553_pso,Tplus10per
0.0,0.24692950661296464,-0.24692950661296464,gen=42_member=1564_pso,Tplus10per
0.0,0.24882746960807278,-0.24882746960807278,gen=42_member=1565_pso,Tplus10per
0.0,0.22160686643943617,-0.22160686643943617,gen=42_member=1570_pso,Tplus10per
0.0,0.20452686374663687,-0.20452686374663642,gen=42_member=1575_pso,Tplus10per
0.0,0.18962533190905217,-0.18962533190905173,gen=42_member=1590_pso,Tplus10per
0.0,0.21106679390976701,-0.21106679390976701,gen=42_member=1595_pso,Tplus10per
0.0,0.22014842823441994,-0.22014842823442038,gen=43_member=1604_pso,Tplus10per
0.0,0.19231829071743256,-0.19231829071743256,gen=43_member=1607_pso,Tplus10per
0.0,0.20327129095959506,-0.20327129095959506,gen=43_member=1609_pso,Tplus10per
0.0,0.21376077740674138,-0.21376077740674138,gen=43_member=1614_pso,Tplus10per
0.0,0.2412921941930728,-0.2412921941930728,gen=43_member=1618_pso,Tplus10per
0.0,0.2541728175680129,-0.2541728175680129,gen=43_member=1628_pso,Tplus10per
0.0,0.1863045137814714,-0.1863045137814714,gen=43_member=1630_pso,Tplus10per
0.0,0.2559800938072003,-0.2559800938072003,gen=44_member=1641_pso,Tplus10per
0.0,0.2409081318959405,-0.2409081318959405,gen=44_member=1646_pso,Tplus10per
0.0,0.22828578750538586,-0.22828578750538586,gen=44_member=1653_pso,Tplus10per
0.0,0.2154084622545347,-0.21540846225453425,gen=44_member=1661_pso,Tplus10per
0.0,0.23657189827262837,-0.23657189827262837,gen=44_member=1663_pso,Tplus10per
0.0,0.23881919024028164,-0.23881919024028164,gen=44_member=1670_pso,Tplus10per
0.0,0.24418584219359563,-0.24418584219359563,gen=45_member=1687_pso,Tplus10per
0.0,0.2230088627906457,-0.22300886279064525,gen=45_member=1692_pso,Tplus10per
0.0,0.23539160542370485,-0.23539160542370485,gen=45_member=1695_pso,Tplus10per
0.0,0.2311291905470192,-0.2311291905470192,gen=45_member=1698_pso,Tplus10per
0.0,0.21065964972336548,-0.21065964972336548,gen=46_member=1716_pso,Tplus10per
0.0,0.2505552598747256,-0.2505552598747256,gen=46_member=1728_pso,Tplus10per
0.0,0.24694364356585652,-0.24694364356585652,gen=46_member=1734_pso,Tplus10per
0.0,0.24948955138950346,-0.24948955138950346,gen=46_member=1738_pso,Tplus10per
0.0,0.22401394702159516,-0.2240139470215956,gen=46_member=1746_pso,Tplus10per
