member,generation,scenario,T_factor,T_value,S_factor,S_value,archive_pumping_objective_cfs,pumping_objective_reeval_cfs,full_model_total_pumping_cfs,archive_depletion_cfs,depletion_cfs,streamflow_cfs,z_score,parameter_factor,parameter_value,base_parameter_value,probability_weight,parameter_name,parameter_label,parameter_symbol
gen=29_member=4835_pso,50,storage_zminus_2p00,,,0.8,0.096,31.1628132,31.16289112554577,109.77542032554577,2.02499,2.363304047584191,6.2366959524158085,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=43_member=7309_pso,50,storage_zminus_2p00,,,0.8,0.096,28.36244,28.362383210764136,106.97491241076412,1.53641,1.820596008451996,6.779403991548004,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=42_member=7162_pso,50,storage_zminus_2p00,,,0.8,0.096,34.2657488,34.265693983561704,112.87822318356172,2.92099,3.344522367549474,5.255477632450526,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=43_member=7394_pso,50,storage_zminus_2p00,,,0.8,0.096,29.6994628,29.69937939750987,108.31190859750988,1.74092,2.048146872725681,6.551853127274319,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=47_member=7994_pso,50,storage_zminus_2p00,,,0.8,0.096,27.7078536,27.707961235794844,106.32049043579484,1.42551,1.696525666668529,6.90347433333147,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=48_member=8212_pso,50,storage_zminus_2p00,,,0.8,0.096,25.5088176,25.50891213870453,104.12144133870451,1.2664,1.520640693891387,7.079359306108612,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=34_member=5718_pso,50,storage_zminus_2p00,,,0.8,0.096,19.21797048,19.217975104740983,97.83050430474096,0.92753,1.1207713246639623,7.479228675336037,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=40_member=6749_pso,50,storage_zminus_2p00,,,0.8,0.096,32.0337384,32.03382245921868,110.64635165921868,2.22633,2.58422827843313,6.015771721566869,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=45_member=7712_pso,50,storage_zminus_2p00,,,0.8,0.096,31.9644476,31.96441941761888,110.57694861761888,2.20694,2.562444713075207,6.037555286924793,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=49_member=8286_pso,50,storage_zminus_2p00,,,0.8,0.096,31.8857992,31.88574680923485,110.49827600923484,2.18552,2.5394881327212726,6.060511867278727,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=47_member=7987_pso,50,storage_zminus_2p00,,,0.8,0.096,32.3378604,32.3379503115816,110.95047951158162,2.30822,2.672476079633174,5.927523920366825,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=42_member=7104_pso,50,storage_zminus_2p00,,,0.8,0.096,37.1305112,37.1305477391165,115.7430769391165,4.35228,4.878473940852719,3.7215260591472807,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=44_member=7536_pso,50,storage_zminus_2p00,,,0.8,0.096,23.4668556,23.46684587614881,102.0793750761488,1.11985,1.353513545614302,7.246486454385698,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
gen=38_member=6480_pso,50,storage_zminus_2p00,,,0.8,0.096,31.4072248,31.40713306593588,110.01966226593586,2.07448,2.4212952492041686,6.178704750795831,-2.0,0.8,0.096,0.12,0.022190548492442997,storage,Storage,S
