obsnme,obsval,weight,obgnme
lpr:71062:bdpl,1.5215978596333414e-05,0,obgnme
lpr:71063:bdpl,0.000392334146648,0,obgnme
lpr:71109:bdpl,0.0140819920695383,0,obgnme
lpr:71110:bdpl,0.0092195393821456,0,obgnme
lpr:71117:bdpl,8.267699909764375e-08,0,obgnme
lpr:71156:bdpl,3.406081594253063e-06,0,obgnme
lpr:71199:bdpl,1.1736023020280528e-06,0,obgnme
lpr:71495:bdpl,0.0002879328297735,0,obgnme
lpr:71935:bdpl,0.0005540384850505,0,obgnme
lpr:71998:bdpl,1.190204925866249e-09,0,obgnme
lpr:72082:bdpl,0.0001185695896693,0,obgnme
lpr:72094:bdpl,6.48470311261795e-06,0,obgnme
lpr:72095:bdpl,5.307248256683558e-06,0,obgnme
lpr:72269:bdpl,0.0005680929130504,0,obgnme
lpr:72301:bdpl,1.509155205156045e-07,0,obgnme
lpr:72304:bdpl,1.0965021446677332e-06,0,obgnme
lpr:72421:bdpl,2.1476583295704517e-14,0,obgnme
lpr:72422:bdpl,8.625596751850076e-13,0,obgnme
lpr:72436:bdpl,2.738876880228215e-07,0,obgnme
lpr:72437:bdpl,2.9130445560607667e-06,0,obgnme
lpr:72607:bdpl,0.0003720102212232,0,obgnme
lpr:72610:bdpl,0.0022555592325552,0,obgnme
lpr:72713:bdpl,0.0004261951346573,0,obgnme
lpr:72756:bdpl,3.483383770942538e-05,0,obgnme
lpr:72983:bdpl,1.1353138460515097e-07,0,obgnme
lpr:73153:bdpl,5.739006507755426e-07,0,obgnme
lpr:73262:bdpl,5.063838344725825e-14,0,obgnme
lpr:73280:bdpl,7.059952878721912e-06,0,obgnme
lpr:73281:bdpl,0.000779382171728,0,obgnme
lpr:73372:bdpl,9.084780716705325e-08,0,obgnme
lpr:73440:bdpl,8.700385672674723e-07,0,obgnme
lpr:73481:bdpl,0.0002076812769823,0,obgnme
lpr:73715:bdpl,0.0061042300136927,0,obgnme
lpr:73737:bdpl,7.644446158020231e-11,0,obgnme
lpr:73761:bdpl,1.7272563622723424e-05,0,obgnme
lpr:73762:bdpl,0.0067578963249136,0,obgnme
lpr:73906:bdpl,2.4471103667423357e-08,0,obgnme
lpr:73940:bdpl,6.789193443183034e-09,0,obgnme
lpr:73942:bdpl,7.012852629145419e-07,0,obgnme
lpr:74131:bdpl,3.2904953509016917e-09,0,obgnme
lpr:74280:bdpl,1.9577893778357185e-11,0,obgnme
lpr:798:bdpl,6.53525236086237e-08,0,obgnme
lpr:807:bdpl,0.0003775120519856,0,obgnme
lpr:84404:bdpl,0.0001074817438621,0,obgnme
lpr:84409:bdpl,0.0008343004430052,0,obgnme
lpr:84411:bdpl,0.0112015234338711,0,obgnme
lpr:850:bdpl,9.103725878762451e-06,0,obgnme
lpr:862:bdpl,6.120902270615761e-05,0,obgnme
lpr:91103:bdpl,1.2246390408144966e-08,0,obgnme
lpr:91173:bdpl,6.901967860059489e-06,0,obgnme
lpr:91808:bdpl,1.4625179452353485e-12,0,obgnme
lpr:91996:bdpl,1.2929366798949315e-10,0,obgnme
lpr:91997:bdpl,5.786038952117332e-09,0,obgnme
lpr:92099:bdpl,2.3718788253377606e-07,0,obgnme
lpr:92184:bdpl,3.463222347657104e-05,0,obgnme
lpr:92299:bdpl,1.8124280558586e-11,0,obgnme
lpr:92696:bdpl,1.325001373983379e-15,0,obgnme
lpr:92714:bdpl,9.628864021141852e-09,0,obgnme
lpr:92724:bdpl,4.970867734995953e-15,0,obgnme
lpr:92743:bdpl,1.0728663860736936e-12,0,obgnme
lpr:92808:bdpl,2.3959400578075384e-08,0,obgnme
lpr:92885:bdpl,2.690385256246658e-05,0,obgnme
lpr:92981:bdpl,1.7959314971742223e-09,0,obgnme
lpr:93142:bdpl,0.0005774497049849,0,obgnme
lpr:93143:bdpl,5.52997575790864e-05,0,obgnme
lpr:93349:bdpl,4.276794990121022e-05,0,obgnme
lpr:93422:bdpl,8.196494041199464e-15,0,obgnme
lpr:93423:bdpl,8.78946248588967e-15,0,obgnme
lpr:93424:bdpl,1.9512558592349924e-14,0,obgnme
lpr:93469:bdpl,0.0065857187141116,0,obgnme
lpr:93832:bdpl,4.3120883753331294e-14,0,obgnme
lpr:94302:bdpl,0.0370403643270445,0,obgnme
lpr:94988:bdpl,2.4809791430451154e-08,0,obgnme
lpr:95068:bdpl,7.244530347405125e-06,0,obgnme
lpr:total_combined:bdpl,4.685475733959509,1,less_than_depletion
lpr:total_existing:bdpl,4.679641202616836,0,obgnme
lpr:total_proposed:bdpl,0.0066899310261558,0,obgnme
