member,generation,ag_receipts_archive,fish_prob_archive,ag_receipts_reeval,fish_prob_reeval,raw_total_pumping_archive_gpm,raw_total_pumping_reeval_gpm,raw_total_pumping_archive_cfs,raw_total_pumping_reeval_cfs,effective_total_pumping_archive_gpm,effective_total_pumping_reeval_gpm,effective_total_pumping_archive_cfs,effective_total_pumping_reeval_cfs,depletion_archive_cfs,streamflow_archive_cfs,depletion_reeval_cfs,streamflow_reeval_cfs
gen=39_member=4970_pso,50,12038300.0,0.666387,12038325.731098836,0.6663874761853259,50516.56288398654,50516.56288398654,112.550902105522,112.550902105522,50255.35737047452,50255.35737047452,111.96893622141724,111.96893622141724,3.133476939671035,5.4665230603289645,3.133476939671035,5.4665230603289645
gen=32_member=3991_pso,50,12201000.0,0.619031,12200978.588406555,0.6190309686365849,51219.6970317056,51219.6970317056,114.11748498664006,114.11748498664006,51020.12093871804,51020.12093871804,113.6728294514638,113.6728294514638,3.858798809810767,4.741201190189233,3.8587988098107666,4.7412011901892335
gen=37_member=4713_pso,50,12177200.0,0.629244,12177156.784652073,0.6292442555721168,50997.8887656764,50997.8887656764,113.62329616992702,113.62329616992702,50833.59811395465,50833.59811395465,113.25725659789096,113.25725659789096,3.725031305386037,4.874968694613963,3.725031305386037,4.874968694613963
gen=41_member=5214_pso,50,11978400.0,0.676443,11978411.285790766,0.6764432812586526,50645.64701899745,50645.64701899745,112.83850155832631,112.83850155832631,50104.31768993943,50104.31768993943,111.63241981318505,111.63241981318505,2.921767504898812,5.678232495101188,2.9217675048988117,5.678232495101188
gen=47_member=5902_pso,50,11103200.0,0.710867,11103175.487190865,0.7108667270486267,47049.460161530864,47049.460161530864,104.82619723989076,104.82619723989076,46109.99146446721,46109.99146446721,102.73306098283294,102.73306098283294,1.9035170647950836,6.696482935204916,1.9035170647950834,6.696482935204916
gen=45_member=5714_pso,50,11993300.0,0.674785,11993278.716311434,0.6747852346350076,50064.69897747029,50064.69897747029,111.5441493218038,111.5441493218038,49746.83479228297,49746.83479228297,110.83594791720645,110.83594791720645,2.9583619028947417,5.6416380971052575,2.9583619028947408,5.641638097105259
gen=45_member=5725_pso,50,10086100.0,0.718322,10086052.361235783,0.7183218843249791,43236.57024331604,43236.57024331604,96.33107850210814,96.33107850210814,42605.227886494205,42605.227886494205,94.92444773110908,94.92444773110908,1.4995762866896,7.100423713310399,1.4995762866896,7.100423713310399
gen=41_member=5219_pso,50,10877600.0,0.713721,10877623.213253161,0.7137212929865848,45831.09410723573,45831.09410723573,102.11167767092121,102.11167767092121,45102.71967809803,45102.71967809803,100.48885944280241,100.48885944280241,1.765657821452267,6.8343421785477325,1.765657821452267,6.8343421785477325
gen=38_member=4779_pso,50,11511900.0,0.702673,11511911.853114262,0.7026728899290035,48003.579465953466,48003.579465953466,106.95197505014431,106.95197505014431,47829.015475785905,47829.015475785905,106.563046480051,106.563046480051,2.2307479046219183,6.369252095378082,2.2307479046219183,6.369252095378082
gen=39_member=4891_pso,50,12250700.0,0.597475,12250726.961103301,0.5974754275877532,51186.95182954514,51186.95182954514,114.04452867622658,114.04452867622658,51181.4721129275,51181.4721129275,114.03231986760247,114.03231986760247,4.133922772663108,4.466077227336892,4.133922772663108,4.466077227336892
gen=38_member=4772_pso,50,11343500.0,0.707434,11343536.810518842,0.7074339860216267,47559.18910881358,47559.18910881358,105.96187333443666,105.96187333443666,47088.50036268619,47088.50036268619,104.91317880806483,104.91317880806483,2.069298865201697,6.530701134798303,2.069298865201697,6.530701134798303
gen=42_member=5263_pso,50,12267300.0,0.591914,12267261.652988074,0.5919136163670924,51401.15443533461,51401.15443533461,114.5217720819255,114.5217720819255,51266.89061527922,51266.89061527922,114.2226322908421,114.2226322908421,4.194017426678351,4.405982573321649,4.194017426678351,4.405982573321649
gen=40_member=5076_pso,50,11779100.0,0.693959,11779139.5975923,0.693959147841803,49427.02345467124,49427.02345467124,110.12340825700751,110.12340825700751,48946.710201045935,48946.710201045935,109.05327032793033,109.05327032793033,2.506916806535524,6.093083193464476,2.506916806535524,6.093083193464476
gen=49_member=6161_pso,50,10118300.0,0.718234,10118254.813456059,0.7182339432217956,43142.178199925635,43142.178199925635,96.12077302943432,96.12077302943432,42648.48611640095,42648.48611640095,95.02082706734132,95.02082706734132,1.5071217757009188,7.092878224299081,1.507121775700919,7.09287822429908
gen=43_member=5437_pso,50,11872500.0,0.688115,11872492.260370716,0.6881154406599326,49773.96375344011,49773.96375344011,110.89639124266456,110.89639124266456,49388.10419626745,49388.10419626745,110.03669614928387,110.03669614928387,2.6641537318534287,5.935846268146571,2.664153731853429,5.9358462681465705
gen=44_member=5578_pso,50,10529000.0,0.716879,10529046.22432401,0.7168791997941185,45321.15226539255,45321.15226539255,100.9755272472946,100.9755272472946,43781.85514960589,43781.85514960589,97.54597327332193,97.54597327332193,1.6131489453234047,6.986851054676595,1.613148945323405,6.9868510546765945
gen=36_member=4573_pso,50,9923880.0,0.718701,9923883.486663597,0.7187011319527531,42793.782245499315,42793.782245499315,95.34454684297248,95.34454684297248,42379.19800126966,42379.19800126966,94.42085314682879,94.42085314682879,1.467036226304352,7.132963773695648,1.4670362263043522,7.132963773695647
gen=44_member=5555_pso,50,11482000.0,0.70427,11481968.855985735,0.7042700609099659,48635.122267710045,48635.122267710045,108.35905241245798,108.35905241245798,47726.17379980708,47726.17379980708,106.33391522597017,106.33391522597017,2.1801279813367684,6.419872018663231,2.1801279813367684,6.419872018663231
gen=38_member=4840_pso,50,11953800.0,0.677695,11953765.575695587,0.6776945795982344,50063.23576541098,50063.23576541098,111.54088928533567,111.54088928533567,49665.68700823383,49665.68700823383,110.65515065434496,110.65515065434496,2.8941503626560694,5.70584963734393,2.89415036265607,5.705849637343929
gen=47_member=5966_pso,50,11540800.0,0.702015,11540755.077291641,0.7020153958630895,48509.58313027878,48509.58313027878,108.07935121426111,108.07935121426111,47949.67757377042,47949.67757377042,106.8318816343605,106.8318816343605,2.2515861865427143,6.348413813457285,2.2515861865427147,6.3484138134572845
gen=47_member=5898_pso,50,11764400.0,0.695319,11764362.834467728,0.6953189506537198,49013.50339598111,49013.50339598111,109.20208556624591,109.20208556624591,48858.132426577125,48858.132426577125,108.85591904641383,108.85591904641383,2.4638199090570296,6.13618009094297,2.4638199090570296,6.13618009094297
gen=38_member=4768_pso,50,10569000.0,0.71664,10568987.168558508,0.7166401343828656,44629.149277354714,44629.149277354714,99.4337445899463,99.4337445899463,43944.607240902464,43944.607240902464,97.90858493273069,97.90858493273069,1.6246944403027035,6.975305559697296,1.6246944403027037,6.975305559697296
gen=41_member=5241_pso,50,11446400.0,0.705662,11446374.076925283,0.7056617193235153,48174.289000024866,48174.289000024866,107.3323158920554,107.3323158920554,47488.398587199335,47488.398587199335,105.80415205228012,105.80415205228012,2.1360214686510974,6.463978531348902,2.136021468651098,6.463978531348902
gen=39_member=4901_pso,50,9895340.0,0.718742,9895339.590260155,0.7187424273966453,43036.58307268322,43036.58307268322,95.88550708593822,95.88550708593822,42282.3515580355,42282.3515580355,94.20507927130309,94.20507927130309,1.4634930103697523,7.136506989630247,1.4634930103697525,7.136506989630247
gen=40_member=5082_pso,50,10606200.0,0.716303,10606192.66881587,0.7163030802462714,45134.53789635979,45134.53789635979,100.5597504330896,100.5597504330896,43870.23979482254,43870.23979482254,97.74289426286462,97.74289426286462,1.6409722314787831,6.959027768521216,1.6409722314787833,6.959027768521216
gen=49_member=6158_pso,50,11921100.0,0.684136,11921105.488845602,0.684136055099977,49938.49052936899,49938.49052936899,111.2629568994341,111.2629568994341,49407.06456081771,49407.06456081771,110.07893984150185,110.07893984150185,2.751981912848804,5.848018087151196,2.751981912848804,5.848018087151196
gen=49_member=6216_pso,50,11945100.0,0.680279,11945134.063002478,0.6802786876565723,49765.95027878354,49765.95027878354,110.87853722112972,110.87853722112972,49575.549827551215,49575.549827551215,110.45432501578411,110.45432501578411,2.8371170576797535,5.762882942320246,2.837117057679754,5.762882942320246
gen=47_member=6002_pso,50,10144400.0,0.718198,10144439.49189337,0.7181975860789928,43537.03644438117,43537.03644438117,97.00051719808124,97.00051719808124,42685.09218699485,42685.09218699485,95.10238539262453,95.10238539262453,1.5102412774079752,7.089758722592024,1.5102412774079752,7.089758722592024
gen=32_member=3978_pso,50,11724500.0,0.69565,11724521.462720819,0.6956504359983704,49484.08398621317,49484.08398621317,110.25053912128294,110.25053912128294,48874.142584268266,48874.142584268266,108.89158967774969,108.89158967774969,2.453313981441033,6.146686018558967,2.453313981441033,6.146686018558967
gen=24_member=2976_pso,50,11884300.0,0.687169,11884331.744194893,0.6871686509051157,49948.858920262544,49948.858920262544,111.28605767434495,111.28605767434495,49302.48132715866,49302.48132715866,109.8459283969095,109.8459283969095,2.685050129223768,5.914949870776232,2.6850501292237676,5.914949870776232
gen=46_member=5863_pso,50,11617300.0,0.700106,11617325.353071578,0.7001060589818718,49401.63840788752,49401.63840788752,110.06685037277339,110.06685037277339,48314.00128676755,48314.00128676755,107.6435948669181,107.6435948669181,2.312099736816777,6.287900263183223,2.312099736816777,6.287900263183223
gen=49_member=6159_pso,50,10903700.0,0.713479,10903671.696892686,0.7134787458617392,45667.79848784485,45667.79848784485,101.74785503091832,101.74785503091832,45185.67293819359,45185.67293819359,100.67367930629531,100.67367930629531,1.7773714633273998,6.8226285366726,1.7773714633273998,6.8226285366726
gen=49_member=6198_pso,50,11459600.0,0.705203,11459602.640373657,0.7052034682762328,48552.841526723045,48552.841526723045,108.17573092153894,108.17573092153894,47570.689864403525,47570.689864403525,105.98749701789104,105.98749701789104,2.150545043857054,6.4494549561429455,2.150545043857054,6.4494549561429455
gen=39_member=4883_pso,50,11655800.0,0.698172,11655757.181802921,0.6981721286505488,48881.632005089115,48881.632005089115,108.90827610733855,108.90827610733855,48537.54062247831,48537.54062247831,108.14164050688167,108.14164050688167,2.373392739367702,6.2266072606322975,2.373392739367702,6.2266072606322975
