real_name,Total Pumping (cfs),Streamflow (cfs),Depletion (cfs)
gen=46_member=1194_pso,113.35759199448476,5.0413250899896,3.5586749100104
gen=34_member=862_pso,116.34106837303733,4.2186271194181595,4.38137288058184
gen=24_member=603_pso,114.59879949189934,4.578007689809009,4.02199231019099
gen=17_member=420_pso,110.94978055475674,5.987055825223743,2.612944174776256
gen=17_member=425_pso,114.68304121529007,4.539343135674342,4.060656864325658
gen=15_member=372_pso,113.01045912929133,5.367276593362051,3.2327234066379487
gen=33_member=834_pso,115.90078357098567,4.281083532935337,4.318916467064662
gen=37_member=948_pso,111.64598965396793,5.851064050911385,2.7489359490886143
gen=6_member=140_pso,116.3208288978574,4.230529745705702,4.369470254294297
gen=27_member=679_pso,113.72663322710737,4.98293265828654,3.61706734171346
gen=14_member=351_pso,114.5672543077403,4.593865366282791,4.006134633717209
gen=24_member=604_pso,114.31027061710097,4.712066293856186,3.8879337061438135
gen=19_member=478_pso,113.46915360390437,5.008512393375465,3.5914876066245345
gen=21_member=525_pso,113.12789386018103,5.310098669809975,3.2899013301900246
gen=8_member=197_pso,112.17433540374435,5.653141897223292,2.946858102776708
25,116.29341240159887,4.217739491347334,4.382260508652665
gen=27_member=699_pso,114.14075080112309,4.677212421240748,3.922787578759252
gen=48_member=1246_pso,112.8417642161699,5.305235030483405,3.294764969516595
gen=21_member=528_pso,114.50571690705083,4.621319326503276,3.978680673496724
gen=38_member=981_pso,112.81302289619991,5.3388030042447845,3.2611969957552147
gen=19_member=471_pso,114.51097441080476,4.618873997270493,3.981126002729507
gen=46_member=1188_pso,114.14213584439791,4.669030550823146,3.9309694491768528
gen=24_member=602_pso,110.57808091394247,6.0350746215752045,2.564925378424795
gen=30_member=757_pso,114.5867244073703,4.5897131134304034,4.010286886569596
gen=17_member=429_pso,112.1785471573507,5.66207151893207,2.9379284810679294
gen=30_member=758_pso,112.95276757060832,5.355644814637116,3.244355185362884
gen=30_member=775_pso,113.46028259079326,5.017829848092026,3.5821701519079734
gen=36_member=925_pso,113.8637707902431,4.92031025588834,3.67968974411166
gen=41_member=1048_pso,113.78555315289472,4.934612525920105,3.6653874740798944
gen=17_member=418_pso,110.5966427930738,6.033015162944693,2.566984837055306
gen=20_member=499_pso,114.10756838285323,4.830944141000827,3.769055858999173
gen=41_member=1047_pso,112.63298695720025,5.553604567433554,3.046395432566445
gen=46_member=1179_pso,112.75939328133798,5.349063702658956,3.250936297341044
gen=34_member=868_pso,112.76646230522925,5.342372267693302,3.2576277323066973
gen=12_member=299_pso,114.07687161013136,4.714732884330957,3.885267115669043
gen=47_member=1200_pso,112.56763370215555,5.567188684243286,3.0328113157567134
gen=47_member=1216_pso,113.74044545151082,4.978184687397773,3.6218153126022266
gen=27_member=680_pso,112.80121179258292,5.34126579153064,3.2587342084693596
gen=34_member=878_pso,113.74321201933024,4.979418241274004,3.620581758725996
gen=24_member=622_pso,112.81269514230272,5.338870974928809,3.261129025071191
gen=50_member=1288_pso,112.6435612718458,5.551406624496668,3.048593375503332
