child,parent_1,parent_2,parent_3
GEN=2_MEMBER=209_PSO,GEN=1_MEMBER=32_PSO,,
GEN=2_MEMBER=210_PSO,53,,
GEN=2_MEMBER=211_PSO,GEN=1_MEMBER=43_PSO,,
GEN=2_MEMBER=212_PSO,GEN=1_MEMBER=95_PSO,,
GEN=2_MEMBER=213_PSO,GEN=1_MEMBER=125_PSO,,
GEN=2_MEMBER=214_PSO,GEN=1_MEMBER=34_PSO,,
GEN=2_MEMBER=215_PSO,89,,
GEN=2_MEMBER=216_PSO,GEN=1_MEMBER=106_PSO,,
GEN=2_MEMBER=217_PSO,29,,
GEN=2_MEMBER=218_PSO,GEN=1_MEMBER=55_PSO,,
GEN=2_MEMBER=219_PSO,139,,
GEN=2_MEMBER=220_PSO,159,,
GEN=2_MEMBER=221_PSO,GEN=1_MEMBER=24_PSO,,
GEN=2_MEMBER=222_PSO,142,,
GEN=2_MEMBER=223_PSO,GEN=1_MEMBER=87_PSO,,
GEN=2_MEMBER=224_PSO,5,,
GEN=2_MEMBER=225_PSO,27,,
GEN=2_MEMBER=226_PSO,GEN=1_MEMBER=135_PSO,,
GEN=2_MEMBER=227_PSO,GEN=1_MEMBER=107_PSO,,
GEN=2_MEMBER=228_PSO,GEN=1_MEMBER=114_PSO,,
GEN=2_MEMBER=229_PSO,56,,
GEN=2_MEMBER=230_PSO,GEN=1_MEMBER=15_PSO,,
GEN=2_MEMBER=231_PSO,117,,
GEN=2_MEMBER=232_PSO,GEN=1_MEMBER=141_PSO,,
GEN=2_MEMBER=233_PSO,GEN=1_MEMBER=22_PSO,,
GEN=2_MEMBER=234_PSO,GEN=1_MEMBER=93_PSO,,
GEN=2_MEMBER=235_PSO,GEN=1_MEMBER=47_PSO,,
GEN=2_MEMBER=236_PSO,42,,
GEN=2_MEMBER=237_PSO,71,,
GEN=2_MEMBER=238_PSO,GEN=1_MEMBER=119_PSO,,
GEN=2_MEMBER=239_PSO,35,,
GEN=2_MEMBER=240_PSO,49,,
GEN=2_MEMBER=241_PSO,72,,
GEN=2_MEMBER=242_PSO,GEN=1_MEMBER=6_PSO,,
GEN=2_MEMBER=243_PSO,GEN=1_MEMBER=165_PSO,,
GEN=2_MEMBER=244_PSO,124,,
GEN=2_MEMBER=245_PSO,GEN=1_MEMBER=65_PSO,,
GEN=2_MEMBER=246_PSO,GEN=1_MEMBER=80_PSO,,
GEN=2_MEMBER=247_PSO,GEN=1_MEMBER=49_PSO,,
GEN=2_MEMBER=248_PSO,GEN=1_MEMBER=103_PSO,,
GEN=2_MEMBER=249_PSO,GEN=1_MEMBER=130_PSO,,
GEN=2_MEMBER=250_PSO,118,,
GEN=2_MEMBER=251_PSO,GEN=1_MEMBER=163_PSO,,
GEN=2_MEMBER=252_PSO,62,,
GEN=2_MEMBER=253_PSO,21,,
GEN=2_MEMBER=254_PSO,91,,
GEN=2_MEMBER=255_PSO,73,,
GEN=2_MEMBER=256_PSO,GEN=1_MEMBER=131_PSO,,
GEN=2_MEMBER=257_PSO,GEN=1_MEMBER=167_PSO,,
