member,generation,raw_total_pumping_cfs,effective_total_pumping_cfs,T_value__T_minus_10pct,T_value__T_plus_10pct,T_value__baseline_T,absolute_streamflow_error_cfs__T_minus_10pct,absolute_streamflow_error_cfs__T_plus_10pct,absolute_streamflow_error_cfs__baseline_T,depletion_cfs__T_minus_10pct,depletion_cfs__T_plus_10pct,depletion_cfs__baseline_T,depletion_change_from_baseline_cfs__T_minus_10pct,depletion_change_from_baseline_cfs__T_plus_10pct,depletion_change_from_baseline_cfs__baseline_T,streamflow_cfs__T_minus_10pct,streamflow_cfs__T_plus_10pct,streamflow_cfs__baseline_T,streamflow_change_from_baseline_cfs__T_minus_10pct,streamflow_change_from_baseline_cfs__T_plus_10pct,streamflow_change_from_baseline_cfs__baseline_T,streamflow_shortfall_below_baseline_cfs__T_minus_10pct,streamflow_shortfall_below_baseline_cfs__T_plus_10pct,streamflow_shortfall_below_baseline_cfs__baseline_T
gen=36_member=4597_pso,50,113.75666201895073,112.60748481932349,1530.0,1870.0000000000002,1700.0,0.19206775846429913,0.18020941006897395,0.0,3.042704662397575,3.414981830930848,3.2347724208618747,-0.19206775846429958,0.1802094100689735,0.0,5.557295337602424,5.185018169069151,5.365227579138125,0.19206775846429913,-0.18020941006897395,0.0,0.0,0.18020941006897395,0.0
gen=37_member=4683_pso,50,108.44556761794604,108.24771035629453,1530.0,1870.0000000000002,1700.0,0.1482759057922154,0.1385288694835829,0.0,2.2557976661294754,2.542602441405274,2.4040735719216904,-0.14827590579221495,0.13852886948358378,0.0,6.344202333870524,6.057397558594726,6.195926428078309,0.1482759057922154,-0.1385288694835829,0.0,0.0,0.1385288694835829,0.0
gen=37_member=4697_pso,50,95.6479327163654,94.70530117801378,1530.0,1870.0000000000002,1700.0,0.09705894250613589,0.09215806992767206,0.0,1.3737935326423913,1.5630105450762,1.470852475148528,-0.09705894250613656,0.09215806992767206,0.0,7.226206467357608,7.0369894549238,7.129147524851472,0.09705894250613589,-0.09215806992767206,0.0,0.0,0.09215806992767206,0.0
gen=37_member=4713_pso,50,113.62329616992702,113.25725659789096,1530.0,1870.0000000000002,1700.0,0.20563882451097015,0.1919603603858393,0.0,3.5193924808750667,3.9169916657718766,3.725031305386037,-0.20563882451097015,0.19196036038583975,0.0,5.080607519124933,4.6830083342281235,4.874968694613963,0.20563882451097015,-0.1919603603858393,0.0,0.0,0.1919603603858393,0.0
gen=37_member=4723_pso,50,106.8511723206405,104.51778202732396,1530.0,1870.0000000000002,1700.0,0.1307609472497262,0.1231750705949084,0.0,1.903988769478621,2.157924787323256,2.034749716728347,-0.13076094724972598,0.12317507059490884,0.0,6.696011230521378,6.442075212676744,6.565250283271652,0.1307609472497262,-0.1231750705949084,0.0,0.0,0.1231750705949084,0.0
gen=37_member=4733_pso,50,110.94304023871513,108.61110973443459,1530.0,1870.0000000000002,1700.0,0.1508262579872266,0.14083790160455933,0.0,2.2774743731633786,2.5691385327551655,2.428300631150606,-0.15082625798722749,0.14083790160455933,0.0,6.322525626836621,6.030861467244835,6.171699368849394,0.1508262579872266,-0.14083790160455933,0.0,0.0,0.14083790160455933,0.0
gen=38_member=4768_pso,50,99.4337445899463,97.90858493273069,1530.0,1870.0000000000002,1700.0,0.10599621943229476,0.10043945963016832,0.0,1.5186982208704085,1.725133899932872,1.6246944403027037,-0.1059962194322952,0.10043945963016832,0.0,7.081301779129591,6.874866100067128,6.975305559697296,0.10599621943229476,-0.10043945963016832,0.0,0.0,0.10043945963016832,0.0
gen=38_member=4772_pso,50,105.96187333443666,104.91317880806483,1530.0,1870.0000000000002,1700.0,0.13826963737185594,0.12948610089230872,0.0,1.9310292278298407,2.1987849660940055,2.069298865201697,-0.13826963737185616,0.12948610089230872,0.0,6.668970772170159,6.401215033905994,6.530701134798303,0.13826963737185594,-0.12948610089230872,0.0,0.0,0.12948610089230872,0.0
gen=38_member=4778_pso,50,96.28697086898289,95.73899656502617,1530.0,1870.0000000000002,1700.0,0.1002867578603297,0.09517419258607163,0.0,1.432014780002346,1.6274757304487473,1.532301537862676,-0.10028675786033014,0.09517419258607118,0.0,7.167985219997654,6.972524269551252,7.067698462137324,0.1002867578603297,-0.09517419258607163,0.0,0.0,0.09517419258607163,0.0
gen=38_member=4779_pso,50,106.95197505014431,106.563046480051,1530.0,1870.0000000000002,1700.0,0.13882615560850642,0.1301553572222911,0.0,2.0919217490134114,2.3609032618442094,2.2307479046219183,-0.13882615560850686,0.1301553572222911,0.0,6.508078250986588,6.239096738155791,6.369252095378082,0.13882615560850642,-0.1301553572222911,0.0,0.0,0.1301553572222911,0.0
