member,generation,raw_total_pumping_cfs,effective_total_pumping_cfs,depletion_reeval_cfs,streamflow_reeval_cfs,depletion_archive_cfs,streamflow_archive_cfs
gen=45_member=5721_pso,50,102.66137190388338,101.16634606078696,1.7996815675413265,6.800318432458673,1.7996815675413265,6.800318432458673
gen=47_member=5893_pso,50,99.51097389730381,95.09080212042277,1.4732596768179467,7.126740323182053,1.4732596768179467,7.126740323182053
gen=35_member=4446_pso,50,108.73697829937431,105.4367433639537,2.113405259209862,6.486594740790137,2.113405259209862,6.486594740790137
gen=45_member=5683_pso,50,99.55477716486982,96.66013154313829,1.5340799870711133,7.065920012928887,1.5340799870711133,7.065920012928887
gen=49_member=6242_pso,50,110.93962256124044,109.70805418139967,2.615161298943316,5.984838701056684,2.615161298943316,5.984838701056684
gen=45_member=5670_pso,50,98.45889126003648,97.16152504482936,1.5706107996603436,7.029389200339656,1.5706107996603436,7.029389200339656
gen=38_member=4778_pso,50,96.28697086898289,95.73899656502617,1.532301537862676,7.067698462137324,1.532301537862676,7.067698462137324
gen=43_member=5423_pso,50,114.14786179689636,114.14786179689636,4.161391541390667,4.438608458609333,4.161391541390667,4.438608458609333
gen=38_member=4827_pso,50,113.58228336854604,113.21257762424806,3.6942238435807764,4.905776156419224,3.694223843580776,4.905776156419224
gen=46_member=5827_pso,50,114.11920195538859,113.22333719727689,3.55433404505438,5.045665954945619,3.55433404505438,5.045665954945619
gen=49_member=6197_pso,50,103.38252010742895,101.62467203250553,1.8329120045363683,6.767087995463632,1.832912004536368,6.767087995463632
gen=34_member=4254_pso,50,109.81719802653583,109.37435490938714,2.567989490219597,6.032010509780402,2.5679894902195968,6.032010509780402
gen=46_member=5867_pso,50,105.21533215860791,103.53371204745807,1.9786016706863572,6.621398329313642,1.9786016706863572,6.621398329313642
gen=31_member=3915_pso,50,113.13347995202655,113.0032712800369,3.661584123403055,4.938415876596945,3.6615841234030553,4.938415876596944
gen=47_member=5976_pso,50,107.22293932834354,104.56205629468799,2.0903335195470634,6.509666480452936,2.090333519547064,6.509666480452935
gen=39_member=4925_pso,50,111.72583306287677,110.5852186046211,2.7357023605755346,5.864297639424465,2.7357023605755346,5.864297639424465
gen=36_member=4494_pso,50,98.48460680972522,96.85103265995991,1.5819928162554864,7.018007183744514,1.5819928162554864,7.018007183744514
gen=44_member=5537_pso,50,100.63717773873304,98.65700758717853,1.675585522721344,6.924414477278655,1.675585522721344,6.924414477278655
gen=46_member=5774_pso,50,113.69864725552864,113.69864725552864,3.8008169185953444,4.799183081404655,3.800816918595344,4.799183081404656
gen=37_member=4723_pso,50,106.8511723206405,104.51778202732396,2.034749716728347,6.565250283271652,2.034749716728347,6.565250283271652
gen=45_member=5711_pso,50,100.17642906394414,98.88330928345108,1.677969569941643,6.922030430058356,1.677969569941643,6.922030430058356
gen=29_member=3643_pso,50,104.2103519446892,102.35342522480737,1.8928564245507165,6.707143575449283,1.8928564245507165,6.707143575449283
