generation,member,lpr:total_combined:bdpl,obj_well,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
5,gen=5_member=730_pso,2.05968,12018.7,1,0.0372122,0.00133504,0.00133504,1,-999
5,gen=5_member=704_pso,2.22555,12304.4,1,0.0371172,0.00141278,0.00141278,1,-999
5,gen=5_member=741_pso,3.48066,15155.6,1,0.0366904,0.00258604,0.00258604,1,-999
5,gen=5_member=733_pso,1.78881,10862.4,1,0.0341893,0.000716337,0.000716337,1,-999
5,gen=5_member=829_pso,2.32063,12691.6,1,0.0341839,0.00148183,0.00148183,1,-999
5,gen=5_member=702_pso,2.38786,13010.2,1,0.0333089,0.0013797,0.0013797,1,-999
5,gen=5_member=786_pso,2.13226,12256.4,1,0.0327346,0.00132309,0.00132309,1,-999
5,gen=5_member=800_pso,3.28201,14615.7,1,0.0287182,0.00284032,0.00284032,1,-999
5,gen=4_member=661_pso,4.37433,16490,1,0.0279254,0.00253617,0.00253617,1,-999
5,gen=4_member=547_pso,2.26532,12428.1,1,0.0265229,0.00171201,0.00171201,1,-999
5,95,4.70127,17459.9,1,0.0256276,0.00102892,0.00102892,1,-999
5,gen=4_member=571_pso,4.32473,16307.3,1,0.0240838,0.00323928,0.00323928,1,-999
5,gen=5_member=708_pso,3.32887,14770.9,1,0.0213269,0.00258604,0.00258604,1,-999
5,gen=5_member=828_pso,2.1082,12044.5,1,0.0202463,0.00129061,0.00129061,1,-999
5,156,4.4265,16882.3,1,0.0179752,0.00172533,0.00172533,1,-999
5,116,4.42483,16564,1,0.0145524,0.00213632,0.00213632,1,-999
5,gen=4_member=565_pso,4.28799,16215.1,1,0.0133888,0.00284927,0.00284927,1,-999
5,gen=5_member=716_pso,3.67187,15480.9,1,0.0112457,0.00193343,0.00193343,1,-999
5,gen=5_member=821_pso,3.48999,15210,1,0.00815623,0.00226719,0.00226719,1,-999
6,152,4.78258,17542.8,1,1e+30,0.000964057,0.000964057,1,-999
6,gen=5_member=717_pso,1.19771,9394.3,1,1e+30,0.000367531,0.000367531,1,-999
6,gen=6_member=879_pso,1.7784,10905.6,1,0.106919,0.000721262,0.000721262,1,-999
6,gen=6_member=944_pso,1.43339,10746.7,1,0.0986393,0.000730743,0.000730743,1,-999
6,gen=5_member=706_pso,2.44004,13624.9,1,0.0876203,0.00153672,0.00153672,1,-999
6,gen=6_member=911_pso,2.0081,12290.1,1,0.0841607,0.000763958,0.000763958,1,-999
6,gen=5_member=749_pso,3.5099,15289,1,0.0832511,0.00286441,0.00286441,1,-999
6,16,4.48927,17265.5,1,0.0737027,0.00131589,0.00131589,1,-999
6,gen=6_member=1007_pso,2.18874,12430.9,1,0.0697761,0.000816715,0.000816715,1,-999
6,gen=6_member=1005_pso,1.42479,9552.75,1,0.0657439,0.000390258,0.000390258,1,-999
6,gen=6_member=955_pso,2.79194,14037.9,1,0.0639274,0.00258629,0.00258629,1,-999
6,gen=6_member=969_pso,4.17493,16242.8,1,0.0621761,0.00401265,0.00401265,1,-999
6,gen=5_member=789_pso,3.89715,16000.6,1,0.0614629,0.0053494,0.0053494,1,-999
6,gen=6_member=921_pso,2.63787,13982.9,1,0.0611715,0.00277763,0.00277763,1,-999
6,130,4.69071,17325,1,0.0591359,0.00122031,0.00122031,1,-999
6,gen=5_member=695_pso,4.06225,16097.9,1,0.0568498,0.00473046,0.00473046,1,-999
6,gen=4_member=571_pso,4.32473,16307.3,1,0.0556216,0.00473046,0.00473046,1,-999
6,gen=6_member=1019_pso,2.57265,13653.3,1,0.0551843,0.00158759,0.00158759,1,-999
6,gen=6_member=970_pso,2.25854,13025.4,1,0.0507131,0.0010938,0.0010938,1,-999
6,gen=6_member=887_pso,3.33589,15255.7,1,0.0491092,0.00316626,0.00316626,1,-999
6,gen=6_member=901_pso,1.88704,12113.2,1,0.0490842,0.000883354,0.000883354,1,-999
6,gen=6_member=923_pso,3.26014,14941.9,1,0.0486853,0.0027814,0.0027814,1,-999
6,gen=6_member=999_pso,2.86704,14235.4,1,0.0455082,0.0035992,0.0035992,1,-999
6,gen=4_member=530_pso,3.63433,15333.8,1,0.0451821,0.00253875,0.00253875,1,-999
6,gen=6_member=907_pso,3.14655,14774.9,1,0.0413384,0.00228993,0.00228993,1,-999
6,gen=6_member=863_pso,3.84191,15940.1,1,0.0404719,0.00520973,0.00520973,1,-999
6,gen=6_member=1004_pso,3.11195,14584.3,1,0.0366197,0.00284925,0.00284925,1,-999
6,gen=6_member=884_pso,3.01528,14511.2,1,0.0341534,0.0035992,0.0035992,1,-999
6,gen=6_member=930_pso,3.75206,15836.1,1,0.0323234,0.00341623,0.00341623,1,-999
6,gen=5_member=806_pso,2.95509,14273.6,1,0.0278236,0.00341623,0.00341623,1,-999
6,gen=4_member=661_pso,4.37433,16490,1,0.0275822,0.00273851,0.00273851,1,-999
6,95,4.70127,17459.9,1,0.0256276,0.00104783,0.00104783,1,-999
6,gen=6_member=900_pso,3.72604,15822.6,1,0.021595,0.00326489,0.00326489,1,-999
6,gen=6_member=878_pso,4.10183,16185.6,1,0.0206368,0.00404095,0.00404095,1,-999
6,gen=6_member=872_pso,3.32108,15016.7,1,0.0205591,0.00313459,0.00313459,1,-999
6,gen=6_member=912_pso,1.83214,10999.8,1,0.0196252,0.000697792,0.000697792,1,-999
6,gen=6_member=997_pso,2.25824,12815.9,1,0.0194716,0.00119141,0.00119141,1,-999
6,156,4.4265,16882.3,1,0.0179752,0.00173314,0.00173314,1,-999
6,gen=5_member=715_pso,3.67465,15750.1,1,0.0151098,0.00285883,0.00285883,1,-999
6,gen=5_member=799_pso,1.81668,10983.1,1,0.014991,0.00069815,0.00069815,1,-999
6,gen=6_member=1016_pso,4.4236,16507.6,1,0.0140891,0.00265422,0.00265422,1,-999
6,gen=6_member=891_pso,2.98952,14398.6,1,0.0135264,0.00275769,0.00275769,1,-999
6,gen=5_member=716_pso,3.67187,15480.9,1,0.0112457,0.00291018,0.00291018,1,-999
6,gen=6_member=1009_pso,4.10095,16126.9,1,0.0110422,0.00529741,0.00529741,1,-999
6,gen=6_member=1029_pso,2.96678,14309.8,1,0.00960444,0.00361619,0.00361619,1,-999
6,gen=6_member=978_pso,3.33385,15209.6,1,0.00413031,0.00365807,0.00365807,1,-999
6,116,4.42483,16564,1,0.000806498,0.0026283,0.0026283,1,-999
7,152,4.78258,17542.8,1,1e+30,0.000964057,0.000964057,1,-999
7,gen=5_member=717_pso,1.19771,9394.3,1,1e+30,0.000367531,0.000367531,1,-999
7,gen=6_member=921_pso,2.63787,13982.9,1,0.120813,0.00152568,0.00152568,1,-999
7,gen=7_member=1130_pso,2.21168,13159.4,1,0.102525,0.00108504,0.00108504,1,-999
7,gen=7_member=1050_pso,1.98951,12903.8,1,0.0905596,0.000924997,0.000924997,1,-999
7,gen=7_member=1090_pso,1.54884,11361.4,1,0.0881124,0.000647497,0.000647497,1,-999
7,gen=7_member=1113_pso,2.35885,13966.2,1,0.0783338,0.0015303,0.0015303,1,-999
7,16,4.48927,17265.5,1,0.0737027,0.00131589,0.00131589,1,-999
7,gen=7_member=1157_pso,3.3102,15382.2,1,0.0661945,0.00270258,0.00270258,1,-999
7,gen=7_member=1052_pso,1.41652,10695.7,1,0.0657439,0.000704483,0.000704483,1,-999
7,gen=6_member=907_pso,3.14655,14774.9,1,0.0646866,0.00164109,0.00164109,1,-999
7,gen=7_member=1073_pso,3.50712,15489.6,1,0.0637101,0.00298576,0.00298576,1,-999
7,gen=7_member=1098_pso,1.74926,11659,1,0.0624045,0.000801999,0.000801999,1,-999
7,gen=6_member=901_pso,1.88704,12113.2,1,0.0605217,0.000830863,0.000830863,1,-999
7,130,4.69071,17325,1,0.0591359,0.00122031,0.00122031,1,-999
7,gen=7_member=1175_pso,4.29994,16340.8,1,0.0589515,0.00444004,0.00444004,1,-999
7,gen=7_member=1194_pso,3.97511,16161.4,1,0.0570958,0.00305559,0.00305559,1,-999
7,gen=7_member=1085_pso,4.13874,16252.2,1,0.0552625,0.00388511,0.00388511,1,-999
7,gen=6_member=955_pso,2.79194,14037.9,1,0.0497778,0.00166548,0.00166548,1,-999
7,gen=7_member=1133_pso,2.83006,14330.8,1,0.0483141,0.00272745,0.00272745,1,-999
7,gen=5_member=789_pso,3.89715,16000.6,1,0.0465633,0.00396073,0.00396073,1,-999
7,gen=6_member=878_pso,4.10183,16185.6,1,0.0456442,0.00313549,0.00313549,1,-999
7,gen=6_member=891_pso,2.98952,14398.6,1,0.0450005,0.00239439,0.00239439,1,-999
7,gen=7_member=1064_pso,2.99139,14636.4,1,0.0438053,0.00166548,0.00166548,1,-999
7,gen=5_member=715_pso,3.67465,15750.1,1,0.0411766,0.00396073,0.00396073,1,-999
7,gen=7_member=1058_pso,2.35705,13314.7,1,0.0410518,0.00130498,0.00130498,1,-999
7,gen=7_member=1048_pso,3.80818,15951,1,0.0404719,0.00422664,0.00422664,1,-999
7,gen=7_member=1196_pso,1.77255,11934.6,1,0.0384315,0.000815166,0.000815166,1,-999
7,gen=7_member=1075_pso,3.57842,15516.9,1,0.0379541,0.0032504,0.0032504,1,-999
7,gen=6_member=944_pso,1.43339,10746.7,1,0.0369087,0.000730743,0.000730743,1,-999
7,gen=7_member=1051_pso,4.35007,16502.5,1,0.0344958,0.00291481,0.00291481,1,-999
7,gen=7_member=1076_pso,3.22328,15014.2,1,0.0343868,0.00201815,0.00201815,1,-999
7,95,4.70127,17459.9,1,0.0256276,0.00104783,0.00104783,1,-999
7,gen=7_member=1174_pso,3.26982,15344.8,1,0.0242456,0.00245487,0.00245487,1,-999
7,gen=6_member=930_pso,3.75206,15836.1,1,0.0229154,0.00305559,0.00305559,1,-999
7,gen=6_member=900_pso,3.72604,15822.6,1,0.021595,0.00315609,0.00315609,1,-999
7,gen=6_member=1016_pso,4.4236,16507.6,1,0.0208556,0.00287233,0.00287233,1,-999
7,gen=7_member=1103_pso,3.53859,15507.7,1,0.0198888,0.00315609,0.00315609,1,-999
7,156,4.4265,16882.3,1,0.0179752,0.00183989,0.00183989,1,-999
7,gen=7_member=1155_pso,2.81632,14079,1,0.0106336,0.00178778,0.00178778,1,-999
7,116,4.42483,16564,1,0.000806498,0.0026283,0.0026283,1,-999
8,152,4.78258,17542.8,1,1e+30,0.000964057,0.000964057,1,-999
8,gen=5_member=717_pso,1.19771,9394.3,1,1e+30,0.000503962,0.000503962,1,-999
8,gen=8_member=1311_pso,2.93349,15027.1,1,0.102054,0.00192331,0.00192331,1,-999
8,gen=8_member=1320_pso,1.74428,12286.6,1,0.101434,0.000816543,0.000816543,1,-999
8,gen=8_member=1309_pso,1.49438,11376.6,1,0.0868004,0.000938805,0.000938805,1,-999
8,gen=8_member=1232_pso,3.18127,15097.7,1,0.0863802,0.00222575,0.00222575,1,-999
8,gen=8_member=1207_pso,2.5396,14044.3,1,0.0834999,0.00186212,0.00186212,1,-999
8,gen=8_member=1350_pso,3.55729,15704.3,1,0.0820936,0.00402222,0.00402222,1,-999
8,gen=8_member=1268_pso,2.2679,13509.3,1,0.079091,0.00146338,0.00146338,1,-999
8,gen=8_member=1208_pso,2.02649,13223.5,1,0.0776554,0.00127275,0.00127275,1,-999
8,16,4.48927,17265.5,1,0.0737027,0.00131589,0.00131589,1,-999
8,gen=8_member=1215_pso,3.38035,15545,1,0.0689267,0.00312663,0.00312663,1,-999
8,gen=7_member=1113_pso,2.35885,13966.2,1,0.0640401,0.00185092,0.00185092,1,-999
8,gen=8_member=1235_pso,1.85801,12439.8,1,0.0597945,0.000933256,0.000933256,1,-999
8,130,4.69071,17325,1,0.0591359,0.00122031,0.00122031,1,-999
8,gen=8_member=1206_pso,1.31003,9997.73,1,0.0579727,0.000724192,0.000724192,1,-999
8,gen=7_member=1194_pso,3.97511,16161.4,1,0.0570958,0.00430618,0.00430618,1,-999
8,gen=8_member=1259_pso,2.65818,14190.6,1,0.050105,0.00189472,0.00189472,1,-999
8,gen=8_member=1277_pso,2.81542,14716.4,1,0.0479874,0.00189472,0.00189472,1,-999
8,gen=5_member=715_pso,3.67465,15750.1,1,0.0470718,0.00482808,0.00482808,1,-999
8,gen=5_member=789_pso,3.89715,16000.6,1,0.0465633,0.0053494,0.0053494,1,-999
8,gen=6_member=878_pso,4.10183,16185.6,1,0.0456442,0.00422664,0.00422664,1,-999
8,gen=7_member=1048_pso,3.80818,15951,1,0.0427564,0.00470703,0.00470703,1,-999
8,gen=7_member=1085_pso,4.13874,16252.2,1,0.0427477,0.00396323,0.00396323,1,-999
8,gen=8_member=1225_pso,4.25508,16364.6,1,0.0386887,0.00552438,0.00552438,1,-999
8,gen=8_member=1229_pso,1.95863,12546.9,1,0.0366836,0.000852974,0.000852974,1,-999
8,gen=7_member=1157_pso,3.3102,15382.2,1,0.0308321,0.0027999,0.0027999,1,-999
8,gen=8_member=1217_pso,1.40553,10476.8,1,0.0291849,0.00092206,0.00092206,1,-999
8,gen=8_member=1292_pso,2.71922,14199.2,1,0.028811,0.00192583,0.00192583,1,-999
8,gen=8_member=1257_pso,2.76147,14504.5,1,0.0268354,0.00185092,0.00185092,1,-999
8,95,4.70127,17459.9,1,0.0256276,0.00104783,0.00104783,1,-999
8,gen=8_member=1359_pso,2.31002,13859.2,1,0.02537,0.00156797,0.00156797,1,-999
