generation,member,lpr:total_combined:bdpl,obj_well,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
4,156,4.4265,16882.3,1,0.0219908,0.00172533,0.00172533,1,-999
4,121,4.4248,16464,2,1e+30,0.0033698,0.0033698,1,-999
4,gen=3_member=468_pso,4.12517,15855.6,2,0.0293936,0.00361768,0.00361768,1,-999
4,gen=1_member=171_pso,4.00606,15584.1,1,0.0177067,0.00600239,0.00600239,1,-999
4,gen=2_member=266_pso,3.16656,13916.7,2,0.018363,0.00283602,0.00283602,1,-999
4,gen=3_member=356_pso,3.34036,14267.3,2,0.0127914,0.003199,0.003199,1,-999
4,116,4.42483,16564,1,0.0178034,0.00266278,0.00266278,1,-999
4,gen=4_member=525_pso,1.85232,10596.9,1,1e+30,0.000469049,0.000469049,1,-999
4,gen=4_member=535_pso,2.08426,11331.3,1,0.10012,0.000715505,0.000715505,1,-999
4,gen=4_member=590_pso,3.35846,14965.7,1,0.0884225,3.00257,3.00257,1,-999
4,gen=4_member=547_pso,2.26532,12428.1,1,0.0871242,4.00152,4.00152,1,-999
4,gen=4_member=545_pso,3.72701,15446.6,1,0.0777725,1.00408,1.00408,1,-999
4,gen=4_member=531_pso,3.48502,15123,1,0.077071,4.00307,4.00307,1,-999
4,gen=4_member=593_pso,3.22592,14577.9,1,0.0732541,8.00259,8.00259,1,-999
4,gen=4_member=638_pso,2.78195,13478.9,1,0.0715677,8.00312,8.00312,1,-999
4,gen=4_member=588_pso,4.11085,16075.4,1,0.0688376,4.00451,4.00451,1,-999
4,gen=4_member=660_pso,2.1457,11581.7,1,0.06179,4.00087,4.00087,1,-999
4,gen=4_member=541_pso,2.63598,13193.3,1,0.0589649,10.0035,10.0035,1,-999
4,gen=4_member=526_pso,2.401,12700.7,1,0.0576754,8.00259,8.00259,1,-999
4,gen=4_member=591_pso,3.5843,15199.5,1,0.0509547,2.00367,2.00367,1,-999
4,gen=4_member=619_pso,2.84569,13546.5,1,0.050502,8.00269,8.00269,1,-999
4,gen=4_member=648_pso,2.5288,13000.9,1,0.0492786,4.00362,4.00362,1,-999
4,gen=4_member=659_pso,3.02029,14058,1,0.0489445,4.00319,4.00319,1,-999
4,gen=4_member=530_pso,3.63433,15333.8,1,0.0487034,0.00400956,0.00400956,1,-999
4,gen=4_member=669_pso,3.13875,14369.3,1,0.042153,11.0032,11.0032,1,-999
4,gen=4_member=581_pso,2.60917,13167.6,1,0.0365764,10.0032,10.0032,1,-999
4,gen=4_member=564_pso,3.87499,15527.5,1,0.0342089,0.00510989,0.00510989,1,-999
4,gen=4_member=661_pso,4.37433,16490,1,0.0341639,1.0031,1.0031,1,-999
4,gen=4_member=563_pso,4.07502,16035.4,1,0.03293,5.00383,5.00383,1,-999
4,gen=4_member=548_pso,2.46477,12958.3,1,0.0322423,4.00422,4.00422,1,-999
4,gen=4_member=675_pso,3.14381,14548,1,0.0297509,13.0028,13.0028,1,-999
4,gen=4_member=571_pso,4.32473,16307.3,1,0.0294641,3.00428,3.00428,1,-999
4,gen=4_member=628_pso,2.98343,13640,1,0.0223155,0.00238089,0.00238089,1,-999
4,gen=4_member=671_pso,2.43432,12726.9,1,0.0217631,8.00278,8.00278,1,-999
4,gen=4_member=565_pso,4.28799,16215.1,1,0.0163799,2.00399,2.00399,1,-999
5,152,4.78258,17542.8,1,1e+30,0.000752004,0.000752004,1,-999
5,gen=4_member=525_pso,1.85232,10596.9,2,1e+30,0.00070235,0.00070235,1,-999
5,gen=4_member=535_pso,2.08426,11331.3,2,0.129898,0.00107859,0.00107859,1,-999
5,16,4.48927,17265.5,1,0.0737027,0.000950173,0.000950173,1,-999
5,gen=4_member=590_pso,3.35846,14965.7,1,0.0423398,0.00270254,0.00270254,1,-999
5,gen=4_member=547_pso,2.26532,12428.1,1,0.0265229,0.00187906,0.00187906,1,-999
5,gen=4_member=545_pso,3.72701,15446.6,2,0.123057,0.00419105,0.00419105,1,-999
5,gen=4_member=531_pso,3.48502,15123,2,0.197277,0.00282437,0.00282437,1,-999
5,gen=4_member=593_pso,3.22592,14577.9,1,0.0385506,0.00191632,0.00191632,1,-999
5,130,4.69071,17325,1,0.0591359,0.00089931,0.00089931,1,-999
5,gen=4_member=638_pso,2.78195,13478.9,2,0.0928535,0.00347667,0.00347667,1,-999
5,gen=4_member=588_pso,4.11085,16075.4,2,1e+30,0.00257853,0.00257853,1,-999
5,gen=4_member=660_pso,2.1457,11581.7,2,0.140242,0.00137985,0.00137985,1,-999
5,gen=3_member=416_pso,4.27673,16169.2,1,0.0629708,0.00252027,0.00252027,1,-999
5,gen=4_member=541_pso,2.63598,13193.3,2,0.0765024,0.00230622,0.00230622,1,-999
5,gen=4_member=526_pso,2.401,12700.7,2,0.127792,0.00224061,0.00224061,1,-999
5,gen=4_member=591_pso,3.5843,15199.5,2,0.107145,0.00352855,0.00352855,1,-999
5,gen=4_member=619_pso,2.84569,13546.5,2,0.0655224,0.00281556,0.00281556,1,-999
5,gen=3_member=376_pso,3.86223,15484.1,2,0.0655178,0.00481814,0.00481814,1,-999
5,gen=4_member=648_pso,2.5288,13000.9,2,0.0639352,0.0020833,0.0020833,1,-999
5,gen=4_member=659_pso,3.02029,14058,2,0.0635016,0.00232857,0.00232857,1,-999
5,gen=4_member=530_pso,3.63433,15333.8,1,0.0451821,0.00510989,0.00510989,1,-999
5,gen=3_member=366_pso,2.92994,13559.7,2,0.0609842,0.0027146,0.0027146,1,-999
5,gen=3_member=478_pso,3.96247,15581.2,2,0.058034,0.00400956,0.00400956,1,-999
5,gen=4_member=669_pso,3.13875,14369.3,2,0.205769,0.00247759,0.00247759,1,-999
5,gen=4_member=581_pso,2.60917,13167.6,2,0.047455,0.00225887,0.00225887,1,-999
5,gen=4_member=564_pso,3.87499,15527.5,2,0.0443833,0.00445068,0.00445068,1,-999
5,gen=4_member=661_pso,4.37433,16490,1,0.0279254,0.00218977,0.00218977,1,-999
5,gen=4_member=563_pso,4.07502,16035.4,2,0.0427241,0.00287571,0.00287571,1,-999
5,gen=4_member=548_pso,2.46477,12958.3,2,0.0418319,0.00191348,0.00191348,1,-999
5,95,4.70127,17459.9,1,0.0256276,0.000802019,0.000802019,1,-999
5,gen=4_member=675_pso,3.14381,14548,1,0.0381215,0.00203287,0.00203287,1,-999
5,gen=4_member=571_pso,4.32473,16307.3,1,0.0240838,0.00323928,0.00323928,1,-999
5,gen=2_member=235_pso,4.01435,15689.6,2,0.0305323,0.00319484,0.00319484,1,-999
5,gen=4_member=628_pso,2.98343,13640,2,0.0289526,0.00253102,0.00253102,1,-999
5,156,4.4265,16882.3,1,0.0179752,0.0014942,0.0014942,1,-999
5,gen=4_member=671_pso,2.43432,12726.9,2,0.028236,0.00225887,0.00225887,1,-999
5,116,4.42483,16564,1,0.0145524,0.00188439,0.00188439,1,-999
5,gen=1_member=171_pso,4.00606,15584.1,2,0.0229731,0.00396243,0.00396243,1,-999
5,gen=4_member=565_pso,4.28799,16215.1,1,0.0133888,0.00284927,0.00284927,1,-999
5,gen=3_member=493_pso,2.99533,13751.4,2,0.0163222,0.00352485,0.00352485,1,-999
5,gen=5_member=717_pso,1.19771,9394.3,1,1e+30,0.000380744,0.000380744,1,-999
5,gen=5_member=707_pso,1.69412,10215.7,1,0.164887,0.000553992,0.000553992,1,-999
5,gen=5_member=789_pso,3.89715,16000.6,1,0.10812,6.00319,6.00319,1,-999
5,gen=5_member=695_pso,4.06225,16097.9,1,0.105883,2.00254,2.00254,1,-999
5,gen=5_member=706_pso,2.44004,13624.9,1,0.0846896,17.0024,17.0024,1,-999
5,gen=5_member=804_pso,2.69147,13630.6,1,0.0816842,11.0025,11.0025,1,-999
5,gen=5_member=806_pso,2.95509,14273.6,1,0.0726276,6.002,6.002,1,-999
5,gen=5_member=832_pso,1.9748,11271.7,1,0.0677839,0.00101343,0.00101343,1,-999
5,gen=5_member=715_pso,3.67465,15750.1,1,0.0628425,10.0035,10.0035,1,-999
5,gen=5_member=728_pso,2.8289,14033.1,1,0.0619875,13.0025,13.0025,1,-999
5,gen=5_member=796_pso,3.08926,14392.3,1,0.0526444,1.00263,1.00263,1,-999
5,gen=5_member=799_pso,1.81668,10983.1,1,0.0518821,2.00094,2.00094,1,-999
5,gen=5_member=749_pso,3.5099,15289,1,0.0402641,2.00507,2.00507,1,-999
5,gen=5_member=744_pso,2.73287,13733,1,0.0383378,14.0033,14.0033,1,-999
5,gen=5_member=730_pso,2.05968,12018.7,1,0.0372122,4.00145,4.00145,1,-999
5,gen=5_member=704_pso,2.22555,12304.4,1,0.0371172,0.00152464,0.00152464,1,-999
5,gen=5_member=741_pso,3.48066,15155.6,1,0.0366904,1.00305,1.00305,1,-999
5,gen=5_member=733_pso,1.78881,10862.4,1,0.0341893,2.00084,2.00084,1,-999
5,gen=5_member=829_pso,2.32063,12691.6,1,0.0341839,0.00228762,0.00228762,1,-999
5,gen=5_member=702_pso,2.38786,13010.2,1,0.0333089,6.00212,6.00212,1,-999
5,gen=5_member=786_pso,2.13226,12256.4,1,0.0327346,3.00148,3.00148,1,-999
5,gen=5_member=800_pso,3.28201,14615.7,1,0.0287182,0.0019634,0.0019634,1,-999
5,gen=5_member=708_pso,3.32887,14770.9,1,0.0213269,0.00247759,0.00247759,1,-999
5,gen=5_member=828_pso,2.1082,12044.5,1,0.0202463,3.00146,3.00146,1,-999
5,gen=5_member=716_pso,3.67187,15480.9,1,0.0112457,2.00475,2.00475,1,-999
5,gen=5_member=821_pso,3.48999,15210,1,0.00815623,2.00366,2.00366,1,-999
6,152,4.78258,17542.8,1,1e+30,0.000808072,0.000808072,1,-999
6,gen=5_member=717_pso,1.19771,9394.3,1,1e+30,0.000532086,0.000532086,1,-999
6,gen=5_member=707_pso,1.69412,10215.7,2,1e+30,0.000945145,0.000945145,1,-999
6,gen=5_member=789_pso,3.89715,16000.6,1,0.0614629,0.00462014,0.00462014,1,-999
6,gen=5_member=695_pso,4.06225,16097.9,1,0.0568498,0.00473046,0.00473046,1,-999
6,gen=5_member=706_pso,2.44004,13624.9,1,0.0876203,0.00163277,0.00163277,1,-999
6,gen=5_member=804_pso,2.69147,13630.6,2,0.133007,0.00164694,0.00164694,1,-999
6,16,4.48927,17265.5,1,0.0737027,0.00104148,0.00104148,1,-999
6,gen=5_member=806_pso,2.95509,14273.6,1,0.0278236,0.0036191,0.0036191,1,-999
6,gen=5_member=832_pso,1.9748,11271.7,2,0.104427,0.00118559,0.00118559,1,-999
6,gen=3_member=416_pso,4.27673,16169.2,2,0.307647,0.00432605,0.00432605,1,-999
6,gen=5_member=715_pso,3.67465,15750.1,1,0.0151098,0.00239015,0.00239015,1,-999
6,gen=5_member=728_pso,2.8289,14033.1,2,0.137399,0.00272152,0.00272152,1,-999
6,130,4.69071,17325,1,0.0591359,0.000980684,0.000980684,1,-999
6,gen=5_member=796_pso,3.08926,14392.3,2,0.121404,0.00515486,0.00515486,1,-999
6,gen=5_member=799_pso,1.81668,10983.1,1,0.014991,0.000940362,0.000940362,1,-999
6,gen=4_member=530_pso,3.63433,15333.8,1,0.0451821,0.00270254,0.00270254,1,-999
6,gen=4_member=590_pso,3.35846,14965.7,2,0.0585159,0.00342515,0.00342515,1,-999
6,gen=5_member=749_pso,3.5099,15289,1,0.0832511,0.00307466,0.00307466,1,-999
6,gen=4_member=593_pso,3.22592,14577.9,2,0.0532791,0.00502478,0.00502478,1,-999
6,gen=5_member=744_pso,2.73287,13733,2,0.052985,0.00184298,0.00184298,1,-999
6,gen=4_member=675_pso,3.14381,14548,2,0.0526859,0.00436814,0.00436814,1,-999
6,gen=5_member=730_pso,2.05968,12018.7,2,0.0514294,0.00148183,0.00148183,1,-999
6,gen=5_member=704_pso,2.22555,12304.4,2,0.0512979,0.00256969,0.00256969,1,-999
6,gen=5_member=741_pso,3.48066,15155.6,2,0.0507082,0.00463496,0.00463496,1,-999
6,gen=5_member=733_pso,1.78881,10862.4,2,0.10821,0.00084454,0.00084454,1,-999
6,gen=5_member=829_pso,2.32063,12691.6,2,0.047244,0.00228762,0.00228762,1,-999
6,gen=5_member=702_pso,2.38786,13010.2,2,0.142965,0.00155029,0.00155029,1,-999
6,gen=5_member=786_pso,2.13226,12256.4,2,0.045241,0.00228762,0.00228762,1,-999
6,gen=5_member=800_pso,3.28201,14615.7,2,0.0396901,0.00443809,0.00443809,1,-999
6,gen=4_member=661_pso,4.37433,16490,1,0.0275822,0.00273851,0.00273851,1,-999
6,gen=4_member=547_pso,2.26532,12428.1,2,0.0366562,0.00256536,0.00256536,1,-999
6,95,4.70127,17459.9,1,0.0256276,0.000866111,0.000866111,1,-999
