member,generation,scenario,parameter_name,parameter_label,parameter_symbol,parameter_factor,parameter_value,base_parameter_value,probability_weight,T_factor,T_value,S_factor,S_value,archive_pumping_objective_cfs,pumping_objective_reeval_cfs,full_model_total_pumping_cfs,archive_depletion_cfs,depletion_cfs,streamflow_cfs
gen=41_member=6973_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,35.1593996,35.15947657236159,113.77200577236158,3.28388,3.49688724415374,5.10311275584626
gen=27_member=4568_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,32.5586552,32.558684654753776,111.17121385475377,2.37042,2.54013991302533,6.05986008697467
gen=37_member=6357_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,32.625718,32.62572860768373,111.23825780768374,2.3887,2.560623786125545,6.039376213874455
gen=47_member=8006_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,36.7613316,36.761407828424296,115.37393702842431,4.09604,4.331085533981547,4.268914466018453
gen=41_member=6898_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,31.489438,31.489447863162184,110.10197706316218,2.11934,2.2794137601381235,6.320586239861877
gen=39_member=6668_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,33.933108399999995,33.933030846740984,112.545560046741,2.77099,2.9602309012768306,5.6397690987231694
gen=48_member=8200_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,34.8907028,34.89080581472363,113.50333501472363,3.16725,3.375294270538887,5.224705729461112
gen=32_member=5452_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,34.8474796,34.84753054005696,113.46005974005696,3.14182,3.3479535570398617,5.252046442960138
gen=44_member=7522_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,33.1631116,33.16311565476033,111.77564485476033,2.53937,2.717330788001375,5.882669211998625
gen=45_member=7699_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,25.6714616,25.671464649350018,104.28399384935003,1.28466,1.4001318367548217,7.199868163245178
gen=38_member=6478_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,35.2785976,35.27857906393331,113.8911082639333,3.35376,3.5693676589441483,5.030632341055851
gen=48_member=8105_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,36.5527908,36.55273076856624,115.16525996856623,3.9902,4.222624898448117,4.377375101551882
gen=47_member=7995_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,36.497536399999994,36.49744644974915,115.10997564974916,3.97511,4.209723360354203,4.390276639645797
gen=38_member=6507_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,36.2430988,36.243072285057984,114.85560148505799,3.82686,4.0542447266244075,4.545755273375592
gen=47_member=8017_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,26.3334004,26.33332130996634,104.94585050996633,1.31111,1.4304861793235444,7.169513820676455
gen=28_member=4806_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,36.335338,36.335363024535646,114.94789222453565,3.87574,4.104238900536181,4.495761099463818
gen=33_member=5559_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,32.1440244,32.1440689013816,110.7565981013816,2.27771,2.4451703491068466,6.154829650893153
gen=28_member=4728_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,25.063886,25.063855919912235,103.67638511991223,1.21593,1.330621730422944,7.2693782695770555
gen=30_member=4999_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,33.9879172,33.98794532305361,112.60047452305362,2.78942,2.9818706474745214,5.618129352525479
gen=47_member=7949_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,31.069014399999997,31.068968509771572,109.68149770977158,1.99378,2.147701308805364,6.452298691194636
gen=37_member=6216_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,34.7610332,34.76111558406628,113.37364478406629,3.104,3.307570357774778,5.292429642225222
gen=35_member=5892_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,33.624976,33.6250096550061,112.23753885500611,2.6693,2.8538175222009654,5.746182477799034
gen=47_member=7933_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,26.4996092,26.49956968298791,105.11209888298791,1.3367,1.4570462100975914,7.142953789902409
gen=42_member=7127_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,33.1831636,33.183068642146345,111.79559784214636,2.56094,2.740168727712564,5.859831272287435
gen=46_member=7815_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,30.2096748,30.209600453547942,108.82212965354798,1.82093,1.9655392683853237,6.634460731614676
gen=41_member=6988_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,27.9351096,27.935094147883344,106.54762334788336,1.48478,1.6136533079280317,6.986346692071968
gen=39_member=6630_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,32.2866164,32.28667995166453,110.89920915166454,2.28023,2.4455883811061336,6.154411618893866
gen=46_member=7750_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,33.3573932,33.35737322320111,111.9699024232011,2.61481,2.7992179429203894,5.80078205707961
gen=47_member=8066_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,36.1452896,36.14526258672567,114.75779178672568,3.76811,3.994096504919944,4.605903495080056
gen=49_member=8375_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,33.014504,33.01442462041577,111.62695382041578,2.48535,2.6607388018227613,5.939261198177238
gen=48_member=8129_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,36.633444399999995,36.63353389800296,115.24606309800296,4.0627,4.296660892039955,4.303339107960045
gen=39_member=6585_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,34.7828676,34.78292178056862,113.39545098056861,3.109,3.312364197249273,5.287635802750726
gen=47_member=8011_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,35.1213008,35.12122980345115,113.73375900345114,3.26403,3.4757297111849605,5.124270288815039
gen=40_member=6726_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,31.242575600000002,31.242517549639818,109.85504674963983,2.03707,2.193230877505393,6.406769122494607
gen=44_member=7543_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,35.1870268,35.18705597340057,113.79958517340057,3.29833,3.511778099658017,5.088221900341983
gen=43_member=7287_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,33.646587600000004,33.64656535247972,112.25909455247972,2.68124,2.8661171781402426,5.733882821859757
gen=41_member=6982_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,36.2787468,36.278668778733376,114.89119797873339,3.84028,4.069034136830904,4.530965863169095
gen=33_member=5577_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,34.0012852,34.00137781832889,112.6139070183289,2.80281,2.9974434028268417,5.602556597173158
gen=48_member=8183_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,34.7057788,34.70587203703935,113.31840123703935,3.0773,3.2788488772650752,5.321151122734925
gen=48_member=8234_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,23.7818948,23.781937390842728,102.39446659084273,1.1268,1.2343457258049888,7.365654274195011
gen=42_member=7080_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,35.2182188,35.21819334968434,113.83072254968432,3.313,3.526994679865944,5.0730053201340555
gen=47_member=8007_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,34.1347424,34.13470291303967,112.74723211303967,2.85212,3.049065583059793,5.550934416940207
gen=35_member=5961_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,36.8771876,36.87726444522587,115.48979364522586,4.16397,4.401824237055998,4.198175762944001
gen=31_member=5281_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,33.1156552,33.11569694121411,111.72822614121412,2.52766,2.7052450771348053,5.894754922865195
gen=44_member=7417_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,28.040048399999996,28.04007293817745,106.65260213817746,1.50233,1.6309784299739534,6.9690215700260465
gen=32_member=5429_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,36.214580399999996,36.214597535229515,114.82712673522953,3.8078,4.03536785676766,4.564632143232339
gen=37_member=6347_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,35.6629276,35.66303769617801,114.275566896178,3.52921,3.7497828519908523,4.850217148009147
gen=42_member=7094_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,32.7239728,32.72396444274264,111.33649364274265,2.40462,2.5759592348117115,6.024040765188288
gen=45_member=7577_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,33.348481199999995,33.348578128286576,111.96110732828657,2.59343,2.7740840248756555,5.825915975124344
gen=38_member=6402_pso,50,storage_minus_10pct,storage,Storage,S,0.9,0.108,0.12,,,,0.9,0.108,30.511791600000002,30.51186014513365,109.12438934513365,1.8927,2.0414528447023734,6.558547155297626
