member,generation,scenario,scenario_label,T_factor,S_factor,T_value,S_value,base_T_value,base_S_value,archive_pumping_objective_cfs,pumping_objective_reeval_cfs,full_model_total_pumping_cfs,archive_depletion_cfs,depletion_cfs,streamflow_cfs
gen=48_member=8113_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,37.0135412,37.01352492542517,115.62605412542518,4.2324,4.232401729996877,4.367598270003123
gen=48_member=8218_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,36.6236412,36.62363801974855,115.23616721974857,4.03399,4.033988191639938,4.566011808360062
gen=42_member=7058_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,17.825114,17.82511697626178,96.4376461762618,0.864582,0.8645822572117029,7.735417742788297
gen=48_member=8245_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,36.87897,36.87888641911074,115.49141561911075,4.17121,4.1712068907145685,4.428793109285431
gen=41_member=6922_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,32.1159516,32.11592080418332,110.72845000418333,2.24821,2.248210831838707,6.351789168161293
gen=41_member=6885_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,16.94815092,16.94814371857778,95.56067291857778,0.828565,0.8285654379401006,7.771434562059899
gen=37_member=6262_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,25.3729096,25.372800727077287,103.98532992707726,1.2425,1.2424981099154597,7.35750189008454
gen=39_member=6554_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,22.91498,22.91493475179726,101.52746395179726,1.07599,1.0759853155948564,7.524014684405143
gen=44_member=7409_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,29.026161199999997,29.02617500954204,107.63870420954201,1.61819,1.6181922753542444,6.981807724645755
gen=33_member=5597_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,20.425457360000003,20.425447005160812,99.03797620516082,0.993719,0.9937193119614058,7.606280688038594
gen=35_member=5926_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,28.758578399999998,28.75848621927199,107.371015419272,1.60584,1.6058441235180438,6.994155876481956
gen=42_member=7147_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,36.785394,36.78548226240043,115.39801146240043,4.12536,4.125357521076862,4.474642478923138
gen=47_member=7992_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,37.303181200000004,37.30318347661641,115.91571267661642,4.41535,4.415352874721832,4.184647125278167
gen=44_member=7479_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,29.72709,29.726992928553695,108.3395221285537,1.7727,1.7727044994457113,6.827295500554288
gen=46_member=7840_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,27.838414399999998,27.838357196260656,106.45088639626066,1.46259,1.4625932530033692,7.13740674699663
gen=36_member=6076_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,37.071692,37.07165394641189,115.6841831464119,4.31441,4.314408249931125,4.285591750068875
gen=39_member=6576_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,24.576845199999998,24.57679423226629,103.18932343226629,1.21064,1.2106413178735036,7.389358682126496
gen=46_member=7833_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,30.2738412,30.273822445456965,108.88635164545695,1.83739,1.837394816219615,6.762605183780384
gen=36_member=6039_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,34.2367848,34.236759922666806,112.84928912266682,2.88658,2.8865790925389523,5.713420907461048
gen=45_member=7630_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,20.27341864,20.273425248681576,98.88595444868157,0.964314,0.9643142048409978,7.635685795159002
gen=41_member=7002_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,31.456018,31.456010064777686,110.0685392647777,2.09323,2.0932333142827297,6.50676668571727
gen=44_member=7416_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,22.539562,22.53949283051267,101.15202203051267,1.03735,1.0373456001592622,7.562654399840738
gen=48_member=8130_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,30.2965668,30.29664546331896,108.90917466331896,1.8663,1.8663016796690663,6.733698320330934
gen=42_member=7150_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,23.0183592,23.018345966531463,101.63087516653145,1.08725,1.087248915729321,7.512751084270679
gen=46_member=7861_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,36.5779672,36.57795625745423,115.19048545745423,4.0076,4.007601081757205,4.592398918242795
gen=47_member=8013_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,24.1898416,24.189885878306495,102.80241507830647,1.14776,1.147762321088277,7.452237678911723
gen=34_member=5833_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,37.0554276,37.05546674905064,115.66799594905063,4.29346,4.293456493397734,4.3065435066022655
gen=29_member=4835_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,31.1628132,31.16289112554577,109.77542032554577,2.02499,2.0249856399765958,6.575014360023404
gen=43_member=7309_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,28.36244,28.362383210764136,106.97491241076413,1.53641,1.5364104025504484,7.0635895974495515
gen=42_member=7162_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,34.2657488,34.265693983561704,112.87822318356172,2.92099,2.9209899539452193,5.67901004605478
gen=43_member=7394_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,29.6994628,29.69937939750987,108.31190859750988,1.74092,1.7409232462479096,6.85907675375209
gen=47_member=7994_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,27.7078536,27.707961235794844,106.32049043579485,1.42551,1.4255099966871652,7.174490003312835
gen=48_member=8212_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,25.5088176,25.50891213870453,104.12144133870451,1.2664,1.266398238769936,7.333601761230064
gen=34_member=5718_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,19.217970479999998,19.217975104740983,97.83050430474097,0.92753,0.9275296888087197,7.6724703111912795
gen=40_member=6749_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,32.0337384,32.033822459218676,110.64635165921867,2.22633,2.226329000439628,6.373670999560371
gen=45_member=7712_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,31.9644476,31.96441941761888,110.57694861761888,2.20694,2.206943643436204,6.393056356563795
gen=49_member=8286_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,31.885799199999997,31.88574680923485,110.49827600923484,2.18552,2.1855188028063663,6.414481197193633
gen=47_member=7987_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,32.3378604,32.3379503115816,110.95047951158162,2.30822,2.3082233922736415,6.291776607726359
gen=42_member=7104_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,37.1305112,37.1305477391165,115.7430769391165,4.35228,4.352276475860758,4.247723524139242
gen=44_member=7536_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,23.466855600000002,23.46684587614881,102.0793750761488,1.11985,1.119851808944549,7.48014819105545
gen=38_member=6480_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,31.4072248,31.407133065935877,110.01966226593586,2.07448,2.0744810502582167,6.525518949741783
gen=43_member=7269_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,36.833296,36.83339971387087,115.44592891387086,4.14372,4.14371619026555,4.456283809734449
gen=35_member=5948_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,37.07392,37.07384621264411,115.68637541264411,4.33924,4.339241874247068,4.260758125752932
gen=29_member=4871_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,17.843495,17.843497187733753,96.45602638773376,0.881544,0.8815436349096046,7.718456365090395
gen=36_member=6031_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,31.3383796,31.338390787551674,109.95091998755169,2.05415,2.054152766640796,6.545847233359204
gen=39_member=6689_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,29.4165068,29.416418185838467,108.02894738583845,1.67871,1.6787094998114656,6.921290500188534
gen=46_member=7811_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,30.8479968,30.84800808580873,109.46053728580873,1.95962,1.9596188640199474,6.640381135980052
gen=36_member=6150_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,29.510305600000002,29.510270949002532,108.12280014900254,1.71536,1.715362470532215,6.884637529467785
gen=28_member=4698_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,19.62453592,19.62453473077234,98.23706393077234,0.948853,0.9488534751048375,7.651146524895162
gen=45_member=7580_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,29.4198488,29.41977376399195,108.03230296399194,1.6928,1.692796757945654,6.907203242054345
gen=37_member=6318_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,36.3585092,36.35850397821222,114.97103317821221,3.89263,3.8926304214774343,4.707369578522565
gen=39_member=6634_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,37.24659,37.24656995207669,115.8590991520767,4.3792,4.3792013937893275,4.220798606210672
gen=46_member=7788_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,32.533256,32.533172613400616,111.1457018134006,2.35444,2.3544415896375157,6.245558410362484
gen=46_member=7881_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,27.1929628,27.192862415219388,105.80539161521938,1.37653,1.376534935137965,7.223465064862035
gen=27_member=4566_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,34.2026964,34.20265674649548,112.8151859464955,2.87573,2.87572560211735,5.72427439788265
gen=39_member=6698_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,33.52026,33.52015097310551,112.13268017310553,2.6497,2.6497013934446474,5.950298606555352
gen=41_member=6986_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,35.7676436,35.767651554973604,114.38018075497361,3.58673,3.586730385344672,5.013269614655328
gen=41_member=6973_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,35.1593996,35.15947657236159,113.77200577236158,3.28388,3.283884959892168,5.316115040107832
gen=27_member=4568_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,32.5586552,32.558684654753776,111.17121385475377,2.37042,2.370423148131909,6.2295768518680905
gen=37_member=6357_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,32.625718,32.62572860768373,111.23825780768374,2.3887,2.388702197214058,6.211297802785942
gen=47_member=8006_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,36.7613316,36.761407828424296,115.37393702842431,4.09604,4.096041808260816,4.5039581917391835
gen=41_member=6898_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,31.489438,31.489447863162184,110.10197706316218,2.11934,2.119335855423188,6.480664144576812
gen=39_member=6668_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,33.933108399999995,33.933030846740984,112.545560046741,2.77099,2.7709912319006165,5.829008768099383
gen=48_member=8200_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,34.8907028,34.89080581472363,113.50333501472363,3.16725,3.1672458805732453,5.432754119426754
gen=32_member=5452_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,34.8474796,34.84753054005696,113.46005974005696,3.14182,3.141817552171591,5.458182447828408
gen=44_member=7522_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,33.1631116,33.16311565476033,111.77564485476033,2.53937,2.539368247581174,6.060631752418826
gen=45_member=7699_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,25.6714616,25.671464649350018,104.28399384935003,1.28466,1.2846600959013812,7.315339904098618
gen=38_member=6478_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,35.2785976,35.27857906393331,113.8911082639333,3.35376,3.3537617018742854,5.246238298125714
gen=48_member=8105_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,36.5527908,36.55273076856624,115.16525996856623,3.9902,3.9901981205782486,4.609801879421751
gen=47_member=7995_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,36.497536399999994,36.49744644974915,115.10997564974916,3.97511,3.975106482748441,4.624893517251559
gen=38_member=6507_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,36.2430988,36.243072285057984,114.85560148505799,3.82686,3.8268570564980315,4.773142943501968
gen=47_member=8017_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,26.3334004,26.33332130996634,104.94585050996633,1.31111,1.3111126222085394,7.28888737779146
gen=28_member=4806_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,36.335338,36.335363024535646,114.94789222453565,3.87574,3.8757359184083398,4.7242640815916594
gen=33_member=5559_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,32.1440244,32.1440689013816,110.7565981013816,2.27771,2.27770616129014,6.322293838709859
gen=28_member=4728_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,25.063886,25.063855919912235,103.67638511991223,1.21593,1.215931183468382,7.3840688165316175
gen=30_member=4999_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,33.9879172,33.98794532305361,112.60047452305362,2.78942,2.7894244899895115,5.810575510010488
gen=47_member=7949_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,31.069014399999997,31.068968509771572,109.68149770977158,1.99378,1.9937752885784714,6.606224711421528
gen=37_member=6216_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,34.7610332,34.76111558406628,113.37364478406629,3.104,3.1039998368234114,5.496000163176588
gen=35_member=5892_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,33.624976,33.6250096550061,112.23753885500611,2.6693,2.669301284000799,5.930698715999201
gen=47_member=7933_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,26.4996092,26.49956968298791,105.11209888298791,1.3367,1.336698211855586,7.263301788144414
gen=42_member=7127_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,33.1831636,33.183068642146345,111.79559784214636,2.56094,2.5609438201383607,6.039056179861639
gen=46_member=7815_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,30.2096748,30.209600453547942,108.82212965354798,1.82093,1.8209316870333607,6.779068312966639
gen=41_member=6988_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,27.9351096,27.935094147883344,106.54762334788336,1.48478,1.4847806569614805,7.115219343038519
gen=39_member=6630_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,32.2866164,32.28667995166453,110.89920915166454,2.28023,2.280231493565503,6.319768506434497
gen=46_member=7750_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,33.3573932,33.35737322320111,111.9699024232011,2.61481,2.6148133674398326,5.985186632560167
gen=47_member=8066_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,36.1452896,36.14526258672567,114.75779178672568,3.76811,3.7681126270390246,4.831887372960975
gen=49_member=8375_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,33.014504,33.01442462041577,111.62695382041578,2.48535,2.4853491554079423,6.114650844592058
gen=48_member=8129_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,36.633444399999995,36.63353389800296,115.24606309800296,4.0627,4.06270361545497,4.53729638454503
gen=39_member=6585_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,34.7828676,34.78292178056862,113.39545098056861,3.109,3.109000659648074,5.490999340351926
gen=47_member=8011_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,35.1213008,35.12122980345115,113.73375900345114,3.26403,3.2640326550202103,5.335967344979789
gen=40_member=6726_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,31.242575600000002,31.242517549639818,109.85504674963983,2.03707,2.037067297747835,6.562932702252165
gen=44_member=7543_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,35.1870268,35.18705597340057,113.79958517340057,3.29833,3.298334361468742,5.301665638531258
gen=43_member=7287_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,33.646587600000004,33.64656535247972,112.25909455247972,2.68124,2.6812389897553146,5.918761010244685
gen=41_member=6982_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,36.2787468,36.278668778733376,114.89119797873339,3.84028,3.8402820549687466,4.7597179450312534
gen=33_member=5577_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,34.0012852,34.00137781832889,112.6139070183289,2.80281,2.802809316052238,5.797190683947761
gen=48_member=8183_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,34.7057788,34.70587203703935,113.31840123703935,3.0773,3.077297589094499,5.5227024109055005
gen=48_member=8234_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,23.7818948,23.781937390842728,102.39446659084273,1.1268,1.1267995679231435,7.473200432076856
gen=42_member=7080_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,35.2182188,35.21819334968434,113.83072254968432,3.313,3.312997349575764,5.287002650424236
gen=47_member=8007_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,34.1347424,34.13470291303967,112.74723211303967,2.85212,2.8521192952616707,5.7478807047383285
gen=35_member=5961_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,36.8771876,36.87726444522587,115.48979364522586,4.16397,4.163974337028345,4.436025662971654
gen=31_member=5281_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,33.1156552,33.11569694121411,111.72822614121412,2.52766,2.527655550535176,6.072344449464824
gen=44_member=7417_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,28.040048399999996,28.04007293817745,106.65260213817746,1.50233,1.5023341028356045,7.097665897164395
gen=32_member=5429_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,36.214580399999996,36.214597535229515,114.82712673522953,3.8078,3.8077971403894884,4.792202859610511
gen=37_member=6347_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,35.6629276,35.66303769617801,114.275566896178,3.52921,3.5292051773858613,5.070794822614138
gen=42_member=7094_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,32.7239728,32.72396444274264,111.33649364274265,2.40462,2.4046240815079276,6.195375918492072
gen=45_member=7577_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,33.348481199999995,33.348578128286576,111.96110732828657,2.59343,2.593432230219679,6.006567769780321
gen=38_member=6402_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,30.511791600000002,30.51186014513365,109.12438934513365,1.8927,1.8927029265017545,6.707297073498245
gen=31_member=5196_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,37.154128,37.154036317385696,115.76656551738569,4.37901,4.3790099839992,4.220990016000799
gen=41_member=6995_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,33.0581728,33.05810757863159,111.6706367786316,2.50823,2.5082290688344937,6.091770931165506
gen=39_member=6611_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,35.8961992,35.89623286365389,114.5087620636539,3.66312,3.663118269814579,4.936881730185421
gen=49_member=8310_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,30.436708,30.43676948862573,109.04929868862573,1.88142,1.8814224001312523,6.718577599868747
gen=41_member=6917_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,30.7027312,30.7026693264571,109.3151985264571,1.93448,1.9344802970633985,6.665519702936601
gen=42_member=7156_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,30.610492,30.610510708305725,109.22303990830572,1.91823,1.9182267449739134,6.681773255026086
gen=29_member=4898_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,35.9271684,35.92717187396659,114.5397010739666,3.68037,3.680374002125098,4.919625997874902
gen=47_member=7961_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,32.81844,32.81846706326812,111.43099626326813,2.42627,2.4262709560882163,6.173729043911783
gen=31_member=5213_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,34.374698,34.37459988167344,112.98712908167344,2.94698,2.9469766581836145,5.653023341816385
gen=33_member=5529_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,18.329822840000002,18.32982475749499,96.94235395749497,0.902294,0.9022937938185509,7.697706206181449
gen=41_member=6902_pso,50,baseline_T1_S1,"Baseline T, baseline S",1.0,1.0,1700.0,0.12,1700.0,0.12,29.628389600000002,29.628353465378915,108.24088266537892,1.72975,1.7297505883192235,6.870249411680776
