member,generation,scenario,parameter_name,parameter_label,parameter_symbol,parameter_factor,parameter_value,base_parameter_value,probability_weight,T_factor,T_value,S_factor,S_value,archive_pumping_objective_cfs,pumping_objective_reeval_cfs,full_model_total_pumping_cfs,archive_depletion_cfs,depletion_cfs,streamflow_cfs
gen=46_member=7861_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,36.5779672,36.57795625745423,115.19048545745423,4.0076,3.535086744961496,5.064913255038503
gen=47_member=8013_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,24.1898416,24.189885878306495,102.80241507830647,1.14776,0.9313939962532513,7.668606003746748
gen=34_member=5833_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,37.0554276,37.05546674905064,115.66799594905063,4.29346,3.803018569799949,4.79698143020005
gen=29_member=4835_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,31.1628132,31.16289112554577,109.77542032554577,2.02499,1.721919861779289,6.87808013822071
gen=43_member=7309_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,28.36244,28.362383210764136,106.97491241076413,1.53641,1.2833074397858737,7.3166925602141255
gen=42_member=7162_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,34.2657488,34.265693983561704,112.87822318356172,2.92099,2.535983973788585,6.064016026211414
gen=43_member=7394_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,29.6994628,29.69937939750987,108.31190859750988,1.74092,1.4672395791393507,7.132760420860649
gen=47_member=7994_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,27.7078536,27.707961235794844,106.32049043579485,1.42551,1.1812458254423588,7.418754174557641
gen=48_member=8212_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,25.5088176,25.50891213870453,104.12144133870451,1.2664,1.0373538918167364,7.562646108183263
gen=34_member=5718_pso,50,transmissivity_zminus_2p00,transmissivity,Transmissivity,T,0.8,1360.0,1700.0,0.022190548492442997,0.8,1360.0,,,19.217970479999998,19.217975104740983,97.83050430474097,0.92753,0.7581371076740153,7.8418628923259845
