member,generation,scenario,scenario_label,T_factor,S_factor,T_value,S_value,base_T_value,base_S_value,archive_pumping_objective_cfs,pumping_objective_reeval_cfs,full_model_total_pumping_cfs,archive_depletion_cfs,depletion_cfs,streamflow_cfs
gen=44_member=7479_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,29.72709,29.726992928553695,108.3395221285537,1.7727,1.772704499445712,6.827295500554287
gen=46_member=7840_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,27.838414399999998,27.838357196260656,106.45088639626066,1.46259,1.4625932530033705,7.137406746996629
gen=36_member=6076_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,37.071692,37.07165394641189,115.6841831464119,4.31441,4.314408249931122,4.285591750068877
gen=39_member=6576_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,24.576845199999998,24.57679423226629,103.18932343226629,1.21064,1.2106413178735052,7.3893586821264945
gen=46_member=7833_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,30.2738412,30.273822445456965,108.88635164545695,1.83739,1.8373948162196139,6.762605183780385
gen=36_member=6039_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,34.2367848,34.236759922666806,112.84928912266682,2.88658,2.886579092538951,5.713420907461049
gen=45_member=7630_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,20.27341864,20.273425248681576,98.88595444868157,0.964314,0.9643142048409987,7.6356857951590005
gen=41_member=7002_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,31.456018,31.456010064777686,110.0685392647777,2.09323,2.093233314282728,6.506766685717272
gen=44_member=7416_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,22.539562,22.53949283051267,101.15202203051267,1.03735,1.0373456001592634,7.562654399840737
gen=48_member=8130_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,30.2965668,30.29664546331896,108.90917466331896,1.8663,1.8663016796690663,6.733698320330934
gen=42_member=7150_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,23.0183592,23.018345966531463,101.63087516653145,1.08725,1.087248915729322,7.512751084270677
gen=46_member=7861_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,36.5779672,36.57795625745423,115.19048545745423,4.0076,4.007601081757205,4.592398918242795
gen=47_member=8013_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,24.1898416,24.189885878306495,102.80241507830647,1.14776,1.1477623210882781,7.452237678911722
gen=34_member=5833_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,37.0554276,37.05546674905064,115.66799594905063,4.29346,4.293456493397733,4.306543506602266
gen=29_member=4835_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,31.1628132,31.16289112554577,109.77542032554577,2.02499,2.024985639976598,6.575014360023402
gen=43_member=7309_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,28.36244,28.362383210764136,106.97491241076413,1.53641,1.536410402550447,7.063589597449552
gen=42_member=7162_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,34.2657488,34.265693983561704,112.87822318356172,2.92099,2.9209899539452198,5.679010046054779
gen=43_member=7394_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,29.6994628,29.69937939750987,108.31190859750988,1.74092,1.7409232462479096,6.85907675375209
gen=47_member=7994_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,27.7078536,27.707961235794844,106.32049043579485,1.42551,1.4255099966871665,7.174490003312833
gen=48_member=8212_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,25.5088176,25.50891213870453,104.12144133870451,1.2664,1.2663982387699373,7.333601761230062
gen=34_member=5718_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,19.217970479999998,19.217975104740983,97.83050430474097,0.92753,0.9275296888087201,7.6724703111912795
gen=40_member=6749_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,32.0337384,32.033822459218676,110.64635165921867,2.22633,2.226329000439628,6.373670999560371
gen=45_member=7712_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,31.9644476,31.96441941761888,110.57694861761888,2.20694,2.206943643436203,6.393056356563797
gen=49_member=8286_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,31.885799199999997,31.88574680923485,110.49827600923484,2.18552,2.185518802806368,6.4144811971936315
gen=47_member=7987_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,32.3378604,32.3379503115816,110.95047951158162,2.30822,2.3082233922736424,6.291776607726357
gen=42_member=7104_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,37.1305112,37.1305477391165,115.7430769391165,4.35228,4.352276475860758,4.247723524139242
gen=44_member=7536_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,23.466855600000002,23.46684587614881,102.0793750761488,1.11985,1.11985180894455,7.4801481910554495
gen=38_member=6480_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,31.4072248,31.407133065935877,110.01966226593586,2.07448,2.07448105025822,6.52551894974178
gen=43_member=7269_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,36.833296,36.83339971387087,115.44592891387086,4.14372,4.14371619026555,4.456283809734449
gen=35_member=5948_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,37.07392,37.07384621264411,115.68637541264411,4.33924,4.339241874247064,4.260758125752935
gen=29_member=4871_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,17.843495,17.843497187733753,96.45602638773376,0.881544,0.8815436349096055,7.718456365090394
gen=36_member=6031_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,31.3383796,31.338390787551674,109.95091998755169,2.05415,2.0541527666407955,6.545847233359204
gen=39_member=6689_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,29.4165068,29.416418185838467,108.02894738583845,1.67871,1.6787094998114664,6.921290500188533
gen=46_member=7811_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,30.8479968,30.84800808580873,109.46053728580873,1.95962,1.9596188640199474,6.640381135980052
gen=36_member=6150_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,29.510305600000002,29.510270949002532,108.12280014900254,1.71536,1.7153624705322148,6.884637529467785
gen=28_member=4698_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,19.62453592,19.62453473077234,98.23706393077234,0.948853,0.9488534751048385,7.651146524895161
gen=45_member=7580_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,29.4198488,29.41977376399195,108.03230296399194,1.6928,1.692796757945653,6.907203242054346
gen=37_member=6318_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,36.3585092,36.35850397821222,114.97103317821221,3.89263,3.8926304214774357,4.707369578522564
gen=39_member=6634_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,37.24659,37.24656995207669,115.8590991520767,4.3792,4.379201393789327,4.220798606210673
gen=46_member=7788_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,32.533256,32.533172613400616,111.1457018134006,2.35444,2.354441589637514,6.245558410362486
gen=46_member=7881_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,27.1929628,27.192862415219388,105.80539161521938,1.37653,1.3765349351379663,7.223465064862033
gen=27_member=4566_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,34.2026964,34.20265674649548,112.8151859464955,2.87573,2.8757256021173503,5.724274397882649
gen=39_member=6698_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,33.52026,33.52015097310551,112.13268017310553,2.6497,2.649701393444648,5.950298606555352
gen=41_member=6986_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,35.7676436,35.767651554973604,114.38018075497361,3.58673,3.586730385344673,5.013269614655327
gen=41_member=6973_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,35.1593996,35.15947657236159,113.77200577236158,3.28388,3.2838849598921693,5.31611504010783
gen=27_member=4568_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,32.5586552,32.558684654753776,111.17121385475377,2.37042,2.3704231481319114,6.229576851868089
gen=37_member=6357_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,32.625718,32.62572860768373,111.23825780768374,2.3887,2.3887021972140596,6.21129780278594
gen=47_member=8006_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,36.7613316,36.761407828424296,115.37393702842431,4.09604,4.096041808260817,4.503958191739183
gen=41_member=6898_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,31.489438,31.489447863162184,110.10197706316218,2.11934,2.1193358554231896,6.48066414457681
gen=39_member=6668_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,33.933108399999995,33.933030846740984,112.545560046741,2.77099,2.770991231900619,5.8290087680993805
gen=48_member=8200_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,34.8907028,34.89080581472363,113.50333501472363,3.16725,3.167245880573241,5.432754119426759
gen=32_member=5452_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,34.8474796,34.84753054005696,113.46005974005696,3.14182,3.1418175521715903,5.45818244782841
gen=44_member=7522_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,33.1631116,33.16311565476033,111.77564485476033,2.53937,2.539368247581175,6.060631752418825
gen=45_member=7699_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,25.6714616,25.671464649350018,104.28399384935003,1.28466,1.2846600959013819,7.315339904098618
gen=38_member=6478_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,35.2785976,35.27857906393331,113.8911082639333,3.35376,3.3537617018742862,5.246238298125713
gen=48_member=8105_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,36.5527908,36.55273076856624,115.16525996856623,3.9902,3.9901981205782504,4.609801879421749
gen=47_member=7995_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,36.497536399999994,36.49744644974915,115.10997564974916,3.97511,3.9751064827484384,4.624893517251561
gen=38_member=6507_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,36.2430988,36.243072285057984,114.85560148505799,3.82686,3.8268570564980338,4.773142943501966
gen=47_member=8017_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,26.3334004,26.33332130996634,104.94585050996633,1.31111,1.3111126222085405,7.288887377791459
gen=28_member=4806_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,36.335338,36.335363024535646,114.94789222453565,3.87574,3.875735918408341,4.724264081591659
gen=33_member=5559_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,32.1440244,32.1440689013816,110.7565981013816,2.27771,2.27770616129014,6.322293838709859
gen=28_member=4728_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,25.063886,25.063855919912235,103.67638511991223,1.21593,1.2159311834683832,7.384068816531617
gen=30_member=4999_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,33.9879172,33.98794532305361,112.60047452305362,2.78942,2.7894244899895115,5.810575510010488
gen=47_member=7949_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,31.069014399999997,31.068968509771572,109.68149770977158,1.99378,1.9937752885784708,6.606224711421529
gen=37_member=6216_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,34.7610332,34.76111558406628,113.37364478406629,3.104,3.1039998368234127,5.496000163176587
gen=35_member=5892_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,33.624976,33.6250096550061,112.23753885500611,2.6693,2.6693012840007975,5.930698715999203
gen=47_member=7933_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,26.4996092,26.49956968298791,105.11209888298791,1.3367,1.3366982118555872,7.263301788144412
gen=42_member=7127_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,33.1831636,33.183068642146345,111.79559784214636,2.56094,2.560943820138361,6.039056179861639
gen=46_member=7815_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,30.2096748,30.209600453547942,108.82212965354798,1.82093,1.8209316870333612,6.779068312966638
gen=41_member=6988_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,27.9351096,27.935094147883344,106.54762334788336,1.48478,1.4847806569614808,7.115219343038519
gen=39_member=6630_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,32.2866164,32.28667995166453,110.89920915166454,2.28023,2.280231493565505,6.319768506434494
gen=46_member=7750_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,33.3573932,33.35737322320111,111.9699024232011,2.61481,2.6148133674398344,5.985186632560165
gen=47_member=8066_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,36.1452896,36.14526258672567,114.75779178672568,3.76811,3.7681126270390264,4.831887372960973
gen=49_member=8375_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,33.014504,33.01442462041577,111.62695382041578,2.48535,2.485349155407946,6.114650844592054
gen=48_member=8129_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,36.633444399999995,36.63353389800296,115.24606309800296,4.0627,4.0627036154549705,4.537296384545029
gen=39_member=6585_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,34.7828676,34.78292178056862,113.39545098056861,3.109,3.1090006596480744,5.490999340351925
gen=47_member=8011_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,35.1213008,35.12122980345115,113.73375900345114,3.26403,3.264032655020213,5.335967344979787
gen=40_member=6726_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,31.242575600000002,31.242517549639818,109.85504674963983,2.03707,2.037067297747834,6.562932702252166
gen=44_member=7543_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,35.1870268,35.18705597340057,113.79958517340057,3.29833,3.2983343614687435,5.301665638531256
gen=43_member=7287_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,33.646587600000004,33.64656535247972,112.25909455247972,2.68124,2.681238989755315,5.918761010244685
gen=41_member=6982_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,36.2787468,36.278668778733376,114.89119797873339,3.84028,3.8402820549687475,4.759717945031252
gen=33_member=5577_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,34.0012852,34.00137781832889,112.6139070183289,2.80281,2.802809316052241,5.7971906839477585
gen=48_member=8183_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,34.7057788,34.70587203703935,113.31840123703935,3.0773,3.0772975890945005,5.522702410905499
gen=48_member=8234_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,23.7818948,23.781937390842728,102.39446659084273,1.1268,1.1267995679231444,7.4732004320768555
gen=42_member=7080_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,35.2182188,35.21819334968434,113.83072254968432,3.313,3.3129973495757654,5.287002650424235
gen=47_member=8007_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,34.1347424,34.13470291303967,112.74723211303967,2.85212,2.8521192952616694,5.74788070473833
gen=35_member=5961_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,36.8771876,36.87726444522587,115.48979364522586,4.16397,4.163974337028348,4.436025662971652
gen=31_member=5281_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,33.1156552,33.11569694121411,111.72822614121412,2.52766,2.5276555505351785,6.072344449464821
gen=44_member=7417_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,28.040048399999996,28.04007293817745,106.65260213817746,1.50233,1.502334102835608,7.097665897164392
gen=32_member=5429_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,36.214580399999996,36.214597535229515,114.82712673522953,3.8078,3.8077971403894892,4.79220285961051
gen=37_member=6347_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,35.6629276,35.66303769617801,114.275566896178,3.52921,3.529205177385862,5.070794822614138
gen=42_member=7094_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,32.7239728,32.72396444274264,111.33649364274265,2.40462,2.4046240815079276,6.195375918492072
gen=45_member=7577_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,33.348481199999995,33.348578128286576,111.96110732828657,2.59343,2.5934322302196784,6.006567769780322
gen=38_member=6402_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,30.511791600000002,30.51186014513365,109.12438934513365,1.8927,1.8927029265017539,6.707297073498246
gen=31_member=5196_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,37.154128,37.154036317385696,115.76656551738569,4.37901,4.379009983999199,4.2209900160008
gen=41_member=6995_pso,50,Tzminus2p00_Szminus2p00,"T 0.80, S 0.80",0.8,0.8,1360.0,0.096,1700.0,0.12,33.0581728,33.05810757863159,111.6706367786316,2.50823,2.5082290688344937,6.091770931165506
