member,generation,scenario,parameter_name,parameter_label,parameter_symbol,parameter_factor,parameter_value,base_parameter_value,probability_weight,T_factor,T_value,S_factor,S_value,archive_pumping_objective_cfs,pumping_objective_reeval_cfs,full_model_total_pumping_cfs,archive_depletion_cfs,depletion_cfs,streamflow_cfs
gen=48_member=8245_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,36.87897,36.87888641911074,115.49141561911075,4.17121,4.686455370301822,3.913544629698178
gen=41_member=6922_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,32.1159516,32.11592080418332,110.72845000418333,2.24821,2.6058120351567196,5.99418796484328
gen=41_member=6885_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,16.94815092,16.94814371857778,95.56067291857778,0.828565,1.010004631017734,7.589995368982265
gen=37_member=6262_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,25.3729096,25.372800727077287,103.98532992707726,1.2425,1.496382103061399,7.103617896938601
gen=39_member=6554_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,22.91498,22.91493475179726,101.52746395179726,1.07599,1.312094708504182,7.287905291495818
gen=44_member=7409_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,29.026161199999997,29.02617500954204,107.63870420954201,1.61819,1.910220018508515,6.689779981491485
gen=33_member=5597_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,20.425457360000003,20.425447005160812,99.03797620516082,0.993719,1.205127952983924,7.394872047016076
gen=35_member=5926_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,28.758578399999998,28.75848621927199,107.371015419272,1.60584,1.897367882297754,6.702632117702246
gen=42_member=7147_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,36.785394,36.78548226240043,115.39801146240043,4.12536,4.637690350753473,3.962309649246527
gen=47_member=7992_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,37.303181200000004,37.30318347661641,115.91571267661642,4.41535,4.945053298864589,3.654946701135411
gen=44_member=7479_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,29.72709,29.726992928553695,108.3395221285537,1.7727,2.0839416512766573,6.516058348723343
gen=46_member=7840_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,27.838414399999998,27.838357196260656,106.45088639626066,1.46259,1.7376543816347163,6.862345618365284
gen=36_member=6076_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,37.071692,37.07165394641189,115.6841831464119,4.31441,4.8386505169405964,3.761349483059403
gen=39_member=6576_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,24.576845199999998,24.57679423226629,103.18932343226629,1.21064,1.4569276754512495,7.143072324548751
gen=46_member=7833_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,30.2738412,30.273822445456965,108.88635164545695,1.83739,2.1548361363725137,6.445163863627486
gen=36_member=6039_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,34.2367848,34.236759922666806,112.84928912266682,2.88658,3.3080571325788037,5.291942867421196
gen=45_member=7630_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,20.27341864,20.273425248681576,98.88595444868157,0.964314,1.179015641724635,7.420984358275365
gen=41_member=7002_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,31.456018,31.456010064777686,110.0685392647777,2.09323,2.4366985279097904,6.163301472090209
gen=44_member=7416_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,22.539562,22.53949283051267,101.15202203051267,1.03735,1.2682369328412855,7.331763067158715
gen=48_member=8130_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,30.2965668,30.29664546331896,108.90917466331896,1.8663,2.1855541904819673,6.414445809518032
gen=42_member=7150_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,23.0183592,23.018345966531463,101.63087516653145,1.08725,1.3149747630939153,7.285025236906084
gen=46_member=7861_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,36.5779672,36.57795625745423,115.19048545745423,4.0076,4.512136409857587,4.087863590142413
gen=47_member=8013_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,24.1898416,24.189885878306495,102.80241507830647,1.14776,1.390185161600615,7.209814838399385
gen=34_member=5833_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,37.0554276,37.05546674905064,115.66799594905063,4.29346,4.815011685385933,3.7849883146140666
gen=29_member=4835_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,31.1628132,31.16289112554577,109.77542032554577,2.02499,2.363304047584191,6.2366959524158085
gen=43_member=7309_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,28.36244,28.362383210764136,106.97491241076413,1.53641,1.8205960084519957,6.779403991548004
gen=42_member=7162_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,34.2657488,34.265693983561704,112.87822318356172,2.92099,3.344522367549474,5.255477632450526
gen=43_member=7394_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,29.6994628,29.69937939750987,108.31190859750988,1.74092,2.048146872725681,6.551853127274319
gen=47_member=7994_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,27.7078536,27.707961235794844,106.32049043579485,1.42551,1.696525666668529,6.90347433333147
gen=48_member=8212_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,25.5088176,25.50891213870453,104.12144133870451,1.2664,1.520640693891387,7.079359306108612
gen=34_member=5718_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,19.217970479999998,19.217975104740983,97.83050430474097,0.92753,1.1207713246639623,7.479228675336037
gen=40_member=6749_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,32.0337384,32.033822459218676,110.64635165921867,2.22633,2.58422827843313,6.015771721566869
gen=45_member=7712_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,31.9644476,31.96441941761888,110.57694861761888,2.20694,2.562444713075207,6.037555286924793
gen=49_member=8286_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,31.885799199999997,31.88574680923485,110.49827600923484,2.18552,2.5394881327212726,6.060511867278727
gen=47_member=7987_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,32.3378604,32.3379503115816,110.95047951158162,2.30822,2.672476079633174,5.927523920366825
gen=42_member=7104_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,37.1305112,37.1305477391165,115.7430769391165,4.35228,4.878473940852719,3.7215260591472807
gen=44_member=7536_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,23.466855600000002,23.46684587614881,102.0793750761488,1.11985,1.353513545614302,7.246486454385698
gen=38_member=6480_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,31.4072248,31.407133065935877,110.01966226593586,2.07448,2.4212952492041686,6.178704750795831
gen=43_member=7269_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,36.833296,36.83339971387087,115.44592891387086,4.14372,4.657273472255743,3.9427265277442567
gen=35_member=5948_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,37.07392,37.07384621264411,115.68637541264411,4.33924,4.8642723283884655,3.735727671611534
gen=29_member=4871_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,17.843495,17.843497187733753,96.45602638773376,0.881544,1.0698187997422033,7.530181200257797
gen=36_member=6031_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,31.3383796,31.338390787551674,109.95091998755169,2.05415,2.397181644495399,6.202818355504601
gen=39_member=6689_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,29.4165068,29.416418185838467,108.02894738583845,1.67871,1.978477831533814,6.621522168466186
gen=46_member=7811_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,30.8479968,30.84800808580873,109.46053728580873,1.95962,2.290873530258535,6.309126469741464
gen=36_member=6150_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,29.510305600000002,29.510270949002532,108.12280014900254,1.71536,2.019287266452038,6.580712733547962
gen=28_member=4698_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,19.62453592,19.62453473077234,98.23706393077234,0.948853,1.1571814104798182,7.442818589520181
gen=45_member=7580_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,29.4198488,29.41977376399195,108.03230296399194,1.6928,1.9936760944286942,6.606323905571306
gen=37_member=6318_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,36.3585092,36.35850397821222,114.97103317821221,3.89263,4.386053069203504,4.213946930796496
gen=39_member=6634_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,37.24659,37.24656995207669,115.8590991520767,4.3792,4.906948474267178,3.6930515257328214
gen=46_member=7788_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,32.533256,32.533172613400616,111.1457018134006,2.35444,2.7245321344716764,5.875467865528323
gen=46_member=7881_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,27.1929628,27.192862415219388,105.80539161521938,1.37653,1.6463386682892134,6.953661331710786
gen=27_member=4566_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,34.2026964,34.20265674649548,112.8151859464955,2.87573,3.300980714555752,5.299019285444247
gen=39_member=6698_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,33.52026,33.52015097310551,112.13268017310553,2.6497,3.0480597184172775,5.551940281582722
gen=41_member=6986_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,35.7676436,35.767651554973604,114.38018075497361,3.58673,4.066695618046971,4.5333043819530285
gen=41_member=6973_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,35.1593996,35.15947657236159,113.77200577236158,3.28388,3.74376537066386,4.856234629336139
gen=27_member=4568_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,32.5586552,32.558684654753776,111.17121385475377,2.37042,2.739741127340804,5.8602588726591955
gen=37_member=6357_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,32.625718,32.62572860768373,111.23825780768374,2.3887,2.762663684214468,5.837336315785532
gen=47_member=8006_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,36.7613316,36.761407828424296,115.37393702842431,4.09604,4.602227563295274,3.997772436704726
gen=41_member=6898_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,31.489438,31.489447863162184,110.10197706316218,2.11934,2.468437810247672,6.131562189752328
gen=39_member=6668_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,33.933108399999995,33.933030846740984,112.545560046741,2.77099,3.181498186017079,5.418501813982921
gen=48_member=8200_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,34.8907028,34.89080581472363,113.50333501472363,3.16725,3.616853838880156,4.983146161119844
gen=32_member=5452_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,34.8474796,34.84753054005696,113.46005974005696,3.14182,3.587747697803711,5.012252302196289
gen=44_member=7522_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,33.1631116,33.16311565476033,111.77564485476033,2.53937,2.9260944906396387,5.673905509360361
gen=45_member=7699_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,25.6714616,25.671464649350018,104.28399384935003,1.28466,1.5366533711931019,7.063346628806897
gen=38_member=6478_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,35.2785976,35.27857906393331,113.8911082639333,3.35376,3.8190878492579685,4.780912150742031
gen=48_member=8105_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,36.5527908,36.55273076856624,115.16525996856623,3.9902,4.490776176048876,4.109223823951123
gen=47_member=7995_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,36.497536399999994,36.49744644974915,115.10997564974916,3.97511,4.47986628957127,4.120133710428729
gen=38_member=6507_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,36.2430988,36.243072285057984,114.85560148505799,3.82686,4.316909316074168,4.283090683925832
gen=47_member=8017_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,26.3334004,26.33332130996634,104.94585050996633,1.31111,1.5703097194172064,7.029690280582793
gen=28_member=4806_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,36.335338,36.335363024535646,114.94789222453565,3.87574,4.36812133130067,4.23187866869933
gen=33_member=5559_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,32.1440244,32.1440689013816,110.7565981013816,2.27771,2.6423730628568034,5.957626937143196
gen=28_member=4728_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,25.063886,25.063855919912235,103.67638511991223,1.21593,1.4652098555016253,7.134790144498375
gen=30_member=4999_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,33.9879172,33.98794532305361,112.60047452305362,2.78942,3.207283607207538,5.392716392792462
gen=47_member=7949_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,31.069014399999997,31.068968509771572,109.68149770977158,1.99378,2.329232971252172,6.270767028747827
gen=37_member=6216_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,34.7610332,34.76111558406628,113.37364478406629,3.104,3.5447945739408953,5.055205426059104
gen=35_member=5892_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,33.624976,33.6250096550061,112.23753885500611,2.6693,3.069751703793083,5.530248296206917
gen=47_member=7933_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,26.4996092,26.49956968298791,105.11209888298791,1.3367,1.598426434506604,7.001573565493396
gen=42_member=7127_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,33.1831636,33.183068642146345,111.79559784214636,2.56094,2.949975520292195,5.650024479707804
gen=46_member=7815_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,30.2096748,30.209600453547942,108.82212965354798,1.82093,2.1358944228998933,6.464105577100106
gen=41_member=6988_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,27.9351096,27.935094147883344,106.54762334788336,1.48478,1.7665233274562488,6.833476672543751
gen=39_member=6630_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,32.2866164,32.28667995166453,110.89920915166454,2.28023,2.6407235060405085,5.959276493959491
gen=46_member=7750_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,33.3573932,33.35737322320111,111.9699024232011,2.61481,3.015148825959151,5.584851174040849
gen=47_member=8066_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,36.1452896,36.14526258672567,114.75779178672568,3.76811,4.255046442752699,4.344953557247301
gen=49_member=8375_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,33.014504,33.01442462041577,111.62695382041578,2.48535,2.8666247787249755,5.733375221275024
gen=48_member=8129_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,36.633444399999995,36.63353389800296,115.24606309800296,4.0627,4.566579937258661,4.033420062741339
gen=39_member=6585_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,34.7828676,34.78292178056862,113.39545098056861,3.109,3.549401493989813,5.050598506010187
gen=47_member=8011_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,35.1213008,35.12122980345115,113.73375900345114,3.26403,3.7212650369840934,4.878734963015907
gen=40_member=6726_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,31.242575600000002,31.242517549639818,109.85504674963983,2.03707,2.3773780870325676,6.222621912967432
gen=44_member=7543_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,35.1870268,35.18705597340057,113.79958517340057,3.29833,3.75911542090378,4.84088457909622
gen=43_member=7287_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,33.646587600000004,33.64656535247972,112.25909455247972,2.68124,3.0824565852983232,5.517543414701676
gen=41_member=6982_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,36.2787468,36.278668778733376,114.89119797873339,3.84028,4.33294399141432,4.26705600858568
gen=33_member=5577_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,34.0012852,34.00137781832889,112.6139070183289,2.80281,3.2252805781505027,5.3747194218494965
gen=48_member=8183_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,34.7057788,34.70587203703935,113.31840123703935,3.0773,3.5139101028828104,5.086089897117189
gen=48_member=8234_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,23.7818948,23.781937390842728,102.39446659084273,1.1268,1.3608785216647106,7.239121478335289
gen=42_member=7080_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,35.2182188,35.21819334968434,113.83072254968432,3.313,3.774948017483868,4.825051982516132
gen=47_member=8007_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,34.1347424,34.13470291303967,112.74723211303967,2.85212,3.2789631592457966,5.3210368407542035
gen=35_member=5961_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,36.8771876,36.87726444522587,115.48979364522586,4.16397,4.675922647481939,3.9240773525180606
gen=31_member=5281_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,33.1156552,33.11569694121411,111.72822614121412,2.52766,2.9136310303012656,5.686368969698734
gen=44_member=7417_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,28.040048399999996,28.04007293817745,106.65260213817746,1.50233,1.7833237113464853,6.816676288653515
gen=32_member=5429_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,36.214580399999996,36.214597535229515,114.82712673522953,3.8078,4.298183435947872,4.301816564052127
gen=37_member=6347_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,35.6629276,35.66303769617801,114.275566896178,3.52921,4.004826484106715,4.5951735158932845
gen=42_member=7094_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,32.7239728,32.72396444274264,111.33649364274265,2.40462,2.7773852294273182,5.822614770572681
gen=45_member=7577_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,33.348481199999995,33.348578128286576,111.96110732828657,2.59343,2.985742779586236,5.614257220413764
gen=38_member=6402_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,30.511791600000002,30.51186014513365,109.12438934513365,1.8927,2.216789606398447,6.383210393601553
gen=31_member=5196_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,37.154128,37.154036317385696,115.76656551738569,4.37901,4.905485597617071,3.6945144023829286
gen=41_member=6995_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,33.0581728,33.05810757863159,111.6706367786316,2.50823,2.891731148032865,5.7082688519671345
gen=39_member=6611_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,35.8961992,35.89623286365389,114.5087620636539,3.66312,4.143523664313183,4.4564763356868164
gen=49_member=8310_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,30.436708,30.43676948862573,109.04929868862573,1.88142,2.205739376621015,6.394260623378985
gen=41_member=6917_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,30.7027312,30.7026693264571,109.3151985264571,1.93448,2.262390251331874,6.337609748668125
gen=42_member=7156_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,30.610492,30.610510708305725,109.22303990830572,1.91823,2.2453933823663204,6.35460661763368
gen=29_member=4898_pso,50,storage_zminus_2p00,storage,Storage,S,0.8,0.096,0.12,0.022190548492442997,,,0.8,0.096,35.9271684,35.92717187396659,114.5397010739666,3.68037,4.169908247279062,4.430091752720938
