scenario,T_factor,T_value,probability_weight,member,generation,archive_pumping_objective_gpm,archive_pumping_objective_cfs,archive_total_pumping_gpm,archive_total_pumping_cfs,archive_depletion_cfs,archive_streamflow_cfs,pumping_objective_reeval_gpm,pumping_objective_reeval_cfs,total_pumping_gpm,total_pumping_cfs,full_model_total_pumping_gpm,full_model_total_pumping_cfs,n_model_q_columns,n_objective_q_columns,depletion_obs_name,depletion_cfs,streamflow_cfs,baseline_parameter_depletion_cfs,baseline_parameter_streamflow_cfs,depletion_change_from_baseline_cfs,streamflow_change_from_baseline_cfs,absolute_depletion_error_cfs,absolute_streamflow_error_cfs,streamflow_shortfall_below_baseline_cfs
T_minus_10pct,0.9,1530.0,,gen=40_member=6722_pso,50,13108.9,29.2066292,13108.9,29.2066292,1.65561,6.944389999999999,13108.890627812632,29.206608318766545,13108.890627812632,29.206608318766545,48392.79062781263,107.81913751876654,327,86,lpr:total_combined:bdpl,1.52660415414416,7.07339584585584,1.6556098007990303,6.944390199200969,-0.12900564665487035,0.12900564665487124,0.12900564665487035,0.12900564665487124,0.0
T_minus_10pct,0.9,1530.0,,gen=48_member=8113_pso,50,16612.9,37.0135412,16612.9,37.0135412,4.2324,4.3676,16612.892695433202,37.01352492542517,16612.892695433202,37.01352492542517,51896.79269543321,115.62605412542518,327,86,lpr:total_combined:bdpl,3.998997909055946,4.601002090944053,4.232401729996877,4.367598270003123,-0.23340382094093037,0.23340382094093037,0.23340382094093037,0.23340382094093037,0.0
T_minus_10pct,0.9,1530.0,,gen=48_member=8218_pso,50,16437.9,36.6236412,16437.9,36.6236412,4.03399,4.56601,16437.898572598093,36.62363801974855,16437.898572598093,36.62363801974855,51721.7985725981,115.23616721974857,327,86,lpr:total_combined:bdpl,3.808646910928999,4.791353089071,4.033988191639938,4.566011808360062,-0.22534128071093873,0.22534128071093829,0.22534128071093873,0.22534128071093829,0.0
T_minus_10pct,0.9,1530.0,,gen=42_member=7058_pso,50,8000.5,17.825114,8000.5,17.825114,0.864582,7.735417999999999,8000.501335844605,17.82511697626178,8000.501335844605,17.82511697626178,43284.40133584461,96.4376461762618,327,86,lpr:total_combined:bdpl,0.7813354591876954,7.818664540812304,0.8645822572117029,7.735417742788297,-0.08324679802400747,0.0832467980240077,0.08324679802400747,0.0832467980240077,0.0
T_minus_10pct,0.9,1530.0,,gen=48_member=8245_pso,50,16552.5,36.87897,16552.5,36.87897,4.17121,4.428789999999999,16552.462486135883,36.87888641911074,16552.462486135883,36.87888641911074,51836.36248613589,115.49141561911075,327,86,lpr:total_combined:bdpl,3.938740520865801,4.661259479134198,4.1712068907145685,4.428793109285431,-0.23246636984876767,0.23246636984876723,0.23246636984876767,0.23246636984876723,0.0
T_minus_10pct,0.9,1530.0,,gen=41_member=6922_pso,50,14414.7,32.1159516,14414.7,32.1159516,2.24821,6.351789999999999,14414.68617782016,32.11592080418332,14414.68617782016,32.11592080418332,49698.586177820165,110.72845000418332,327,86,lpr:total_combined:bdpl,2.092625650055133,6.507374349944866,2.248210831838707,6.351789168161293,-0.15558518178357428,0.1555851817835734,0.15558518178357428,0.1555851817835734,0.0
T_minus_10pct,0.9,1530.0,,gen=41_member=6885_pso,50,7606.89,16.94815092,7606.89,16.94815092,0.828565,7.771434999999999,7606.8867677638145,16.94814371857778,7606.8867677638145,16.94814371857778,42890.78676776381,95.56067291857778,327,86,lpr:total_combined:bdpl,0.7506854894511737,7.849314510548826,0.8285654379401006,7.771434562059899,-0.07787994848892688,0.07787994848892676,0.07787994848892688,0.07787994848892676,0.0
T_minus_10pct,0.9,1530.0,,gen=37_member=6262_pso,50,11388.2,25.3729096,11388.2,25.3729096,1.2425,7.3575,11388.151134235766,25.372800727077287,11388.151134235766,25.372800727077287,46672.05113423576,103.98532992707726,327,86,lpr:total_combined:bdpl,1.1313972036920863,7.468602796307913,1.2424981099154595,7.35750189008454,-0.11110090622337321,0.11110090622337232,0.11110090622337321,0.11110090622337232,0.0
T_minus_10pct,0.9,1530.0,,gen=39_member=6554_pso,50,10285.0,22.91498,10285.0,22.91498,1.07599,7.52401,10284.979691111876,22.91493475179726,10284.979691111876,22.91493475179726,45568.87969111188,101.52746395179726,327,86,lpr:total_combined:bdpl,0.9734645275728808,7.626535472427118,1.0759853155948564,7.524014684405143,-0.10252078802197562,0.10252078802197495,0.10252078802197562,0.10252078802197495,0.0
T_minus_10pct,0.9,1530.0,,gen=44_member=7409_pso,50,13027.9,29.0261612,13027.9,29.0261612,1.61819,6.981809999999999,13027.906198178654,29.02617500954204,13027.906198178654,29.02617500954204,48311.806198178645,107.638704209542,327,86,lpr:total_combined:bdpl,1.4917019623602024,7.1082980376397975,1.6181922753542444,6.981807724645755,-0.126490312994042,0.12649031299404268,0.126490312994042,0.12649031299404268,0.0
T_minus_10pct,0.9,1530.0,,gen=33_member=5597_pso,50,9167.62,20.425457360000003,9167.62,20.425457360000003,0.993719,7.606280999999999,9167.61535240611,20.42544700516081,9167.61535240611,20.42544700516081,44451.51535240611,99.03797620516082,327,86,lpr:total_combined:bdpl,0.9019048050605926,7.698095194939407,0.9937193119614058,7.606280688038594,-0.09181450690081328,0.09181450690081316,0.09181450690081328,0.09181450690081316,0.0
T_minus_10pct,0.9,1530.0,,gen=35_member=5926_pso,50,12907.8,28.7585784,12907.8,28.7585784,1.60584,6.99416,12907.758626244162,28.75848621927199,12907.758626244162,28.75848621927199,48191.65862624416,107.371015419272,327,86,lpr:total_combined:bdpl,1.4797914294410863,7.120208570558913,1.6058441235180438,6.994155876481956,-0.12605269407695752,0.1260526940769573,0.12605269407695752,0.1260526940769573,0.0
T_minus_10pct,0.9,1530.0,,gen=42_member=7147_pso,50,16510.5,36.785394,16510.5,36.785394,4.12536,4.47464,16510.539615080983,36.78548226240043,16510.539615080983,36.78548226240043,51794.43961508098,115.39801146240043,327,86,lpr:total_combined:bdpl,3.89426663588854,4.70573336411146,4.125357521076862,4.474642478923138,-0.23109088518832177,0.23109088518832177,0.23109088518832177,0.23109088518832177,0.0
T_minus_10pct,0.9,1530.0,,gen=47_member=7992_pso,50,16742.9,37.3031812,16742.9,37.3031812,4.41535,4.18465,16742.901021820653,37.30318347661641,16742.901021820653,37.30318347661641,52026.801021820655,115.91571267661642,327,86,lpr:total_combined:bdpl,4.175699512397961,4.424300487602038,4.415352874721832,4.184647125278167,-0.23965336232387102,0.23965336232387102,0.23965336232387102,0.23965336232387102,0.0
T_minus_10pct,0.9,1530.0,,gen=44_member=7479_pso,50,13342.5,29.72709,13342.5,29.72709,1.7727,6.827299999999999,13342.45643112823,29.726992928553692,13342.45643112823,29.726992928553692,48626.35643112823,108.3395221285537,327,86,lpr:total_combined:bdpl,1.6375139202167783,6.962486079783221,1.7727044994457113,6.827295500554288,-0.13519057922893296,0.13519057922893296,0.13519057922893296,0.13519057922893296,0.0
T_minus_10pct,0.9,1530.0,,gen=46_member=7840_pso,50,12494.8,27.8384144,12494.8,27.8384144,1.46259,7.137409999999999,12494.774325072109,27.838357196260656,12494.774325072109,27.838357196260656,47778.67432507211,106.45088639626066,327,86,lpr:total_combined:bdpl,1.3427789111909916,7.257221088809008,1.4625932530033692,7.13740674699663,-0.1198143418123776,0.11981434181237738,0.1198143418123776,0.11981434181237738,0.0
T_minus_10pct,0.9,1530.0,,gen=36_member=6076_pso,50,16639.0,37.071692,16639.0,37.071692,4.31441,4.28559,16638.98292029259,37.07165394641189,16638.98292029259,37.07165394641189,51922.88292029259,115.6841831464119,327,86,lpr:total_combined:bdpl,4.07764140222617,4.522358597773829,4.314408249931125,4.285591750068875,-0.2367668477049545,0.2367668477049545,0.2367668477049545,0.2367668477049545,0.0
T_minus_10pct,0.9,1530.0,,gen=39_member=6576_pso,50,11030.9,24.5768452,11030.9,24.5768452,1.21064,7.38936,11030.877123997438,24.57679423226629,11030.877123997438,24.57679423226629,46314.77712399744,103.18932343226628,327,86,lpr:total_combined:bdpl,1.1027749171855548,7.497225082814445,1.2106413178735036,7.389358682126496,-0.10786640068794884,0.10786640068794906,0.10786640068794884,0.10786640068794906,0.0
T_minus_10pct,0.9,1530.0,,gen=46_member=7833_pso,50,13587.9,30.2738412,13587.9,30.2738412,1.83739,6.76261,13587.891582341546,30.273822445456965,13587.891582341546,30.273822445456965,48871.791582341546,108.88635164545695,327,86,lpr:total_combined:bdpl,1.6991531981368964,6.900846801863104,1.837394816219615,6.762605183780384,-0.13824161808271862,0.13824161808271995,0.13824161808271862,0.13824161808271995,0.0
T_minus_10pct,0.9,1530.0,,gen=36_member=6039_pso,50,15366.6,34.2367848,15366.6,34.2367848,2.88658,5.713419999999999,15366.588834231065,34.236759922666806,15366.588834231065,34.236759922666806,50650.488834231066,112.84928912266682,327,86,lpr:total_combined:bdpl,2.7006628744357664,5.899337125564234,2.8865790925389523,5.713420907461048,-0.18591621810318593,0.18591621810318593,0.18591621810318593,0.18591621810318593,0.0
T_minus_10pct,0.9,1530.0,,gen=45_member=7630_pso,50,9099.38,20.27341864,9099.38,20.27341864,0.964314,7.635686,9099.382966194604,20.273425248681576,9099.382966194604,20.273425248681576,44383.2829661946,98.88595444868156,327,86,lpr:total_combined:bdpl,0.871864401903717,7.728135598096283,0.9643142048409978,7.635685795159002,-0.09244980293728089,0.09244980293728045,0.09244980293728089,0.09244980293728045,0.0
T_minus_10pct,0.9,1530.0,,gen=41_member=7002_pso,50,14118.5,31.456018,14118.5,31.456018,2.09323,6.50677,14118.496438410091,31.456010064777686,14118.496438410091,31.456010064777686,49402.3964384101,110.0685392647777,327,86,lpr:total_combined:bdpl,1.9435923026850912,6.656407697314909,2.0932333142827297,6.50676668571727,-0.14964101159763854,0.14964101159763832,0.14964101159763854,0.14964101159763832,0.0
T_minus_10pct,0.9,1530.0,,gen=44_member=7416_pso,50,10116.5,22.539562,10116.5,22.539562,1.03735,7.56265,10116.468954449134,22.53949283051267,10116.468954449134,22.53949283051267,45400.368954449135,101.15202203051268,327,86,lpr:total_combined:bdpl,0.9374368699275352,7.662563130072464,1.0373456001592622,7.562654399840738,-0.09990873023172708,0.09990873023172675,0.09990873023172708,0.09990873023172675,0.0
T_minus_10pct,0.9,1530.0,,gen=48_member=8130_pso,50,13598.1,30.2965668,13598.1,30.2965668,1.8663,6.7337,13598.135306696122,30.29664546331896,13598.135306696122,30.29664546331896,48882.035306696125,108.90917466331896,327,86,lpr:total_combined:bdpl,1.7272416563784982,6.872758343621501,1.8663016796690663,6.733698320330934,-0.1390600232905681,0.13906002329056744,0.1390600232905681,0.13906002329056744,0.0
T_minus_10pct,0.9,1530.0,,gen=42_member=7150_pso,50,10331.4,23.0183592,10331.4,23.0183592,1.08725,7.51275,10331.394060382165,23.018345966531463,10331.394060382165,23.018345966531463,45615.29406038216,101.63087516653144,327,86,lpr:total_combined:bdpl,0.9887187518632315,7.611281248136768,1.087248915729321,7.512751084270679,-0.09853016386608948,0.09853016386608893,0.09853016386608948,0.09853016386608893,0.0
T_minus_10pct,0.9,1530.0,,gen=46_member=7861_pso,50,16417.4,36.5779672,16417.4,36.5779672,4.0076,4.5924,16417.395088623984,36.57795625745423,16417.395088623984,36.57795625745423,51701.29508862399,115.19048545745424,327,86,lpr:total_combined:bdpl,3.78021799460968,4.819782005390319,4.007601081757205,4.592398918242795,-0.22738308714752486,0.22738308714752442,0.22738308714752486,0.22738308714752442,0.0
T_minus_10pct,0.9,1530.0,,gen=47_member=8013_pso,50,10857.2,24.1898416,10857.2,24.1898416,1.14776,7.45224,10857.21987356665,24.18988587830649,10857.21987356665,24.18988587830649,46141.11987356664,102.80241507830648,327,86,lpr:total_combined:bdpl,1.0422072136410925,7.557792786358908,1.147762321088277,7.452237678911723,-0.10555510744718455,0.10555510744718521,0.10555510744718455,0.10555510744718521,0.0
T_minus_10pct,0.9,1530.0,,gen=34_member=5833_pso,50,16631.7,37.0554276,16631.7,37.0554276,4.29346,4.30654,16631.71757138718,37.05546674905064,16631.71757138718,37.05546674905064,51915.61757138718,115.66799594905063,327,86,lpr:total_combined:bdpl,4.057678386616517,4.542321613383483,4.293456493397734,4.3065435066022655,-0.23577810678121747,0.23577810678121747,0.23577810678121747,0.23577810678121747,0.0
T_minus_10pct,0.9,1530.0,,gen=29_member=4835_pso,50,13986.9,31.1628132,13986.9,31.1628132,2.02499,6.57501,13986.934975559145,31.16289112554577,13986.934975559145,31.16289112554577,49270.83497555914,109.77542032554577,327,86,lpr:total_combined:bdpl,1.8775428728546069,6.722457127145393,2.024985639976596,6.575014360023404,-0.14744276712198934,0.1474427671219889,0.14744276712198934,0.1474427671219889,0.0
T_minus_10pct,0.9,1530.0,,gen=43_member=7309_pso,50,12730.0,28.36244,12730.0,28.36244,1.53641,7.06359,12729.974511114962,28.362383210764136,12729.974511114962,28.362383210764136,48013.87451111496,106.97491241076412,327,86,lpr:total_combined:bdpl,1.413738415753488,7.186261584246512,1.5364104025504484,7.063589597449552,-0.12267198679696034,0.12267198679695923,0.12267198679696034,0.12267198679695923,0.0
T_minus_10pct,0.9,1530.0,,gen=42_member=7162_pso,50,15379.6,34.2657488,15379.6,34.2657488,2.92099,5.67901,15379.57539657168,34.265693983561704,15379.57539657168,34.265693983561704,50663.47539657169,112.87822318356172,327,86,lpr:total_combined:bdpl,2.734478381385228,5.865521618614772,2.9209899539452198,5.67901004605478,-0.18651157255999173,0.18651157255999173,0.18651157255999173,0.18651157255999173,0.0
T_minus_10pct,0.9,1530.0,,gen=43_member=7394_pso,50,13330.1,29.6994628,13330.1,29.6994628,1.74092,6.85908,13330.062566207302,29.69937939750987,13330.062566207302,29.69937939750987,48613.96256620731,108.31190859750988,327,86,lpr:total_combined:bdpl,1.6075798859903028,6.992420114009697,1.7409232462479096,6.85907675375209,-0.13334336025760685,0.13334336025760685,0.13334336025760685,0.13334336025760685,0.0
T_minus_10pct,0.9,1530.0,,gen=47_member=7994_pso,50,12436.2,27.7078536,12436.2,27.7078536,1.42551,7.17449,12436.24831050038,27.707961235794844,12436.24831050038,27.707961235794844,47720.14831050039,106.32049043579484,327,86,lpr:total_combined:bdpl,1.3068869301571135,7.293113069842886,1.4255099966871652,7.174490003312835,-0.11862306653005161,0.11862306653005117,0.11862306653005161,0.11862306653005117,0.0
T_minus_10pct,0.9,1530.0,,gen=48_member=8212_pso,50,11449.2,25.5088176,11449.2,25.5088176,1.2664,7.3336,11449.242432093595,25.50891213870453,11449.242432093595,25.50891213870453,46733.14243209359,104.12144133870451,327,86,lpr:total_combined:bdpl,1.1549136602007528,7.445086339799246,1.266398238769936,7.333601761230064,-0.11148457856918315,0.1114845785691827,0.11148457856918315,0.1114845785691827,0.0
T_minus_10pct,0.9,1530.0,,gen=34_member=5718_pso,50,8625.66,19.21797048,8625.66,19.21797048,0.92753,7.67247,8625.662075736527,19.217975104740983,8625.662075736527,19.217975104740983,43909.562075736525,97.83050430474096,327,86,lpr:total_combined:bdpl,0.8445537039462581,7.755446296053742,0.9275296888087196,7.672470311191279,-0.0829759848624615,0.08297598486246294,0.0829759848624615,0.08297598486246294,0.0
T_minus_10pct,0.9,1530.0,,gen=40_member=6749_pso,50,14377.8,32.0337384,14377.8,32.0337384,2.22633,6.37367,14377.837728554165,32.03382245921868,14377.837728554165,32.03382245921868,49661.73772855416,110.64635165921868,327,86,lpr:total_combined:bdpl,2.070703771905768,6.529296228094232,2.226329000439628,6.373670999560371,-0.15562522853385996,0.15562522853386085,0.15562522853385996,0.15562522853386085,0.0
T_minus_10pct,0.9,1530.0,,gen=45_member=7712_pso,50,14346.7,31.9644476,14346.7,31.9644476,2.20694,6.39306,14346.687350816374,31.96441941761888,14346.687350816374,31.96441941761888,49630.58735081638,110.57694861761888,327,86,lpr:total_combined:bdpl,2.052229776650082,6.547770223349918,2.206943643436204,6.393056356563795,-0.1547138667861221,0.15471386678612298,0.1547138667861221,0.15471386678612298,0.0
T_minus_10pct,0.9,1530.0,,gen=49_member=8286_pso,50,14311.4,31.8857992,14311.4,31.8857992,2.18552,6.414479999999999,14311.376485293918,31.88574680923485,14311.376485293918,31.88574680923485,49595.27648529392,110.49827600923484,327,86,lpr:total_combined:bdpl,2.0314620353824293,6.568537964617571,2.1855188028063663,6.414481197193633,-0.15405676742393704,0.15405676742393748,0.15405676742393704,0.15405676742393748,0.0
T_minus_10pct,0.9,1530.0,,gen=47_member=7987_pso,50,14514.3,32.3378604,14514.3,32.3378604,2.30822,6.291779999999999,14514.340355287972,32.3379503115816,14514.340355287972,32.3379503115816,49798.240355287984,110.95047951158162,327,86,lpr:total_combined:bdpl,2.1495365130813417,6.4504634869186575,2.308223392273641,6.291776607726359,-0.1586868791922993,0.15868687919229885,0.1586868791922993,0.15868687919229885,0.0
T_minus_10pct,0.9,1530.0,,gen=42_member=7104_pso,50,16665.4,37.1305112,16665.4,37.1305112,4.35228,4.247719999999999,16665.416399962523,37.1305477391165,16665.416399962523,37.1305477391165,51949.316399962525,115.7430769391165,327,86,lpr:total_combined:bdpl,4.114461172838689,4.485538827161311,4.352276475860758,4.247723524139242,-0.2378153030220691,0.2378153030220691,0.2378153030220691,0.2378153030220691,0.0
T_minus_10pct,0.9,1530.0,,gen=44_member=7536_pso,50,10532.7,23.4668556,10532.7,23.4668556,1.11985,7.48015,10532.695635614367,23.46684587614881,10532.695635614367,23.46684587614881,45816.595635614365,102.0793750761488,327,86,lpr:total_combined:bdpl,1.0182271280593571,7.581772871940642,1.119851808944549,7.48014819105545,-0.10162468088519194,0.10162468088519194,0.10162468088519194,0.10162468088519194,0.0
T_minus_10pct,0.9,1530.0,,gen=38_member=6480_pso,50,14096.6,31.4072248,14096.6,31.4072248,2.07448,6.52552,14096.558826721668,31.40713306593588,14096.558826721668,31.40713306593588,49380.45882672166,110.01966226593586,327,86,lpr:total_combined:bdpl,1.9237652519365964,6.676234748063403,2.0744810502582167,6.525518949741783,-0.1507157983216203,0.1507157983216203,0.1507157983216203,0.1507157983216203,0.0
T_minus_10pct,0.9,1530.0,,gen=43_member=7269_pso,50,16532.0,36.833296,16532.0,36.833296,4.14372,4.45628,16532.04655021134,36.83339971387087,16532.04655021134,36.83339971387087,51815.94655021134,115.44592891387086,327,86,lpr:total_combined:bdpl,3.912188679846797,4.687811320153203,4.14371619026555,4.456283809734449,-0.2315275104187533,0.2315275104187533,0.2315275104187533,0.2315275104187533,0.0
T_minus_10pct,0.9,1530.0,,gen=35_member=5948_pso,50,16640.0,37.07392,16640.0,37.07392,4.33924,4.260759999999999,16639.96688179718,37.07384621264411,16639.96688179718,37.07384621264411,51923.86688179718,115.68637541264413,327,86,lpr:total_combined:bdpl,4.101792728309872,4.498207271690128,4.339241874247068,4.260758125752932,-0.23744914593719635,0.23744914593719635,0.23744914593719635,0.23744914593719635,0.0
T_minus_10pct,0.9,1530.0,,gen=29_member=4871_pso,50,8008.75,17.843495,8008.75,17.843495,0.881544,7.718456,8008.750981927178,17.843497187733753,8008.750981927178,17.843497187733753,43292.65098192718,96.45602638773376,327,86,lpr:total_combined:bdpl,0.8004207945897627,7.799579205410237,0.8815436349096046,7.718456365090395,-0.08112284031984196,0.08112284031984185,0.08112284031984196,0.08112284031984185,0.0
T_minus_10pct,0.9,1530.0,,gen=36_member=6031_pso,50,14065.7,31.3383796,14065.7,31.3383796,2.05415,6.54585,14065.705021342765,31.338390787551678,14065.705021342765,31.338390787551678,49349.605021342766,109.95091998755169,327,86,lpr:total_combined:bdpl,1.9048849451004173,6.695115054899582,2.054152766640796,6.545847233359204,-0.14926782154037865,0.149267821540378,0.14926782154037865,0.149267821540378,0.0
T_minus_10pct,0.9,1530.0,,gen=39_member=6689_pso,50,13203.1,29.4165068,13203.1,29.4165068,1.67871,6.92129,13203.060227037016,29.416418185838467,13203.060227037016,29.416418185838467,48486.96022703701,108.02894738583844,327,86,lpr:total_combined:bdpl,1.5486443506229377,7.0513556493770615,1.6787094998114656,6.921290500188534,-0.13006514918852785,0.1300651491885274,0.13006514918852785,0.1300651491885274,0.0
T_minus_10pct,0.9,1530.0,,gen=46_member=7811_pso,50,13845.6,30.8479968,13845.6,30.8479968,1.95962,6.64038,13845.605065443777,30.84800808580873,13845.605065443777,30.84800808580873,49129.50506544377,109.46053728580873,327,86,lpr:total_combined:bdpl,1.8152645829770453,6.784735417022954,1.9596188640199477,6.640381135980052,-0.14435428104290238,0.1443542810429026,0.14435428104290238,0.1443542810429026,0.0
T_minus_10pct,0.9,1530.0,,gen=36_member=6150_pso,50,13245.2,29.5103056,13245.2,29.5103056,1.71536,6.884639999999999,13245.184447487673,29.51027094900253,13245.184447487673,29.51027094900253,48529.08444748768,108.12280014900254,327,86,lpr:total_combined:bdpl,1.583308809212996,7.016691190787004,1.715362470532215,6.884637529467785,-0.13205366131921892,0.13205366131921892,0.13205366131921892,0.13205366131921892,0.0
T_minus_10pct,0.9,1530.0,,gen=28_member=4698_pso,50,8808.14,19.62453592,8808.14,19.62453592,0.948853,7.651147,8808.139466235341,19.62453473077234,8808.139466235341,19.62453473077234,44092.03946623534,98.23706393077234,327,86,lpr:total_combined:bdpl,0.85902355645427,7.74097644354573,0.9488534751048376,7.651146524895162,-0.08982991865056766,0.089829918650568,0.08982991865056766,0.089829918650568,0.0
T_minus_10pct,0.9,1530.0,,gen=45_member=7580_pso,50,13204.6,29.4198488,13204.6,29.4198488,1.6928,6.9072,13204.56632136084,29.41977376399195,13204.56632136084,29.41977376399195,48488.46632136084,108.03230296399194,327,86,lpr:total_combined:bdpl,1.562266505304754,7.037733494695246,1.692796757945654,6.907203242054345,-0.1305302526409,0.13053025264090046,0.1305302526409,0.13053025264090046,0.0
T_minus_10pct,0.9,1530.0,,gen=37_member=6318_pso,50,16318.9,36.3585092,16318.9,36.3585092,3.89263,4.707369999999999,16318.897656289148,36.35850397821222,16318.897656289148,36.35850397821222,51602.79765628914,114.9710331782122,327,86,lpr:total_combined:bdpl,3.671181142873484,4.928818857126516,3.8926304214774334,4.707369578522565,-0.22144927860394947,0.22144927860395125,0.22144927860394947,0.22144927860395125,0.0
T_minus_10pct,0.9,1530.0,,gen=39_member=6634_pso,50,16717.5,37.24659,16717.5,37.24659,4.3792,4.2208,16717.491001829752,37.24656995207669,16717.491001829752,37.24656995207669,52001.39100182976,115.8590991520767,327,86,lpr:total_combined:bdpl,4.140466189280825,4.459533810719175,4.379201393789328,4.220798606210672,-0.2387352045085036,0.23873520450850272,0.2387352045085036,0.23873520450850272,0.0
T_minus_10pct,0.9,1530.0,,gen=46_member=7788_pso,50,14602.0,32.533256,14602.0,32.533256,2.35444,6.245559999999999,14601.962573339591,32.533172613400616,14601.962573339591,32.533172613400616,49885.86257333959,111.1457018134006,327,86,lpr:total_combined:bdpl,2.192595557887668,6.407404442112332,2.354441589637516,6.245558410362484,-0.16184603174984824,0.1618460317498478,0.16184603174984824,0.1618460317498478,0.0
