member,T_factor__T_minus_10pct,T_factor__T_plus_10pct,T_factor__baseline_T,T_value__T_minus_10pct,T_value__T_plus_10pct,T_value__baseline_T,absolute_depletion_error_cfs__T_minus_10pct,absolute_depletion_error_cfs__T_plus_10pct,absolute_depletion_error_cfs__baseline_T,absolute_streamflow_error_cfs__T_minus_10pct,absolute_streamflow_error_cfs__T_plus_10pct,absolute_streamflow_error_cfs__baseline_T,depletion_cfs__T_minus_10pct,depletion_cfs__T_plus_10pct,depletion_cfs__baseline_T,depletion_change_from_baseline_cfs__T_minus_10pct,depletion_change_from_baseline_cfs__T_plus_10pct,depletion_change_from_baseline_cfs__baseline_T,full_model_total_pumping_cfs__T_minus_10pct,full_model_total_pumping_cfs__T_plus_10pct,full_model_total_pumping_cfs__baseline_T,pumping_objective_reeval_cfs__T_minus_10pct,pumping_objective_reeval_cfs__T_plus_10pct,pumping_objective_reeval_cfs__baseline_T,streamflow_cfs__T_minus_10pct,streamflow_cfs__T_plus_10pct,streamflow_cfs__baseline_T,streamflow_change_from_baseline_cfs__T_minus_10pct,streamflow_change_from_baseline_cfs__T_plus_10pct,streamflow_change_from_baseline_cfs__baseline_T,streamflow_shortfall_below_baseline_cfs__T_minus_10pct,streamflow_shortfall_below_baseline_cfs__T_plus_10pct,streamflow_shortfall_below_baseline_cfs__baseline_T,pumping_objective_reeval_cfs
gen=27_member=4566_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.1871225667970453,0.17686198725327795,0.0,0.1871225667970453,0.17686198725327795,0.0,2.6886030353203045,3.052587589370628,2.87572560211735,-0.1871225667970453,0.17686198725327795,0.0,112.8151859464955,112.8151859464955,112.8151859464955,34.20265674649548,34.20265674649548,34.20265674649548,5.911396964679695,5.547412410629372,5.72427439788265,0.1871225667970453,-0.17686198725327795,0.0,0.0,0.17686198725327795,0.0,34.20265674649548
gen=27_member=4568_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.161370628320753,0.1531697938354828,0.0,0.16137062832075344,0.1531697938354828,0.0,2.209052519811156,2.523592941967392,2.370423148131909,-0.161370628320753,0.1531697938354828,0.0,111.17121385475376,111.17121385475376,111.17121385475376,32.558684654753776,32.558684654753776,32.558684654753776,6.390947480188844,6.076407058032608,6.2295768518680905,0.16137062832075344,-0.1531697938354828,0.0,0.0,0.1531697938354828,0.0,32.558684654753776
gen=27_member=4602_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.152903314036557,0.1453853717811846,0.0,0.1529033140365561,0.14538537178118638,0.0,1.9744686653936432,2.272757351211385,2.1273719794302,-0.152903314036557,0.1453853717811846,0.0,110.1465923293507,110.1465923293507,110.1465923293507,31.534063129350688,31.534063129350688,31.534063129350688,6.6255313346063565,6.327242648788614,6.4726280205698,0.1529033140365561,-0.14538537178118638,0.0,0.0,0.14538537178118638,0.0,31.534063129350688
gen=28_member=4655_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.178508391126595,0.16857332416028958,0.0,0.178508391126595,0.16857332416029003,0.0,2.5378265644692584,2.884908279756143,2.7163349555958534,-0.178508391126595,0.16857332416028958,0.0,112.34867200489096,112.34867200489096,112.34867200489096,33.73614280489097,33.73614280489097,33.73614280489097,6.062173435530742,5.715091720243857,5.883665044404147,0.178508391126595,-0.16857332416029003,0.0,0.0,0.16857332416029003,0.0,33.73614280489097
gen=28_member=4698_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.08982991865056766,0.08604818826664506,0.0,0.089829918650568,0.08604818826664484,0.0,0.85902355645427,1.0349016633714827,0.9488534751048376,-0.08982991865056766,0.08604818826664506,0.0,98.23706393077234,98.23706393077234,98.23706393077234,19.62453473077234,19.62453473077234,19.62453473077234,7.74097644354573,7.565098336628517,7.651146524895162,0.089829918650568,-0.08604818826664484,0.0,0.0,0.08604818826664484,0.0,19.62453473077234
gen=28_member=4720_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.2098139382075508,0.19636797775532244,0.0,0.20981393820755123,0.19636797775532244,0.0,3.188122002433236,3.5943039183961094,3.397935940640787,-0.2098139382075508,0.19636797775532244,0.0,113.99741790745044,113.99741790745044,113.99741790745044,35.38488870745046,35.38488870745046,35.38488870745046,5.411877997566764,5.00569608160389,5.202064059359213,0.20981393820755123,-0.19636797775532244,0.0,0.0,0.19636797775532244,0.0,35.38488870745046
gen=28_member=4728_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.10888412816419235,0.10350954789169631,0.0,0.1088841281641928,0.10350954789169631,0.0,1.1070470553041896,1.3194407313600782,1.215931183468382,-0.10888412816419235,0.10350954789169631,0.0,103.67638511991224,103.67638511991224,103.67638511991224,25.063855919912235,25.063855919912235,25.063855919912235,7.49295294469581,7.280559268639921,7.3840688165316175,0.1088841281641928,-0.10350954789169631,0.0,0.0,0.10350954789169631,0.0,25.063855919912235
gen=28_member=4806_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.2209832127987843,0.20641740682242649,0.0,0.2209832127987843,0.20641740682242649,0.0,3.654752705609556,4.082153325230767,3.87573591840834,-0.2209832127987843,0.20641740682242649,0.0,114.94789222453564,114.94789222453564,114.94789222453564,36.335363024535646,36.335363024535646,36.335363024535646,4.945247294390444,4.517846674769233,4.7242640815916594,0.2209832127987843,-0.20641740682242649,0.0,0.0,0.20641740682242649,0.0,36.335363024535646
gen=29_member=4835_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.14744276712198934,0.14015079097342031,0.0,0.1474427671219889,0.1401507909734212,0.0,1.8775428728546069,2.1651364309500165,2.024985639976596,-0.14744276712198934,0.14015079097342031,0.0,109.77542032554577,109.77542032554577,109.77542032554577,31.16289112554577,31.16289112554577,31.16289112554577,6.722457127145393,6.434863569049983,6.575014360023404,0.1474427671219889,-0.1401507909734212,0.0,0.0,0.1401507909734212,0.0,31.16289112554577
gen=29_member=4851_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.20757258009663326,0.19443906540253675,0.0,0.20757258009663282,0.19443906540253764,0.0,3.132279655717321,3.534291301216491,3.339852235813954,-0.20757258009663326,0.19443906540253675,0.0,113.87680667277613,113.87680667277613,113.87680667277613,35.264277472776136,35.264277472776136,35.264277472776136,5.467720344282679,5.065708698783508,5.260147764186046,0.20757258009663282,-0.19443906540253764,0.0,0.0,0.19443906540253764,0.0,35.264277472776136
gen=29_member=4871_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.08112284031984196,0.07772628780887292,0.0,0.08112284031984185,0.07772628780887292,0.0,0.8004207945897627,0.9592699227184776,0.8815436349096046,-0.08112284031984196,0.07772628780887292,0.0,96.45602638773376,96.45602638773376,96.45602638773376,17.843497187733753,17.843497187733753,17.843497187733753,7.799579205410237,7.640730077281522,7.718456365090395,0.08112284031984185,-0.07772628780887292,0.0,0.0,0.07772628780887292,0.0,17.843497187733753
gen=29_member=4898_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.22001681792267958,0.2052818138166761,0.0,0.22001681792267913,0.20528181381667654,0.0,3.4603571842024183,3.885655815941774,3.680374002125098,-0.22001681792267958,0.2052818138166761,0.0,114.5397010739666,114.5397010739666,114.5397010739666,35.92717187396659,35.92717187396659,35.92717187396659,5.139642815797581,4.714344184058225,4.919625997874902,0.22001681792267913,-0.20528181381667654,0.0,0.0,0.20528181381667654,0.0,35.92717187396659
gen=29_member=4911_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.17983231230915075,0.16973579112586723,0.0,0.1798323123091521,0.16973579112586634,0.0,2.574313920327824,2.923882023762842,2.7541462326369746,-0.17983231230915075,0.16973579112586723,0.0,112.47654159624248,112.47654159624248,112.47654159624248,33.86401239624249,33.86401239624249,33.86401239624249,6.025686079672177,5.676117976237158,5.845853767363025,0.1798323123091521,-0.16973579112586634,0.0,0.0,0.16973579112586634,0.0,33.86401239624249
gen=29_member=4924_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.17272643777908714,0.1634562653629228,0.0,0.1727264377790867,0.1634562653629228,0.0,2.415101584627598,2.7512842877696078,2.587828022406685,-0.17272643777908714,0.1634562653629228,0.0,111.93473943991748,111.93473943991748,111.93473943991748,33.32221023991749,33.32221023991749,33.32221023991749,6.184898415372402,5.848715712230392,6.012171977593315,0.1727264377790867,-0.1634562653629228,0.0,0.0,0.1634562653629228,0.0,33.32221023991749
gen=29_member=4976_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.16495568501456281,0.1564542906142048,0.0,0.16495568501456237,0.1564542906142048,0.0,2.2799285171904087,2.6013384928191763,2.4448842022049715,-0.16495568501456281,0.1564542906142048,0.0,111.46599534458214,111.46599534458214,111.46599534458214,32.85346614458213,32.85346614458213,32.85346614458213,6.320071482809591,5.998661507180824,6.155115797795029,0.16495568501456237,-0.1564542906142048,0.0,0.0,0.1564542906142048,0.0,32.85346614458213
gen=30_member=4999_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.1837481159916785,0.1737107238048785,0.0,0.18374811599167895,0.17371072380487806,0.0,2.605676373997833,2.96313521379439,2.7894244899895115,-0.1837481159916785,0.1737107238048785,0.0,112.60047452305362,112.60047452305362,112.60047452305362,33.98794532305361,33.98794532305361,33.98794532305361,5.994323626002167,5.63686478620561,5.810575510010488,0.18374811599167895,-0.17371072380487806,0.0,0.0,0.17371072380487806,0.0,33.98794532305361
gen=30_member=5110_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.2230574743292313,0.20815327199922784,0.0,0.22305747432923084,0.20815327199922784,0.0,3.709451903888066,4.140662650216525,3.932509378217297,-0.2230574743292313,0.20815327199922784,0.0,115.00787858259372,115.00787858259372,115.00787858259372,36.39534938259375,36.39534938259375,36.39534938259375,4.890548096111933,4.459337349783475,4.667490621782703,0.22305747432923084,-0.20815327199922784,0.0,0.0,0.20815327199922784,0.0,36.39534938259375
gen=30_member=5150_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.22341279771928946,0.20860785300521423,0.0,0.22341279771928946,0.20860785300521467,0.0,3.731761628905073,4.163782279629577,3.9551744266243625,-0.22341279771928946,0.20860785300521423,0.0,115.0904704678124,115.0904704678124,115.0904704678124,36.47794126781239,36.47794126781239,36.47794126781239,4.868238371094927,4.436217720370423,4.644825573375638,0.22341279771928946,-0.20860785300521467,0.0,0.0,0.20860785300521467,0.0,36.47794126781239
gen=30_member=5151_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.220576977153236,0.20609563465058045,0.0,0.22057697715323688,0.20609563465058045,0.0,3.634609896888329,4.061282508692146,3.855186874041565,-0.220576977153236,0.20609563465058045,0.0,114.9099219021264,114.9099219021264,114.9099219021264,36.2973927021264,36.2973927021264,36.2973927021264,4.965390103111671,4.538717491307854,4.7448131259584345,0.22057697715323688,-0.20609563465058045,0.0,0.0,0.20609563465058045,0.0,36.2973927021264
gen=30_member=5155_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.18276289040109184,0.17230512399609887,0.0,0.18276289040109184,0.17230512399609843,0.0,2.6652687206119263,3.020336735009117,2.848031611013018,-0.18276289040109184,0.17230512399609887,0.0,112.73347835647915,112.73347835647915,112.73347835647915,34.12094915647915,34.12094915647915,34.12094915647915,5.934731279388073,5.579663264990883,5.751968388986981,0.18276289040109184,-0.17230512399609843,0.0,0.0,0.17230512399609843,0.0,34.12094915647915
gen=31_member=5196_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.23819490874343607,0.22141814179331032,0.0,0.23819490874343607,0.22141814179331032,0.0,4.140815075255764,4.600428125792511,4.3790099839992,-0.23819490874343607,0.22141814179331032,0.0,115.76656551738569,115.76656551738569,115.76656551738569,37.154036317385696,37.154036317385696,37.154036317385696,4.4591849247442354,3.999571874207489,4.220990016000799,0.23819490874343607,-0.22141814179331032,0.0,0.0,0.22141814179331032,0.0,37.154036317385696
gen=31_member=5213_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.1870052075625459,0.17622887959930855,0.0,0.1870052075625459,0.1762288795993081,0.0,2.7599714506210686,3.123205537782923,2.9469766581836145,-0.1870052075625459,0.17622887959930855,0.0,112.98712908167344,112.98712908167344,112.98712908167344,34.37459988167344,34.37459988167344,34.37459988167344,5.840028549378931,5.476794462217077,5.653023341816385,0.1870052075625459,-0.1762288795993081,0.0,0.0,0.1762288795993081,0.0,34.37459988167344
gen=31_member=5214_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.2107763802228133,0.1972416195586253,0.0,0.2107763802228133,0.19724161955862485,0.0,3.2117522782913666,3.619770278072805,3.42252865851418,-0.2107763802228133,0.1972416195586253,0.0,114.05529626150496,114.05529626150496,114.05529626150496,35.44276706150495,35.44276706150495,35.44276706150495,5.388247721708633,4.980229721927195,5.17747134148582,0.2107763802228133,-0.19724161955862485,0.0,0.0,0.19724161955862485,0.0,35.44276706150495
gen=31_member=5217_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.2251254079904359,0.2100795896340215,0.0,0.22512540799043546,0.21007958963402196,0.0,3.715754868305564,4.150959865930021,3.940880276296,-0.2251254079904359,0.2100795896340215,0.0,115.0647939735805,115.0647939735805,115.0647939735805,36.4522647735805,36.4522647735805,36.4522647735805,4.884245131694436,4.449040134069978,4.659119723704,0.22512540799043546,-0.21007958963402196,0.0,0.0,0.21007958963402196,0.0,36.4522647735805
gen=31_member=5227_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.17135984100504098,0.16206086371728867,0.0,0.17135984100504142,0.16206086371728912,0.0,2.3991518004456247,2.7325725051679544,2.5705116414506657,-0.17135984100504098,0.16206086371728867,0.0,111.80451609965334,111.80451609965334,111.80451609965334,33.191986899653344,33.191986899653344,33.191986899653344,6.200848199554375,5.867427494832045,6.029488358549334,0.17135984100504142,-0.16206086371728912,0.0,0.0,0.16206086371728912,0.0,33.191986899653344
gen=31_member=5250_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.1877156551602246,0.17748101999705668,0.0,0.18771565516022548,0.17748101999705668,0.0,2.6361312286057257,3.001327903763007,2.8238468837659503,-0.1877156551602246,0.17748101999705668,0.0,112.66604105359164,112.66604105359164,112.66604105359164,34.05351185359164,34.05351185359164,34.05351185359164,5.963868771394274,5.598672096236992,5.776153116234049,0.18771565516022548,-0.17748101999705668,0.0,0.0,0.17748101999705668,0.0,34.05351185359164
gen=31_member=5281_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.16919499563869111,0.16029393932238412,0.0,0.16919499563869067,0.16029393932238456,0.0,2.3584605548964848,2.68794948985756,2.527655550535176,-0.16919499563869111,0.16029393932238412,0.0,111.72822614121412,111.72822614121412,111.72822614121412,33.11569694121411,33.11569694121411,33.11569694121411,6.241539445103514,5.912050510142439,6.072344449464824,0.16919499563869067,-0.16029393932238456,0.0,0.0,0.16029393932238456,0.0,33.11569694121411
gen=32_member=5373_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.18999688944669835,0.17909901878674672,0.0,0.18999688944669835,0.17909901878674628,0.0,2.8050073152076265,3.1741032234410715,2.995004204654325,-0.18999688944669835,0.17909901878674672,0.0,113.10263759919886,113.10263759919886,113.10263759919886,34.49010839919886,34.49010839919886,34.49010839919886,5.794992684792373,5.425896776558928,5.604995795345674,0.18999688944669835,-0.17909901878674628,0.0,0.0,0.17909901878674628,0.0,34.49010839919886
gen=32_member=5391_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.17178609314075466,0.16269673434528942,0.0,0.17178609314075466,0.16269673434528897,0.0,2.4016478718284557,2.7361306993145,2.5734339649692104,-0.17178609314075466,0.16269673434528942,0.0,111.8740349680115,111.8740349680115,111.8740349680115,33.261505768011496,33.261505768011496,33.261505768011496,6.198352128171544,5.863869300685501,6.02656603503079,0.17178609314075466,-0.16269673434528897,0.0,0.0,0.16269673434528897,0.0,33.261505768011496
gen=32_member=5405_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.12121743089999049,0.11650624675365284,0.0,0.12121743089999004,0.11650624675365329,0.0,1.3505752290848008,1.588298906738444,1.4717926599847913,-0.12121743089999049,0.11650624675365284,0.0,106.47906570330676,106.47906570330676,106.47906570330676,27.86653650330677,27.86653650330677,27.86653650330677,7.249424770915199,7.011701093261555,7.128207340015209,0.12121743089999004,-0.11650624675365329,0.0,0.0,0.11650624675365329,0.0,27.86653650330677
gen=32_member=5429_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.220168088977724,0.20559445890778294,0.0,0.22016808897772489,0.2055944589077825,0.0,3.587629051411764,4.013391599297271,3.807797140389488,-0.220168088977724,0.20559445890778294,0.0,114.82712673522953,114.82712673522953,114.82712673522953,36.21459753522952,36.21459753522952,36.21459753522952,5.012370948588236,4.586608400702729,4.792202859610511,0.22016808897772489,-0.2055944589077825,0.0,0.0,0.2055944589077825,0.0,36.21459753522952
gen=32_member=5452_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.19785992532428542,0.1861404444734287,0.0,0.19785992532428587,0.1861404444734287,0.0,2.9439576268473058,3.32795799664502,3.141817552171591,-0.19785992532428542,0.1861404444734287,0.0,113.46005974005696,113.46005974005696,113.46005974005696,34.84753054005696,34.84753054005696,34.84753054005696,5.656042373152694,5.272042003354979,5.458182447828408,0.19785992532428587,-0.1861404444734287,0.0,0.0,0.1861404444734287,0.0,34.84753054005696
gen=32_member=5467_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.21013992043684349,0.19672285524034683,0.0,0.21013992043684215,0.19672285524034816,0.0,3.199086787221109,3.6059495628982994,3.4092267076579525,-0.21013992043684349,0.19672285524034683,0.0,114.03782430560696,114.03782430560696,114.03782430560696,35.42529510560696,35.42529510560696,35.42529510560696,5.400913212778891,4.9940504371017,5.190773292342048,0.21013992043684215,-0.19672285524034816,0.0,0.0,0.19672285524034816,0.0,35.42529510560696
gen=32_member=5495_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.11331925115694275,0.10716833409971072,0.0,0.11331925115694297,0.10716833409971116,0.0,1.185991914768897,1.4064795000255506,1.2993111659258398,-0.11331925115694275,0.10716833409971072,0.0,104.5347723545836,104.5347723545836,104.5347723545836,25.92224315458362,25.92224315458362,25.92224315458362,7.414008085231103,7.193520499974449,7.30068883407416,0.11331925115694297,-0.10716833409971116,0.0,0.0,0.10716833409971116,0.0,25.92224315458362
gen=33_member=5529_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.08315084340484313,0.07961008950321524,0.0,0.08315084340484269,0.07961008950321524,0.0,0.8191429504137077,0.981903883321766,0.9022937938185508,-0.08315084340484313,0.07961008950321524,0.0,96.94235395749496,96.94235395749496,96.94235395749496,18.32982475749499,18.32982475749499,18.32982475749499,7.780857049586292,7.618096116678234,7.697706206181449,0.08315084340484269,-0.07961008950321524,0.0,0.0,0.07961008950321524,0.0,18.32982475749499
gen=33_member=5559_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.1592614188655963,0.15113189391823934,0.0,0.1592614188655972,0.15113189391823845,0.0,2.118444742424544,2.4288380552083795,2.27770616129014,-0.1592614188655963,0.15113189391823934,0.0,110.7565981013816,110.7565981013816,110.7565981013816,32.1440689013816,32.1440689013816,32.1440689013816,6.481555257575456,6.171161944791621,6.322293838709859,0.1592614188655972,-0.15113189391823845,0.0,0.0,0.15113189391823845,0.0,32.1440689013816
gen=33_member=5577_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.18560366266280193,0.17567565092182047,0.0,0.18560366266280326,0.17567565092181958,0.0,2.617205653389436,2.9784849669740585,2.802809316052238,-0.18560366266280193,0.17567565092182047,0.0,112.6139070183289,112.6139070183289,112.6139070183289,34.00137781832889,34.00137781832889,34.00137781832889,5.982794346610564,5.621515033025942,5.797190683947761,0.18560366266280326,-0.17567565092181958,0.0,0.0,0.17567565092181958,0.0,34.00137781832889
gen=33_member=5592_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.16564264672494344,0.1570707856891853,0.0,0.1656426467249439,0.15707078568918575,0.0,2.294447537885953,2.6171609703000818,2.4600901846108965,-0.16564264672494344,0.1570707856891853,0.0,111.5183403743986,111.5183403743986,111.5183403743986,32.90581117439859,32.90581117439859,32.90581117439859,6.305552462114047,5.982839029699917,6.139909815389103,0.1656426467249439,-0.15707078568918575,0.0,0.0,0.15707078568918575,0.0,32.90581117439859
gen=33_member=5597_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.09181450690081328,0.08756436905518306,0.0,0.09181450690081316,0.08756436905518328,0.0,0.9019048050605926,1.081283681016589,0.9937193119614058,-0.09181450690081328,0.08756436905518306,0.0,99.03797620516082,99.03797620516082,99.03797620516082,20.42544700516081,20.42544700516081,20.42544700516081,7.698095194939407,7.518716318983411,7.606280688038594,0.09181450690081316,-0.08756436905518328,0.0,0.0,0.08756436905518328,0.0,20.42544700516081
gen=33_member=5655_pso,0.9,1.1,1.0,1530.0,1870.0,1700.0,0.21258389049321513,0.1988727647720392,0.0,0.21258389049321558,0.1988727647720392,0.0,3.304601059710488,3.7160577149757423,3.517184950203703,-0.21258389049321513,0.1988727647720392,0.0,114.24289925855572,114.24289925855572,114.24289925855572,35.630370058555734,35.630370058555734,35.630370058555734,5.2953989402895125,4.883942285024258,5.082815049796297,0.21258389049321558,-0.1988727647720392,0.0,0.0,0.1988727647720392,0.0,35.630370058555734
