scenario,scenario_label,T_multiplier,generation,member,nsga2_front,q_total_from_wells,lpr:total_combined:bdpl
baseline,Baseline T,1.0,7,gen=6_member=911_pso,2,,2.0081
baseline,Baseline T,1.0,7,gen=5_member=749_pso,2,,3.5099
baseline,Baseline T,1.0,7,16,1,,4.48927
baseline,Baseline T,1.0,7,gen=6_member=1007_pso,2,,2.18874
baseline,Baseline T,1.0,7,gen=6_member=1005_pso,2,,1.42479
baseline,Baseline T,1.0,7,gen=6_member=955_pso,1,,2.79194
baseline,Baseline T,1.0,7,gen=6_member=969_pso,2,,4.17493
baseline,Baseline T,1.0,7,gen=5_member=789_pso,1,,3.89715
baseline,Baseline T,1.0,7,gen=6_member=921_pso,1,,2.63787
baseline,Baseline T,1.0,7,130,1,,4.69071
baseline,Baseline T,1.0,7,gen=5_member=695_pso,2,,4.06225
baseline,Baseline T,1.0,7,gen=4_member=571_pso,2,,4.32473
baseline,Baseline T,1.0,7,gen=6_member=1019_pso,2,,2.57265
baseline,Baseline T,1.0,7,gen=6_member=970_pso,2,,2.25854
baseline,Baseline T,1.0,7,gen=6_member=887_pso,2,,3.33589
baseline,Baseline T,1.0,7,gen=6_member=901_pso,1,,1.88704
baseline,Baseline T,1.0,7,gen=6_member=923_pso,2,,3.26014
baseline,Baseline T,1.0,7,gen=6_member=999_pso,2,,2.86704
baseline,Baseline T,1.0,7,gen=4_member=530_pso,2,,3.63433
baseline,Baseline T,1.0,7,gen=6_member=907_pso,1,,3.14655
baseline,Baseline T,1.0,7,gen=6_member=863_pso,2,,3.84191
baseline,Baseline T,1.0,7,gen=6_member=1004_pso,2,,3.11195
baseline,Baseline T,1.0,7,gen=6_member=884_pso,2,,3.01528
baseline,Baseline T,1.0,7,gen=6_member=930_pso,1,,3.75206
baseline,Baseline T,1.0,7,gen=5_member=806_pso,2,,2.95509
baseline,Baseline T,1.0,7,gen=4_member=661_pso,2,,4.37433
baseline,Baseline T,1.0,7,95,1,,4.70127
baseline,Baseline T,1.0,7,gen=6_member=900_pso,1,,3.72604
baseline,Baseline T,1.0,7,gen=6_member=878_pso,1,,4.10183
baseline,Baseline T,1.0,7,gen=6_member=872_pso,2,,3.32108
baseline,Baseline T,1.0,7,gen=6_member=912_pso,2,,1.83214
baseline,Baseline T,1.0,7,gen=6_member=997_pso,2,,2.25824
baseline,Baseline T,1.0,7,156,1,,4.4265
baseline,Baseline T,1.0,7,gen=5_member=715_pso,1,,3.67465
baseline,Baseline T,1.0,7,gen=5_member=799_pso,2,,1.81668
baseline,Baseline T,1.0,7,gen=6_member=1016_pso,1,,4.4236
baseline,Baseline T,1.0,7,gen=6_member=891_pso,1,,2.98952
baseline,Baseline T,1.0,7,gen=5_member=716_pso,2,,3.67187
baseline,Baseline T,1.0,7,gen=6_member=1009_pso,2,,4.10095
baseline,Baseline T,1.0,7,gen=6_member=1029_pso,2,,2.96678
baseline,Baseline T,1.0,7,gen=6_member=978_pso,2,,3.33385
baseline,Baseline T,1.0,7,116,1,,4.42483
baseline,Baseline T,1.0,7,gen=7_member=1130_pso,1,,2.21168
baseline,Baseline T,1.0,7,gen=7_member=1050_pso,1,,1.98951
baseline,Baseline T,1.0,7,gen=7_member=1090_pso,1,,1.54884
baseline,Baseline T,1.0,7,gen=7_member=1113_pso,1,,2.35885
baseline,Baseline T,1.0,7,gen=7_member=1157_pso,1,,3.3102
baseline,Baseline T,1.0,7,gen=7_member=1052_pso,1,,1.41652
baseline,Baseline T,1.0,7,gen=7_member=1073_pso,1,,3.50712
baseline,Baseline T,1.0,7,gen=7_member=1098_pso,1,,1.74926
baseline,Baseline T,1.0,7,gen=7_member=1175_pso,1,,4.29994
baseline,Baseline T,1.0,7,gen=7_member=1194_pso,1,,3.97511
baseline,Baseline T,1.0,7,gen=7_member=1085_pso,1,,4.13874
baseline,Baseline T,1.0,7,gen=7_member=1133_pso,1,,2.83006
baseline,Baseline T,1.0,7,gen=7_member=1064_pso,1,,2.99139
baseline,Baseline T,1.0,7,gen=7_member=1058_pso,1,,2.35705
baseline,Baseline T,1.0,7,gen=7_member=1048_pso,1,,3.80818
baseline,Baseline T,1.0,7,gen=7_member=1196_pso,1,,1.77255
baseline,Baseline T,1.0,7,gen=7_member=1075_pso,1,,3.57842
baseline,Baseline T,1.0,7,gen=7_member=1051_pso,1,,4.35007
baseline,Baseline T,1.0,7,gen=7_member=1076_pso,1,,3.22328
baseline,Baseline T,1.0,7,gen=7_member=1174_pso,1,,3.26982
baseline,Baseline T,1.0,7,gen=7_member=1103_pso,1,,3.53859
baseline,Baseline T,1.0,7,gen=7_member=1155_pso,1,,2.81632
baseline,Baseline T,1.0,8,152,1,,4.78258
baseline,Baseline T,1.0,8,gen=5_member=717_pso,1,,1.19771
baseline,Baseline T,1.0,8,gen=6_member=921_pso,2,,2.63787
baseline,Baseline T,1.0,8,gen=7_member=1130_pso,2,,2.21168
baseline,Baseline T,1.0,8,gen=7_member=1050_pso,1,,1.98951
baseline,Baseline T,1.0,8,gen=7_member=1090_pso,2,,1.54884
baseline,Baseline T,1.0,8,gen=7_member=1113_pso,1,,2.35885
baseline,Baseline T,1.0,8,16,1,,4.48927
baseline,Baseline T,1.0,8,gen=7_member=1157_pso,1,,3.3102
baseline,Baseline T,1.0,8,gen=7_member=1052_pso,1,,1.41652
baseline,Baseline T,1.0,8,gen=6_member=907_pso,2,,3.14655
baseline,Baseline T,1.0,8,gen=7_member=1073_pso,2,,3.50712
baseline,Baseline T,1.0,8,gen=7_member=1098_pso,2,,1.74926
baseline,Baseline T,1.0,8,gen=6_member=901_pso,2,,1.88704
baseline,Baseline T,1.0,8,130,1,,4.69071
baseline,Baseline T,1.0,8,gen=7_member=1175_pso,2,,4.29994
