member,pumping_objective_reeval_cfs,baseline_streamflow_cfs,baseline_depletion_cfs,expected_streamflow_cfs,expected_depletion_cfs,expected_streamflow_bias_from_baseline_cfs,expected_depletion_bias_from_baseline_cfs,probability_weighted_absolute_streamflow_error_cfs,probability_weighted_absolute_depletion_error_cfs,probability_weighted_streamflow_shortfall_cfs,probability_of_streamflow_shortfall,shortfall_tolerance_cfs,streamflow_std_cfs,depletion_std_cfs,streamflow_p05_cfs,streamflow_p50_cfs,streamflow_p95_cfs,depletion_p05_cfs,depletion_p50_cfs,depletion_p95_cfs,best_case_streamflow_cfs,worst_case_streamflow_cfs,best_case_T_factor,best_case_S_factor,best_case_diffusivity_factor,worst_case_T_factor,worst_case_S_factor,worst_case_diffusivity_factor,expected_diffusivity_factor,min_diffusivity_factor,max_diffusivity_factor,n_joint_scenarios
gen=47_member=7992_pso,37.30318347661641,4.184647125278167,4.415352874721832,4.178725677202608,4.421274322797392,-0.00592144807555961,0.00592144807555961,0.2424403013341405,0.24244030133414043,0.12418087470485019,0.3563452770013061,1e-10,0.31655617713033907,0.31655617713033907,3.643951171692471,4.161526679235794,4.63784088783885,3.907305251113549,4.415352874721832,4.8943491815112585,5.064253390537446,3.201644844197414,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
gen=44_member=7479_pso,29.726992928553692,6.827295500554288,1.7727044994457113,6.82091700734625,1.7790829926537497,-0.006378493208037739,0.006378493208038405,0.1387403025159112,0.1387403025159113,0.07255939786197445,0.3563452770013061,1e-10,0.18141793192922456,0.18141793192922462,6.509378793646463,6.827295500554287,7.080233018427769,1.490005619726223,1.7599377094176964,2.0533224486763557,7.307389130000454,6.23612166098328,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
gen=46_member=7840_pso,27.838357196260656,7.13740674699663,1.4625932530033692,7.132155851448999,1.4678441485510008,-0.005250895547630918,0.005250895547631584,0.12286715217011815,0.12286715217011823,0.06405902385887469,0.3563452770013061,1e-10,0.16081186511956877,0.16081186511956877,6.856402999392347,7.13740674699663,7.362419321443534,1.2108839302192498,1.4512875603240292,1.7104675676801628,7.56693602656417,6.612691921807473,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
gen=36_member=6076_pso,37.07165394641189,4.285591750068875,4.314408249931125,4.2796347864085185,4.320365213591481,-0.0059569636603562515,0.0059569636603562515,0.23972649351545186,0.23972649351545205,0.12284172858790396,0.3563452770013061,1e-10,0.3130271884349429,0.31302718843494315,3.7505028612611193,4.26273254161151,4.733600192045638,3.812147952194899,4.314408249931123,4.788227043267597,5.155300534527976,3.3131858751268464,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
gen=39_member=6576_pso,24.57679423226629,7.389358682126496,1.2106413178735036,7.384649281314872,1.2153507186851282,-0.004709400811623965,0.004709400811624631,0.11035045252518966,0.11035045252518964,0.05752992666840723,0.3563452770013061,1e-10,0.14420362345778692,0.14420362345778695,7.137819673346577,7.389358682126495,7.591290851043702,0.9849386201548354,1.2004567430476578,1.4328962324284273,7.772473068949719,6.921776607175724,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
gen=46_member=7833_pso,30.273822445456965,6.762605183780384,1.837394816219615,6.756273524184817,1.8437264758151832,-0.006331659595567807,0.006331659595568251,0.14173313285869615,0.14173313285869593,0.07403239622713205,0.3563452770013061,1e-10,0.185298628586813,0.1852986285868128,6.438370682468934,6.7489725649608445,7.021390452036413,1.5481220887689018,1.8373948162196143,2.123666131137195,7.254268956315804,6.160902339851251,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
gen=36_member=6039_pso,34.236759922666806,5.713420907461048,2.8865790925389523,5.706287479715836,2.8937125202841645,-0.007133427745212195,0.007133427745212195,0.18977700026861347,0.18977700026861358,0.0984552140069129,0.3563452770013061,1e-10,0.24801393293141874,0.24801393293141877,5.283017198462544,5.695225384798151,6.062835441337141,2.4955688282498953,2.886579092538951,3.2669714708479756,6.3832117983199925,4.920088263948131,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
gen=45_member=7630_pso,20.273425248681576,7.635685795159002,0.9643142048409978,7.630782332118597,0.9692176678814043,-0.004903463040405676,0.004903463040406453,0.09511653797189298,0.09511653797189278,0.05001000050614994,0.3563452770013061,1e-10,0.12433809175527034,0.12433809175527025,7.4163726903726594,7.635685795159001,7.807906203648908,0.7720752831244173,0.9555770372944566,1.1578577316344494,7.959169364001021,7.228304510933217,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
gen=41_member=7002_pso,31.456010064777686,6.50676668571727,2.0932333142827297,6.499996640332365,2.1000033596676357,-0.00677004538490511,0.006770045384905998,0.1534242667079378,0.1534242667079378,0.08009715604642202,0.3563452770013061,1e-10,0.20061489640632818,0.20061489640632824,6.155945984888411,6.50676668571727,6.7871010015096545,1.7797977783019876,2.093233314282729,2.40295779954367,7.040447586019239,5.855341619173128,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
gen=44_member=7416_pso,22.53949283051267,7.562654399840738,1.0373456001592622,7.557631476102125,1.0423685238978753,-0.0050229237386130166,0.0050229237386130166,0.10260836579506707,0.10260836579506707,0.05381564476684007,0.3563452770013061,1e-10,0.13409933724869538,0.13409933724869544,7.326824674667921,7.562654399840737,7.749016358818697,0.82924974136545,1.0279059517509548,1.2455503580246916,7.913571232000751,7.125802353208295,0.8,1.2,0.6666666666666667,1.2,0.8,1.4999999999999998,1.00947408415698,0.6666666666666667,1.4999999999999998,25
