member,generation,scenario,base_T_value,base_S_value,archive_pumping_objective_cfs,pumping_objective_reeval_cfs,full_model_total_pumping_cfs,archive_depletion_cfs,depletion_cfs,streamflow_cfs,T_z_score,S_z_score,T_factor,S_factor,T_value,S_value,diffusivity_factor,T_probability_weight,S_probability_weight,joint_probability_weight,scenario_label
gen=40_member=6722_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,29.2066292,29.206608318766545,107.81913751876654,1.65561,1.6556098007990283,6.944390199200971,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=48_member=8113_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,37.0135412,37.01352492542517,115.62605412542518,4.2324,4.2324017299968775,4.367598270003122,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=48_member=8218_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,36.6236412,36.62363801974855,115.23616721974857,4.03399,4.0339881916399385,4.566011808360061,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=42_member=7058_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,17.825114,17.82511697626178,96.4376461762618,0.864582,0.8645822572117033,7.735417742788297,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=48_member=8245_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,36.87897,36.87888641911074,115.49141561911075,4.17121,4.171206890714568,4.428793109285432,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=41_member=6922_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,32.1159516,32.11592080418332,110.72845000418332,2.24821,2.2482108318387106,6.3517891681612895,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=41_member=6885_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,16.94815092,16.94814371857778,95.56067291857778,0.828565,0.8285654379401013,7.771434562059898,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=37_member=6262_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,25.3729096,25.372800727077287,103.98532992707726,1.2425,1.2424981099154608,7.357501890084539,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=39_member=6554_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,22.91498,22.91493475179726,101.52746395179726,1.07599,1.075985315594857,7.5240146844051425,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=44_member=7409_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,29.0261612,29.02617500954204,107.638704209542,1.61819,1.6181922753542437,6.981807724645756,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=33_member=5597_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,20.425457360000003,20.42544700516081,99.03797620516082,0.993719,0.9937193119614068,7.606280688038593,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=35_member=5926_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,28.7585784,28.75848621927199,107.371015419272,1.60584,1.605844123518042,6.994155876481957,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=42_member=7147_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,36.785394,36.78548226240043,115.39801146240043,4.12536,4.125357521076859,4.4746424789231405,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=47_member=7992_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,37.3031812,37.30318347661641,115.91571267661642,4.41535,4.415352874721831,4.184647125278168,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=44_member=7479_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,29.72709,29.726992928553692,108.3395221285537,1.7727,1.772704499445712,6.827295500554287,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=46_member=7840_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,27.8384144,27.838357196260656,106.45088639626066,1.46259,1.4625932530033705,7.137406746996629,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=36_member=6076_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,37.071692,37.07165394641189,115.6841831464119,4.31441,4.314408249931122,4.285591750068877,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=39_member=6576_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,24.5768452,24.57679423226629,103.18932343226628,1.21064,1.2106413178735052,7.3893586821264945,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=46_member=7833_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,30.2738412,30.273822445456965,108.88635164545695,1.83739,1.8373948162196136,6.762605183780385,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=36_member=6039_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,34.2367848,34.236759922666806,112.84928912266682,2.88658,2.886579092538951,5.713420907461049,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=45_member=7630_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,20.27341864,20.273425248681576,98.88595444868156,0.964314,0.9643142048409988,7.635685795159,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=41_member=7002_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,31.456018,31.456010064777686,110.0685392647777,2.09323,2.093233314282728,6.506766685717272,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=44_member=7416_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,22.539562,22.53949283051267,101.15202203051268,1.03735,1.0373456001592634,7.562654399840737,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=48_member=8130_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,30.2965668,30.29664546331896,108.90917466331896,1.8663,1.8663016796690663,6.733698320330934,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=42_member=7150_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,23.0183592,23.018345966531463,101.63087516653144,1.08725,1.087248915729322,7.512751084270677,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=46_member=7861_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,36.5779672,36.57795625745423,115.19048545745424,4.0076,4.007601081757205,4.592398918242795,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=47_member=8013_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,24.1898416,24.18988587830649,102.80241507830648,1.14776,1.147762321088278,7.452237678911722,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=34_member=5833_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,37.0554276,37.05546674905064,115.66799594905063,4.29346,4.293456493397733,4.306543506602266,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=29_member=4835_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,31.1628132,31.16289112554577,109.77542032554577,2.02499,2.024985639976598,6.575014360023402,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=43_member=7309_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,28.36244,28.362383210764136,106.97491241076412,1.53641,1.536410402550447,7.063589597449552,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=42_member=7162_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,34.2657488,34.265693983561704,112.87822318356172,2.92099,2.92098995394522,5.679010046054779,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=43_member=7394_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,29.6994628,29.69937939750987,108.31190859750988,1.74092,1.7409232462479096,6.85907675375209,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=47_member=7994_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,27.7078536,27.707961235794844,106.32049043579484,1.42551,1.4255099966871665,7.174490003312833,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=48_member=8212_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,25.5088176,25.50891213870453,104.12144133870451,1.2664,1.2663982387699373,7.333601761230062,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=34_member=5718_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,19.21797048,19.217975104740983,97.83050430474096,0.92753,0.92752968880872,7.672470311191279,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=40_member=6749_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,32.0337384,32.03382245921868,110.64635165921868,2.22633,2.226329000439628,6.373670999560371,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=45_member=7712_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,31.9644476,31.96441941761888,110.57694861761888,2.20694,2.206943643436203,6.393056356563797,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=49_member=8286_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,31.8857992,31.88574680923485,110.49827600923484,2.18552,2.185518802806368,6.414481197193632,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=47_member=7987_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,32.3378604,32.3379503115816,110.95047951158162,2.30822,2.3082233922736424,6.291776607726357,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=42_member=7104_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,37.1305112,37.1305477391165,115.7430769391165,4.35228,4.352276475860758,4.247723524139242,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=44_member=7536_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,23.4668556,23.46684587614881,102.0793750761488,1.11985,1.11985180894455,7.4801481910554495,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=38_member=6480_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,31.4072248,31.40713306593588,110.01966226593586,2.07448,2.07448105025822,6.52551894974178,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=43_member=7269_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,36.833296,36.83339971387087,115.44592891387086,4.14372,4.14371619026555,4.456283809734449,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=35_member=5948_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,37.07392,37.07384621264411,115.68637541264413,4.33924,4.339241874247064,4.260758125752935,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=29_member=4871_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,17.843495,17.843497187733753,96.45602638773376,0.881544,0.8815436349096055,7.718456365090394,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=36_member=6031_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,31.3383796,31.338390787551678,109.95091998755169,2.05415,2.0541527666407955,6.545847233359204,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=39_member=6689_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,29.4165068,29.416418185838467,108.02894738583844,1.67871,1.6787094998114664,6.921290500188533,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=46_member=7811_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,30.8479968,30.84800808580873,109.46053728580873,1.95962,1.9596188640199477,6.640381135980052,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=36_member=6150_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,29.5103056,29.51027094900253,108.12280014900254,1.71536,1.7153624705322148,6.884637529467785,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=28_member=4698_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,19.62453592,19.62453473077234,98.23706393077234,0.948853,0.9488534751048384,7.651146524895161,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=45_member=7580_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,29.4198488,29.41977376399195,108.03230296399194,1.6928,1.692796757945653,6.907203242054346,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=37_member=6318_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,36.3585092,36.35850397821222,114.9710331782122,3.89263,3.892630421477436,4.707369578522564,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=39_member=6634_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,37.24659,37.24656995207669,115.8590991520767,4.3792,4.379201393789327,4.220798606210673,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=46_member=7788_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,32.533256,32.533172613400616,111.1457018134006,2.35444,2.354441589637514,6.245558410362486,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=46_member=7881_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,27.1929628,27.192862415219388,105.80539161521938,1.37653,1.3765349351379663,7.223465064862033,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=27_member=4566_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,34.2026964,34.20265674649548,112.8151859464955,2.87573,2.8757256021173503,5.724274397882649,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=39_member=6698_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,33.52026,33.52015097310551,112.13268017310553,2.6497,2.649701393444648,5.950298606555352,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=41_member=6986_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,35.7676436,35.767651554973604,114.3801807549736,3.58673,3.586730385344673,5.013269614655327,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=41_member=6973_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,35.1593996,35.15947657236159,113.77200577236158,3.28388,3.2838849598921693,5.31611504010783,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=27_member=4568_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,32.5586552,32.558684654753776,111.17121385475376,2.37042,2.370423148131912,6.229576851868089,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=37_member=6357_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,32.625718,32.62572860768373,111.23825780768374,2.3887,2.38870219721406,6.21129780278594,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=47_member=8006_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,36.7613316,36.761407828424296,115.37393702842432,4.09604,4.096041808260817,4.503958191739183,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=41_member=6898_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,31.489438,31.489447863162184,110.10197706316218,2.11934,2.1193358554231896,6.48066414457681,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=39_member=6668_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,33.933108399999995,33.933030846740984,112.545560046741,2.77099,2.770991231900619,5.8290087680993805,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=48_member=8200_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,34.8907028,34.89080581472363,113.50333501472365,3.16725,3.167245880573241,5.432754119426759,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=32_member=5452_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,34.8474796,34.84753054005696,113.46005974005696,3.14182,3.1418175521715903,5.45818244782841,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=44_member=7522_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,33.1631116,33.16311565476033,111.77564485476032,2.53937,2.539368247581175,6.060631752418825,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=45_member=7699_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,25.6714616,25.671464649350018,104.28399384935004,1.28466,1.284660095901382,7.315339904098618,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=38_member=6478_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,35.2785976,35.27857906393331,113.8911082639333,3.35376,3.3537617018742862,5.246238298125713,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=48_member=8105_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,36.5527908,36.55273076856624,115.16525996856625,3.9902,3.9901981205782495,4.609801879421749,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=47_member=7995_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,36.4975364,36.49744644974915,115.10997564974916,3.97511,3.9751064827484384,4.624893517251561,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=38_member=6507_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,36.2430988,36.243072285057984,114.855601485058,3.82686,3.8268570564980338,4.773142943501966,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=47_member=8017_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,26.3334004,26.33332130996634,104.94585050996632,1.31111,1.3111126222085403,7.288887377791459,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=28_member=4806_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,36.335338,36.335363024535646,114.94789222453564,3.87574,3.875735918408341,4.724264081591659,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=33_member=5559_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,32.1440244,32.1440689013816,110.7565981013816,2.27771,2.27770616129014,6.322293838709859,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=28_member=4728_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,25.063886,25.063855919912235,103.67638511991224,1.21593,1.2159311834683832,7.384068816531617,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
gen=30_member=4999_pso,50,Tzminus2p00_Szminus2p00,1700.0,0.12,33.9879172,33.98794532305361,112.60047452305362,2.78942,2.7894244899895115,5.810575510010488,-2.0,-2.0,0.8,0.8,1360.0,0.096,1.0,0.054488684549642945,0.054488684549642945,0.0029690167439504977,"T 0.80, S 0.80"
