child,parent_1,parent_2,parent_3
GEN=9_MEMBER=226_PSO,10,,
GEN=9_MEMBER=227_PSO,GEN=6_MEMBER=140_PSO,,
GEN=9_MEMBER=228_PSO,GEN=2_MEMBER=47_PSO,,
GEN=9_MEMBER=229_PSO,GEN=8_MEMBER=198_PSO,,
GEN=9_MEMBER=230_PSO,GEN=7_MEMBER=164_PSO,,
GEN=9_MEMBER=231_PSO,GEN=8_MEMBER=186_PSO,,
GEN=9_MEMBER=232_PSO,GEN=7_MEMBER=172_PSO,,
GEN=9_MEMBER=233_PSO,GEN=8_MEMBER=185_PSO,,
GEN=10_MEMBER=234_PSO,16,,
GEN=10_MEMBER=235_PSO,GEN=9_MEMBER=211_PSO,,
GEN=10_MEMBER=236_PSO,GEN=4_MEMBER=85_PSO,,
GEN=10_MEMBER=237_PSO,GEN=8_MEMBER=197_PSO,,
GEN=10_MEMBER=238_PSO,GEN=3_MEMBER=63_PSO,,
GEN=10_MEMBER=239_PSO,GEN=9_MEMBER=225_PSO,,
GEN=10_MEMBER=240_PSO,GEN=7_MEMBER=169_PSO,,
GEN=10_MEMBER=241_PSO,GEN=9_MEMBER=221_PSO,,
GEN=10_MEMBER=242_PSO,GEN=5_MEMBER=118_PSO,,
GEN=10_MEMBER=243_PSO,GEN=7_MEMBER=160_PSO,,
GEN=10_MEMBER=244_PSO,19,,
GEN=10_MEMBER=245_PSO,GEN=9_MEMBER=219_PSO,,
GEN=10_MEMBER=246_PSO,GEN=7_MEMBER=167_PSO,,
GEN=10_MEMBER=247_PSO,5,,
GEN=10_MEMBER=248_PSO,22,,
GEN=10_MEMBER=249_PSO,GEN=9_MEMBER=212_PSO,,
GEN=10_MEMBER=250_PSO,GEN=8_MEMBER=196_PSO,,
GEN=10_MEMBER=251_PSO,GEN=7_MEMBER=163_PSO,,
GEN=10_MEMBER=252_PSO,GEN=7_MEMBER=165_PSO,,
GEN=10_MEMBER=253_PSO,GEN=9_MEMBER=217_PSO,,
GEN=10_MEMBER=254_PSO,GEN=8_MEMBER=185_PSO,,
GEN=10_MEMBER=255_PSO,10,,
GEN=10_MEMBER=256_PSO,GEN=1_MEMBER=8_PSO,,
GEN=10_MEMBER=257_PSO,GEN=9_MEMBER=210_PSO,,
GEN=10_MEMBER=258_PSO,GEN=6_MEMBER=140_PSO,,
GEN=10_MEMBER=259_PSO,GEN=9_MEMBER=215_PSO,,
GEN=11_MEMBER=260_PSO,16,,
GEN=11_MEMBER=261_PSO,GEN=9_MEMBER=211_PSO,,
GEN=11_MEMBER=262_PSO,GEN=4_MEMBER=85_PSO,,
GEN=11_MEMBER=263_PSO,GEN=5_MEMBER=118_PSO,,
GEN=11_MEMBER=264_PSO,GEN=7_MEMBER=165_PSO,,
GEN=11_MEMBER=265_PSO,GEN=9_MEMBER=219_PSO,,
GEN=11_MEMBER=266_PSO,GEN=10_MEMBER=241_PSO,,
GEN=11_MEMBER=267_PSO,GEN=9_MEMBER=225_PSO,,
GEN=11_MEMBER=268_PSO,GEN=8_MEMBER=196_PSO,,
GEN=11_MEMBER=269_PSO,GEN=9_MEMBER=210_PSO,,
GEN=11_MEMBER=270_PSO,GEN=7_MEMBER=160_PSO,,
GEN=11_MEMBER=271_PSO,19,,
GEN=11_MEMBER=272_PSO,GEN=9_MEMBER=215_PSO,,
GEN=11_MEMBER=273_PSO,GEN=7_MEMBER=167_PSO,,
GEN=11_MEMBER=274_PSO,GEN=7_MEMBER=169_PSO,,
GEN=11_MEMBER=275_PSO,5,,
GEN=11_MEMBER=276_PSO,22,,
GEN=11_MEMBER=277_PSO,GEN=7_MEMBER=163_PSO,,
GEN=11_MEMBER=278_PSO,GEN=10_MEMBER=246_PSO,,
GEN=11_MEMBER=279_PSO,GEN=9_MEMBER=212_PSO,,
GEN=11_MEMBER=280_PSO,GEN=9_MEMBER=217_PSO,,
GEN=11_MEMBER=281_PSO,10,,
GEN=11_MEMBER=282_PSO,GEN=10_MEMBER=259_PSO,,
GEN=11_MEMBER=283_PSO,GEN=10_MEMBER=249_PSO,,
GEN=11_MEMBER=284_PSO,GEN=6_MEMBER=140_PSO,,
GEN=11_MEMBER=285_PSO,GEN=10_MEMBER=254_PSO,,
GEN=12_MEMBER=286_PSO,16,,
GEN=12_MEMBER=287_PSO,GEN=11_MEMBER=273_PSO,,
GEN=12_MEMBER=288_PSO,GEN=10_MEMBER=254_PSO,,
GEN=12_MEMBER=289_PSO,GEN=5_MEMBER=118_PSO,,
GEN=12_MEMBER=290_PSO,GEN=7_MEMBER=165_PSO,,
GEN=12_MEMBER=291_PSO,GEN=4_MEMBER=85_PSO,,
GEN=12_MEMBER=292_PSO,GEN=9_MEMBER=210_PSO,,
GEN=12_MEMBER=293_PSO,GEN=10_MEMBER=241_PSO,,
GEN=12_MEMBER=294_PSO,GEN=9_MEMBER=225_PSO,,
GEN=12_MEMBER=295_PSO,GEN=11_MEMBER=265_PSO,,
GEN=12_MEMBER=296_PSO,GEN=7_MEMBER=163_PSO,,
GEN=12_MEMBER=297_PSO,19,,
GEN=12_MEMBER=298_PSO,GEN=7_MEMBER=160_PSO,,
GEN=12_MEMBER=299_PSO,GEN=11_MEMBER=263_PSO,,
GEN=12_MEMBER=300_PSO,GEN=10_MEMBER=259_PSO,,
GEN=12_MEMBER=301_PSO,GEN=7_MEMBER=167_PSO,,
GEN=12_MEMBER=302_PSO,22,,
GEN=12_MEMBER=303_PSO,GEN=7_MEMBER=169_PSO,,
GEN=12_MEMBER=304_PSO,GEN=8_MEMBER=196_PSO,,
GEN=12_MEMBER=305_PSO,GEN=9_MEMBER=219_PSO,,
GEN=12_MEMBER=306_PSO,GEN=9_MEMBER=212_PSO,,
GEN=12_MEMBER=307_PSO,5,,
GEN=12_MEMBER=308_PSO,GEN=9_MEMBER=211_PSO,,
GEN=12_MEMBER=309_PSO,GEN=11_MEMBER=281_PSO,,
GEN=12_MEMBER=310_PSO,GEN=10_MEMBER=249_PSO,,
GEN=12_MEMBER=311_PSO,GEN=9_MEMBER=217_PSO,,
GEN=13_MEMBER=312_PSO,16,,
GEN=13_MEMBER=313_PSO,GEN=12_MEMBER=293_PSO,,
GEN=13_MEMBER=314_PSO,GEN=8_MEMBER=196_PSO,,
GEN=13_MEMBER=315_PSO,GEN=7_MEMBER=169_PSO,,
GEN=13_MEMBER=316_PSO,GEN=4_MEMBER=85_PSO,,
GEN=13_MEMBER=317_PSO,5,,
GEN=13_MEMBER=318_PSO,GEN=9_MEMBER=225_PSO,,
GEN=13_MEMBER=319_PSO,GEN=12_MEMBER=292_PSO,,
GEN=13_MEMBER=320_PSO,GEN=7_MEMBER=165_PSO,,
GEN=13_MEMBER=321_PSO,GEN=10_MEMBER=241_PSO,,
GEN=13_MEMBER=322_PSO,GEN=9_MEMBER=219_PSO,,
GEN=13_MEMBER=323_PSO,GEN=11_MEMBER=273_PSO,,
GEN=13_MEMBER=324_PSO,19,,
GEN=13_MEMBER=325_PSO,GEN=11_MEMBER=265_PSO,,
GEN=13_MEMBER=326_PSO,GEN=12_MEMBER=286_PSO,,
GEN=13_MEMBER=327_PSO,GEN=7_MEMBER=167_PSO,,
GEN=13_MEMBER=328_PSO,GEN=11_MEMBER=263_PSO,,
GEN=13_MEMBER=329_PSO,22,,
GEN=13_MEMBER=330_PSO,GEN=10_MEMBER=254_PSO,,
GEN=13_MEMBER=331_PSO,GEN=12_MEMBER=305_PSO,,
GEN=13_MEMBER=332_PSO,GEN=12_MEMBER=299_PSO,,
GEN=13_MEMBER=333_PSO,GEN=10_MEMBER=259_PSO,,
GEN=13_MEMBER=334_PSO,GEN=5_MEMBER=118_PSO,,
GEN=13_MEMBER=335_PSO,GEN=11_MEMBER=281_PSO,,
GEN=13_MEMBER=336_PSO,GEN=12_MEMBER=290_PSO,,
GEN=13_MEMBER=337_PSO,GEN=12_MEMBER=294_PSO,,
GEN=14_MEMBER=338_PSO,16,,
GEN=14_MEMBER=339_PSO,GEN=12_MEMBER=293_PSO,,
GEN=14_MEMBER=340_PSO,GEN=8_MEMBER=196_PSO,,
GEN=14_MEMBER=341_PSO,GEN=7_MEMBER=169_PSO,,
