,LPR
24253,6.717427990116337e-06
24256,1.8033011601403694e-05
24265,0.0
24266,0.0005823896798057532
24274,0.012817862935957247
24279,0.0014875999060869575
24283,0.0030036957163200443
24285,1.3211715738068001e-08
24286,1.7385664611514374e-08
24291,0.00435960584994255
24293,0.0006961064818256308
24294,1.3037386406984156e-08
24302,7.554102579083361e-11
24305,6.361308385995279e-15
24307,0.0003526997570587517
24311,0.0014418784412876687
24317,0.00013946495856790743
24323,0.14601199788965533
58403,0.00044412030417573527
58405,0.2653755303672462
58406,0.004751530413084786
58407,0.005671125415312045
58410,0.0016399021617895205
58411,0.00012705335688549502
58414,4.912350187702825e-05
58416,1.3350417354794365e-05
58424,2.6310015499154867e-05
58433,0.00204469949390618
58434,1.971431377489288e-07
67673,0.0002227888168744057
67895,1.1648247364038827e-09
68008,0.0007443794186076943
68216,1.1839902550097897e-12
68218,3.1709222756366525e-13
68219,2.159367598773615e-12
68220,5.083517733408572e-12
68221,1.9000504431606344e-11
68294,1.0866183590646196e-15
68475,0.004818106245021882
68529,0.24660336018164367
68693,2.450943415040012e-07
68695,2.9319517462878562e-06
68872,2.702691563134187e-05
68917,1.445454096421404e-07
68925,9.09244175823431e-05
68926,0.0005610034576925799
69049,0.03905055416065077
69065,0.00015264060550830458
69282,0.009807630352350064
69288,1.9015984871651853e-09
69289,1.0369594354576556e-08
69480,1.8025322509613258e-06
69508,4.886802981915194e-12
69576,8.618119543288432e-08
69635,1.655893012606723e-09
69636,4.581477281898274e-10
69638,1.073310774679526e-10
69669,1.1700153046568702e-14
69970,0.032277535708723194
69990,8.347998164068465e-05
70119,0.03032238631918571
70120,0.03241751687959993
70186,0.02666019280896062
70191,1.931223180177792e-07
70263,3.7559751070602e-10
70517,6.394405618270943e-11
70519,5.663700746260807e-10
70520,1.3081516432922238e-10
70548,7.942762945160276e-11
70881,0.0030002197299856866
70961,2.2336841672880405e-07
70974,4.573352080064609e-08
70975,8.023424701867736e-09
71044,0.018785339952803747
71062,1.5215978596333414e-05
71063,0.00035310073198328325
71109,0.014081992069538397
71110,0.00921953938214561
71117,7.440929918787937e-08
71156,3.0654734348277563e-06
71199,1.1736023020280528e-06
71495,0.0002879328297735262
71935,0.000554038485050579
71998,1.0711844332796242e-09
72082,0.00011856958966939432
72094,6.48470311261795e-06
72095,5.307248256683558e-06
72269,0.0005112836217454135
72301,1.509155205156045e-07
72304,1.0965021446677332e-06
72421,2.1476583295704514e-14
72422,7.76303707666507e-13
72436,2.738876880228215e-07
72437,2.621740100454692e-06
72607,0.0003348091991009244
72610,0.002255559232555263
72713,0.00042619513465735507
72756,3.483383770942538e-05
72983,1.1353138460515095e-07
73153,5.165105856979881e-07
73262,4.557454510253244e-14
73280,7.059952878721912e-06
73281,0.0007014439545552314
73372,9.084780716705324e-08
73440,7.830347105407246e-07
73481,0.0001869131492841181
73715,0.005493807012323504
73737,7.644446158020231e-11
73761,1.7272563622723424e-05
73762,0.006082106692422268
73906,2.4471103667423354e-08
73940,6.789193443183034e-09
73942,6.311567366230879e-07
74131,2.961445815811523e-09
74280,1.9577893778357185e-11
84404,0.00010748174386217155
84409,0.0008343004430052613
84411,0.011201523433871123
91103,1.102175136733047e-08
91173,6.21177107405354e-06
91808,1.4625179452353483e-12
91996,1.2929366798949315e-10
91997,5.2074350569056e-09
92099,2.3718788253377604e-07
92184,3.116900112891394e-05
92299,1.6311852502727392e-11
92696,1.325001373983379e-15
92714,9.628864021141852e-09
92724,4.970867734995953e-15
92743,9.65579747466324e-13
92808,2.156346052026785e-08
92885,2.690385256246658e-05
92981,1.7959314971742225e-09
93142,0.0005774497049849083
93143,5.52997575790864e-05
93349,4.276794990121022e-05
93422,8.196494041199464e-15
93423,8.78946248588967e-15
93424,1.9512558592349924e-14
93469,0.0059271468427004965
93832,4.3120883753331294e-14
94302,0.033336327894340066
94988,2.480979143045115e-08
95068,7.244530347405125e-06
total_proposed,0.006020937923540248
total_existing,4.120706374078016
total_combined,4.125957452286422
