member,pumping_objective_reeval_cfs,baseline_streamflow_cfs,baseline_depletion_cfs,expected_streamflow_cfs,expected_depletion_cfs,expected_streamflow_bias_from_baseline_cfs,expected_depletion_bias_from_baseline_cfs,probability_weighted_absolute_streamflow_error_cfs,probability_weighted_absolute_depletion_error_cfs,probability_weighted_streamflow_shortfall_cfs,probability_weighted_depletion_excess_cfs,streamflow_std_cfs,depletion_std_cfs,streamflow_p05_cfs,streamflow_p50_cfs,streamflow_p95_cfs,depletion_p05_cfs,depletion_p50_cfs,depletion_p95_cfs
gen=42_member=7162_pso,34.265693983561704,5.67901004605478,2.9209899539452193,5.683400986276891,2.9165990137231095,0.0043909402221107285,-0.00439094022210984,0.13386315389165943,0.1338631538916596,0.06473610683477475,0.06473610683477485,0.16665215762581898,0.16665215762581911,5.37603904665046,5.64320353519177,5.934961266803459,2.5853640916875267,2.8843530036315697,3.15735631385884
gen=43_member=7394_pso,29.69937939750987,6.85907675375209,1.7409232462479096,6.861722684908872,1.7382773150911268,0.002645931156782133,-0.0026459311567827992,0.09610823490736521,0.09610823490736511,0.04673115187529138,0.04673115187529125,0.11960269197257789,0.11960269197257777,6.6398367903928275,6.833305570309231,7.041677456695146,1.5020257096952423,1.714650136400558,1.911724398544036
gen=47_member=7994_pso,27.707961235794844,7.174490003312835,1.4255099966871652,7.177201059898495,1.422798940101506,0.0027110565856602875,-0.0027110565856591773,0.08517921261091553,0.08517921261091559,0.04123407801262834,0.041234078012628225,0.10603470396655025,0.10603470396655026,6.981217049204198,7.151696747490165,7.337148864665129,1.2124349806530443,1.4021915495802586,1.5760808702325309
gen=48_member=8212_pso,25.50891213870453,7.333601761230064,1.266398238769936,7.336022704468278,1.2639772955317206,0.0024209432382145124,-0.0024209432382154006,0.08015155506526532,0.0801515550652654,0.038865305913524946,0.03886530591352498,0.09973327042292543,0.09973327042292544,7.151662317343811,7.312118912289682,7.486341830217847,1.066496401161323,1.2444553145115946,1.4083412794209131
gen=34_member=5718_pso,19.217975104740983,7.6724703111912795,0.9275296888087197,7.673867620402409,0.9261323795975901,0.0013973092111294605,-0.0013973092111295715,0.06000188606127843,0.06000188606127841,0.02930228842507429,0.02930228842507448,0.0746381127720646,0.07463811277206454,7.5347891585401525,7.656342987528397,7.78587562736697,0.779479988507942,0.9111368626547273,1.0347032706322443
gen=40_member=6749_pso,32.033822459218676,6.373670999560371,2.226329000439628,6.376852466024185,2.2231475339758147,0.003181466463813898,-0.0031814664638134538,0.11209772599737175,0.1120977259973717,0.05445812976677884,0.054458129766779044,0.13951677274608862,0.1395167727460886,6.118238478062995,6.343628830892447,6.586876756412803,1.9472509515243146,2.1956831453535015,2.4253476121201474
gen=45_member=7712_pso,31.96441941761888,6.393056356563795,2.206943643436204,6.396251068569291,2.2037489314307077,0.0031947120054960365,-0.0031947120054964806,0.11141376979574072,0.11141376979574082,0.0541095288951219,0.054109528895122216,0.13866677269856806,0.1386667726985681,6.139299741660723,6.363199948590626,6.605033506184726,1.9294462461406212,2.176481913832922,2.4046745378538845
gen=49_member=8286_pso,31.88574680923485,6.414481197193633,2.1855188028063663,6.417663350578864,2.182336649421136,0.003182153385230535,-0.003182153385230535,0.11093923263001486,0.11093923263001501,0.05387853962239243,0.053878539622392495,0.1380755342113974,0.13807553421139748,6.161811322455799,6.384752329301799,6.625557346235726,1.9092064459380447,2.155185846159526,2.3824063218462004
gen=47_member=7987_pso,32.3379503115816,6.291776607726359,2.3082233922736415,6.295080905580827,2.304919094419173,0.0033042978544681745,-0.0033042978544686186,0.11425038904714722,0.11425038904714731,0.05547304559633941,0.05547304559633917,0.1421959440320616,0.1421959440320617,6.031686226407957,6.261161226540268,6.5092101505599755,2.0235629216004423,2.276982208370963,2.5109216712519977
gen=42_member=7104_pso,37.1305477391165,4.247723524139242,4.352276475860758,4.254732893358301,4.3452671066417,0.007009369219058925,-0.007009369219058037,0.1695112853483074,0.1695112853483074,0.08125095806462453,0.08125095806462453,0.21113655869960377,0.21113655869960382,3.8692799043711927,4.2025181291588165,4.575177426182041,3.921587228121134,4.305791292489556,4.64836362897553
gen=44_member=7536_pso,23.46684587614881,7.48014819105545,1.119851808944549,7.482155711965488,1.1178442880345119,0.002007520910037641,-0.002007520910037197,0.07323223553399266,0.07323223553399275,0.03561235731197758,0.035612357311977705,0.09111072344336568,0.09111072344336572,7.313190896968519,7.46049713547866,7.619240040336863,0.9380023127941416,1.099819133339134,1.2499903680566875
