member,pumping_objective_reeval_cfs,baseline_streamflow_cfs,baseline_depletion_cfs,expected_streamflow_cfs,expected_depletion_cfs,expected_streamflow_bias_from_baseline_cfs,expected_depletion_bias_from_baseline_cfs,probability_weighted_absolute_streamflow_error_cfs,probability_weighted_absolute_depletion_error_cfs,probability_weighted_streamflow_shortfall_cfs,probability_weighted_depletion_excess_cfs,streamflow_std_cfs,depletion_std_cfs,streamflow_p05_cfs,streamflow_p50_cfs,streamflow_p95_cfs,depletion_p05_cfs,depletion_p50_cfs,depletion_p95_cfs
gen=43_member=7269_pso,36.83339971387087,4.456283809734449,4.14371619026555,4.443999322561972,4.156000677438028,-0.012284487172477654,0.012284487172477654,0.16590720749981613,0.1659072074998161,0.08909584733614694,0.08909584733614694,0.20732445895256404,0.207324458952564,4.012761622602921,4.410385274681212,4.734428562554069,3.7915570444959226,4.10023048345197,4.476525657344279
gen=35_member=5948_pso,37.07384621264411,4.260758125752932,4.339241874247068,4.248438196454467,4.351561803545533,-0.012319929298464594,0.012319929298464594,0.16989966221633876,0.16989966221633881,0.09110979575740166,0.09110979575740169,0.21230009419968895,0.212300094199689,3.807206891466117,4.213888130908548,4.5460638672649285,3.9779577321250628,4.294607223655176,4.679553042445288
gen=29_member=4871_pso,17.843497187733753,7.718456365090395,0.8815436349096046,7.713139820677384,0.886860179322616,-0.005316544413011215,0.005316544413011326,0.05913719318880158,0.05913719318880161,0.03222686880090646,0.03222686880090651,0.0740543470634731,0.07405434706347316,7.556426347747475,7.702061631328836,7.81555742987726,0.7592231103039788,0.866148657619272,1.0023501703123217
gen=36_member=6031_pso,31.338390787551678,6.545847233359204,2.054152766640796,6.536531717505706,2.063468282494294,-0.009315515853498546,0.009315515853498102,0.1083525702209671,0.1083525702209668,0.058834043037232886,0.05883404303723256,0.13563998054289364,0.13563998054289342,6.250511830781675,6.515848969939177,6.724702692349162,1.8285045266436464,2.0259020284731353,2.2745414296376683
gen=39_member=6689_pso,29.416418185838467,6.921290500188534,1.6787094998114656,6.9130556515221535,1.6869443484778457,-0.008234848666380579,0.008234848666380135,0.09452906988119551,0.09452906988119553,0.051381959273787775,0.051381959273787865,0.11834679717329807,0.11834679717329812,6.663237974732108,6.895109505626081,7.077088988919345,1.4822360847732277,1.6540741546652833,1.8712232217821512
gen=46_member=7811_pso,30.84800808580873,6.640381135980052,1.9596188640199477,6.6314141893987895,1.9685858106012106,-0.008966946581262292,0.008966946581262958,0.10474186374854264,0.10474186374854272,0.0568544051649027,0.05685440516490294,0.13110457611689671,0.1311045761168968,6.355119460646498,6.611378448482062,6.813352022720814,1.7413889328283292,1.9323018850850753,2.172565417905981
gen=36_member=6150_pso,29.51027094900253,6.884637529467785,1.715362470532215,6.876325300125941,1.7236746998740586,-0.00831222934184428,0.008312229341843613,0.09592562849629091,0.09592562849629088,0.052118928919067414,0.052118928919067255,0.12008577778707981,0.12008577778707975,6.622971993684703,6.858071118275733,7.0428313071075275,1.5158446348776877,1.6903564563142992,1.9106169335062422
gen=28_member=4698_pso,19.62453473077234,7.651146524895162,0.9488534751048376,7.645271600717666,0.9547283992823328,-0.005874924177495799,0.005874924177495133,0.06547099882537923,0.06547099882537916,0.03567296150143708,0.03567296150143719,0.08197969718906958,0.08197969718906951,7.471837386730476,7.6329939633760615,7.758666733325618,0.8134151402291173,0.931806041880852,1.0825690809654251
gen=45_member=7580_pso,29.41977376399195,6.907203242054345,1.692796757945654,6.898935738929713,1.7010642610702864,-0.008267503124632647,0.008267503124632425,0.09487052236197907,0.09487052236197895,0.051569012743305706,0.051569012743305775,0.11877578446114986,0.11877578446114974,6.648199584639512,6.880928287700755,7.06355904016598,1.495619106665056,1.6680732165472822,1.8860139687489486
gen=37_member=6318_pso,36.35850397821222,4.707369578522565,3.8926304214774334,4.695377080175454,3.9046229198245457,-0.01199249834711047,0.011992498347112246,0.15890055529540256,0.15890055529540276,0.0854465268212567,0.08544652682125724,0.19861125666661344,0.19861125666661356,4.2814279635514625,4.663445703446792,4.973220995865442,3.556267535492947,3.8509633651098873,4.211941977314562
gen=39_member=6634_pso,37.24656995207669,4.220798606210672,4.379201393789328,4.208392874631844,4.3916071253681555,-0.012405731578827961,0.012405731578827073,0.17077894108002822,0.17077894108002806,0.09159233632942809,0.09159233632942768,0.2133890003437537,0.21338900034375352,3.76482651709881,4.173685375695315,4.5074882952531885,4.0162508319163415,4.334287826109364,4.721370681726054
gen=46_member=7788_pso,32.533172613400616,6.245558410362484,2.354441589637516,6.235655316458908,2.3643446835410913,-0.009903093903576021,0.009903093903575133,0.11728131072904857,0.11728131072904846,0.06359220231631241,0.06359220231631198,0.14677239576477294,0.1467723957647729,5.926755864183682,6.213086930377842,6.439529451894569,2.109639216264275,2.323835238760472,2.5925612605571686
gen=46_member=7881_pso,27.192862415219388,7.223465064862035,1.376534935137965,7.2164196124103315,1.3835803875896677,-0.0070454524517034045,0.007045452451702738,0.08599003439271612,0.08599003439271612,0.04651774342220957,0.046517743422209414,0.10754744174309509,0.10754744174309512,6.990824893969517,7.199652562702664,7.366114256665307,1.196460385380709,1.3540500027313014,1.5505918025204717
gen=27_member=4566_pso,34.20265674649548,5.72427439788265,2.87572560211735,5.713144633499923,2.8868553665000753,-0.011129764382726393,0.011129764382725504,0.1352827677037507,0.1352827677037506,0.0732062660432384,0.07320626604323831,0.16925508394037406,0.16925508394037403,5.357750317411879,5.686838626805165,5.948659462061527,2.592328993118252,2.8403858239921114,3.149726389381251
gen=39_member=6698_pso,33.52015097310551,5.950298606555352,2.6497013934446474,5.939865063436811,2.6601349365631894,-0.010433543118541166,0.010433543118542055,0.1267007863865306,0.12670078638653054,0.06856716475253583,0.06856716475253609,0.15851776864472025,0.1585177686447202,5.606980805464046,5.915236730239496,6.1604171781409285,2.3843429155567346,2.6166005292932555,2.906338583358165
gen=41_member=6986_pso,35.767651554973604,5.013269614655328,3.586730385344672,5.0015219942466596,3.5984780057533396,-0.011747620408668169,0.011747620408667725,0.15449432642546335,0.15449432642546335,0.08312097341706576,0.08312097341706573,0.19310975985667048,0.19310975985667048,4.598883929818881,4.970536687166579,5.271594182286105,3.2599172976918376,3.546235553099415,3.8973840843443806
gen=41_member=6973_pso,35.15947657236159,5.316115040107832,3.283884959892168,5.304674168859003,3.2953258311409974,-0.011440871248828977,0.01144087124882942,0.14758290830479084,0.1475829083047908,0.07951188977681009,0.07951188977680997,0.18450832632847733,0.18450832632847727,4.919311389208326,5.2753010719942255,5.562377412472295,2.9725018128473764,3.2452244926276332,3.5811458643341845
