real_name,total_pumping_cfs,streamflow_cfs,depletion_cfs,scenario,source_file
gen=44_member=5578_pso,97.54638044457472,6.986851054676595,1.6131489453234047,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=36_member=4573_pso,94.4212472733701,7.132963773695648,1.467036226304352,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=44_member=5555_pso,106.33435907938645,6.419872018663231,2.1801279813367684,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=38_member=4840_pso,110.65561254523404,5.70584963734393,2.8941503626560694,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=47_member=5966_pso,106.83232756636184,6.348413813457285,2.2515861865427143,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=47_member=5898_pso,108.8563734270453,6.13618009094297,2.4638199090570296,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=38_member=4768_pso,97.90899361757796,6.975305559697296,1.6246944403027035,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=41_member=5241_pso,105.80459369438688,6.463978531348902,2.136021468651097,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=39_member=4901_pso,94.20547249717248,7.136506989630247,1.4634930103697523,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=40_member=5082_pso,97.7433022560946,6.959027768521216,1.6409722314787831,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=49_member=6158_pso,110.07939932720215,5.848018087151196,2.751981912848804,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=49_member=6216_pso,110.4547860683974,5.762882942320246,2.837117057679753,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=47_member=6002_pso,95.10278236398176,7.089758722592024,1.5102412774079752,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=32_member=3978_pso,108.89204420727565,6.146686018558967,2.453313981441033,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=24_member=2976_pso,109.84638690998572,5.914949870776232,2.685050129223768,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=46_member=5863_pso,107.64404418712996,6.287900263183223,2.312099736816777,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=49_member=6159_pso,100.67409953305352,6.8226285366726,1.7773714633273998,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=49_member=6198_pso,105.98793942530666,6.4494549561429455,2.150545043857054,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=39_member=4883_pso,108.14209190600936,6.2266072606322975,2.373392739367702,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=36_member=4595_pso,112.53185200645224,5.411821069876371,3.188178930123629,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=44_member=5538_pso,109.1501561048995,6.077785297679284,2.522214702320716,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=47_member=5958_pso,103.68829736650471,6.59734774647386,2.0026522535261395,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=46_member=5862_pso,113.09739572459912,5.127386814601836,3.472613185398164,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=48_member=6077_pso,109.01445548019012,6.091617520994447,2.5083824790055527,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=38_member=4784_pso,103.048263309409,6.666414597870984,1.9335854021290155,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=38_member=4799_pso,110.570080748672,5.720039642581016,2.879960357418984,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=33_member=4144_pso,96.24475639862769,7.048896018284096,1.5511039817159038,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=40_member=5066_pso,108.717504597016,6.14185148605955,2.4581485139404498,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=40_member=5054_pso,107.3493686334244,6.320863213967003,2.279136786032996,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=45_member=5693_pso,98.77188407404655,6.91440673029158,1.6855932697084195,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=48_member=6031_pso,112.20124680568358,5.451872154613838,3.148127845386162,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=31_member=3921_pso,112.6074654536482,5.167740737016297,3.432259262983702,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=44_member=5545_pso,107.39692250276067,6.306850251910206,2.2931497480897933,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=39_member=4943_pso,107.53167694853488,6.249636104976979,2.350363895023021,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=34_member=4333_pso,106.99070700622325,6.327466167456523,2.272533832543477,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=46_member=5865_pso,97.81055673545032,6.9765308619299695,1.62346913807003,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=35_member=4371_pso,108.63901338704616,6.163962065820147,2.4360379341798524,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=39_member=4906_pso,102.64749435858384,6.674995446226635,1.9250045537733649,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=47_member=5999_pso,98.0143673809185,6.968811206247846,1.631188793752154,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=42_member=5333_pso,99.02969080565414,6.893978709472,1.7060212905279992,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=46_member=5794_pso,110.12403010688436,5.813172569755593,2.786827430244407,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=43_member=5487_pso,112.5975114153679,5.376694495342707,3.2233055046572927,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=30_member=3743_pso,98.87476699472488,6.886411008643066,1.713588991356934,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=39_member=4904_pso,98.31171998129363,6.947925291470112,1.652074708529888,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=47_member=5956_pso,113.30510653004454,4.852302008886767,3.747697991113233,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
gen=45_member=5633_pso,95.30143297477466,7.107120656330995,1.4928793436690044,original_baseline,/workspaces/LPR_redux/LPR_pycap_opt/notebooks/fish_dollars_baseline_0.0_1.0_0.01_tradeoff.csv
