member,generation,fixed_pumping_cfs,fixed_streamflow_cfs,fixed_depletion_cfs,optimized_streamflow_cfs,optimized_depletion_cfs,scenario,original_scenario,scenario_label,streamflow_gap_cfs,depletion_gap_cfs,streamflow_loss_cfs,depletion_loss_cfs,fixed_streamflow_advantage_cfs,fixed_depletion_advantage_cfs,fixed_better_streamflow,fixed_better_depletion,absolute_streamflow_gap_cfs,absolute_depletion_gap_cfs,is_comparable_with_original_front,original_front_pumping_min_cfs,original_front_pumping_max_cfs
gen=46_member=5827_pso,50,113.22333719727688,5.247126335320956,3.352873664679044,5.119028126381274,3.4809718736187265,T_minus_10pct,original_T_minus_10pct,T −10%,-0.12809820893968205,-0.1280982089396825,0.0,0.0,0.12809820893968205,0.1280982089396825,True,True,0.12809820893968205,0.1280982089396825,True,91.74281113919692,117.41614755261728
gen=49_member=6197_pso,50,101.62467203250552,6.889599219054856,1.710400780945144,6.888651131463308,1.7113488685366915,T_minus_10pct,original_T_minus_10pct,T −10%,-0.0009480875915475195,-0.0009480875915475195,0.0,0.0,0.0009480875915475195,0.0009480875915475195,False,False,0.0009480875915475195,0.0009480875915475195,True,91.74281113919692,117.41614755261728
gen=34_member=4254_pso,50,109.37435490938714,6.189448948629874,2.4105510513701263,6.2448839005803265,2.355116099419673,T_minus_10pct,original_T_minus_10pct,T −10%,0.05543495195045267,0.055434951950453115,0.05543495195045267,0.055434951950453115,0.0,0.0,False,False,0.05543495195045267,0.055434951950453115,True,91.74281113919692,117.41614755261728
gen=46_member=5867_pso,50,103.53371204745808,6.747392899040456,1.852607100959544,6.756144432646991,1.8438555673530082,T_minus_10pct,original_T_minus_10pct,T −10%,0.008751533606535133,0.0087515336065358,0.008751533606535133,0.0087515336065358,0.0,0.0,False,False,0.008751533606535133,0.0087515336065358,True,91.74281113919692,117.41614755261728
gen=31_member=3915_pso,50,113.0032712800369,5.141864779679382,3.4581352203206177,5.2802052828844355,3.3197947171155646,T_minus_10pct,original_T_minus_10pct,T −10%,0.1383405032050531,0.1383405032050531,0.1383405032050531,0.1383405032050531,0.0,0.0,False,False,0.1383405032050531,0.1383405032050531,True,91.74281113919692,117.41614755261728
gen=47_member=5976_pso,50,104.562056294688,6.639487373070639,1.96051262692936,6.672959829222352,1.9270401707776483,T_minus_10pct,original_T_minus_10pct,T −10%,0.03347245615171257,0.03347245615171168,0.03347245615171257,0.03347245615171168,0.0,0.0,False,False,0.03347245615171257,0.03347245615171168,True,91.74281113919692,117.41614755261728
gen=39_member=4925_pso,50,110.5852186046211,6.034194122829341,2.5658058771706584,5.945417188114264,2.654582811885736,T_minus_10pct,original_T_minus_10pct,T −10%,-0.08877693471507708,-0.08877693471507753,0.0,0.0,0.08877693471507708,0.08877693471507753,True,True,0.08877693471507708,0.08877693471507753,True,91.74281113919692,117.41614755261728
gen=36_member=4494_pso,50,96.85103265995993,7.121119707457423,1.4788802925425768,7.0991456206357535,1.5008543793642461,T_minus_10pct,original_T_minus_10pct,T −10%,-0.021974086821669125,-0.021974086821669347,0.0,0.0,0.021974086821669125,0.021974086821669347,True,True,0.021974086821669125,0.021974086821669347,True,91.74281113919692,117.41614755261728
gen=44_member=5537_pso,50,98.65700758717853,7.033103830045892,1.5668961699541073,7.028770864485831,1.571229135514168,T_minus_10pct,original_T_minus_10pct,T −10%,-0.0043329655600610195,-0.0043329655600607975,0.0,0.0,0.0043329655600610195,0.0043329655600607975,False,False,0.0043329655600610195,0.0043329655600607975,True,91.74281113919692,117.41614755261728
gen=46_member=5774_pso,50,113.69864725552864,5.008829780082624,3.591170219917376,4.992002271896846,3.6079977281031534,T_minus_10pct,original_T_minus_10pct,T −10%,-0.01682750818577805,-0.016827508185777607,0.0,0.0,0.01682750818577805,0.016827508185777607,True,True,0.01682750818577805,0.016827508185777607,True,91.74281113919692,117.41614755261728
gen=37_member=4723_pso,50,104.51778202732396,6.696011230521378,1.903988769478621,6.662649080194451,1.9373509198055485,T_minus_10pct,original_T_minus_10pct,T −10%,-0.03336215032692724,-0.033362150326927464,0.0,0.0,0.03336215032692724,0.033362150326927464,True,True,0.03336215032692724,0.033362150326927464,True,91.74281113919692,117.41614755261728
